id,trans
filename,scene_chr142_q2_s10
translator,Gemini
info,scene_chr142_q2_s10
45,嗷哦哦哦！
44,哈！抛弃这么小的孩子\n我的名声就毁了！\n觉悟吧！暴徒们！
43,啊！？\n都这样了\n还敢反抗！
42,但我拒绝！
41,说得也是……\n如果不用再担心被你们盯上，\n倒也挺诱人的。
40,嘿！看来被我们追赶\n已经让你怕得要死了吧！\n把小鬼交出来，我们就放过你。
39,哼……\n把这孩子交给你们就\n放过我们吗？
38,可恶！竟敢如此放肆！\n那小鬼还要当人质呢！\n不想死就乖乖把她交出来！
37,咕噜噜噜……
36,……！糟了！被发现了！
35,喂！小鬼和侦探在那儿！
34,虽然不能确定，但很有可能。\n那家伙，究竟在图谋什么……
33,这么说，\n是那个怪盗把这小姑娘\n放走的？
32,不，他应该不至于\n会假扮成孩子。\n这或许是……
31,什么！？\n这小姑娘，\n是怪盗假扮的吗！？
30,不……这是！\n怪盗的香水！？
29,呵呵，真是个早熟的孩子呢！
28,……嗯？你喷香水了吗？
27,好好好，真乖。
26,嗯！\n这就收好！
25,你，不能把这种东西拿出来。\n快收好。
24,这真是太厉害了……！\n究竟价值几何，\n连我这位名侦探也想象不出。
23,哇啊！\n好大一颗宝石啊！
22,这个……叫「天空之泪」。\n是爸爸送给我的！\n是我的宝贝！
20,那个……那个大哥哥\n把我从房间里带了出来。\n还把我的宝贝还给了我。
19,诶，奇怪的大叔！？\n真是的，谁会说这种话……
18,那个，奇怪的大哥哥跟我说过。\n说有个叫巴洛瓦的奇怪大叔\n会带我回家。
17,切……\n说的倒是好听……\n其实是被抓住了吧……
16,我来这里是为了救你。\n……你能相信我吗？
15,嗯？……啊，正是在下。\n我就是闻名遐迩的名侦探，巴洛瓦。
14,诶？\n莫非你是\n巴洛瓦先生？
13,冷静点！\n我们是来帮你的！\n我们是来救你的！
12,不要！离我远点！
11,你！没事吧！
10,哇！\n真的在这里啊！
9,呀啊啊啊啊！
6,怎么了搭档？\n……原来如此，在那儿吗！
5,…………！
4,之后过了一会儿，\n众人一边打倒魔物一边在馆内\n奔跑。不久……
3,可恶……！\n应该没有听错才对……
2,……我说，大叔，\n你真的听到小鬼的声音了吗？
1,唔……\n没找到……
0,喂！\n小姑娘！你在吗！？
0-synopsis,搜查的结果是，姬塔一行人发现并救出了一个小女孩。他们注意到女孩身上散发着怪盗香奈儿的香水味，便知道是怪盗放走了女孩。正当众人思考怪盗究竟在图谋什么的时候，抓走巴洛瓦和女孩的组织成员出现了。
0-chapter-name,名侦探的自尊
