id,trans
filename,scene_evt150228_cp6_q1_s20
translator,gpt-4o-2024-08-06
info,scene_evt150228_cp6_q1_s20
127,姬塔！这里只能阻止这两人！来了！
126,杜奥……住手！
125,呵呵呵……暂时，就由你们来陪他们吧？
124,那么，特别告诉你吧。我的力量是……让目标者感知幻光……
123,什么！？你的力量是……
122,啊……果然不愧是！那时为了想了解你们的实力，才动用了这股力量……
121,！？这是……最初的神社里的，那光……
120,动不了……啊……
119,身、身体……
118,随着特雷斯的声音，耀眼的光芒包围了斯特姆和德朗克。
117,哈！
116,特雷斯先生……
115,（什么……！？）
114,（斯特姆殿……感觉有点不妙……好啦好啦！准备逃跑～！）
113,呵呵……所以这次，轮到我们……来利用你们了……
112,哈哈～利用什么的真讨厌～充其量是合作关系哦～
111,又不知悔改地想利用我们的力量……吗？
110,你们……竟然不知道我们曾在霸空战争中被利用……
109,哦！记住了真高兴！那玛姬先生该怎么称呼呢？叫玛姬的话不就三个人一起了吗～
108,你……叫德朗克吗？
107,有趣……真的……太有趣了。
106,抱歉。为了接近玛姬，利用了你们。
105,斯特姆……
104,是真的哦～兄弟，撒谎抱歉啦～
103,什么！？这是真的吗，兄弟……
102,啊！假装听到了玛姬的声音！那还挺有趣的……不过全是假的～
101,为了让兄弟的身体恢复原样而封印玛姬什么的……
100,喂喂……开玩笑吧？兄弟？
99,啊～啊～被听到了啊……兄弟，到现在为止一直在撒谎，抱歉哦～
98,你说谎……是什么意思……
97,哎呀哎呀～兄弟，你怎么一脸可怕的表情～
96,兄弟……
95,在那里，稍微晚了一些，一行人到了。
94,啊……抱歉！那全都是骗人的！
93,你和泽赫一起……是听到玛姬声音的同志吧！
92,可是……你说要治好泽赫的病……
91,不不～我从一开始对封印玛姬就没什么兴趣～
90,不可能……不行的德朗克！你也是要封印玛姬的吧！
89,太好了～那么，从现在开始我们就是伙伴了，请多关照～
88,真的吗！？
87,联手……吗。……有趣。
86,不过在现代世界行动时，和我们联手也不是坏事哦～？
85,虽然不知道你们的目的是什么……
84,你看你们……在这个被隔离的岛上……一直都在沉睡吧？
83,……什么？军事机构……？
82,希望你们能将力量借给那个国家，能合作吗～？
81,……其实我们……和某个国家的军事机构有很深的联系～
80,那么……有什么事吗？我可是好心放你们走的……
79,为了那个目的，才和你们一起行动的～
78,小乌娜，抱歉啦～其实，我们有个目的～
77,斯特姆！这是什么意思？
76,嗯。不过我们不是他们的同伙。
75,啊……没错……你是刚才和那些人在一起的……
74,德朗克！
73,嗨——！玛姬的各位！
72,（没问题啦……交给我就行了！）
71,（真的没问题吧。德朗克）
70,斯特姆和德朗克正朝玛姬的所在地前进。
69,正当姬塔一行对玛姬进行对策研究时。
64,斯特姆和德朗克暗中策划，悄悄离开了现场。
63,（……嗯。不过就这样逃跑也不行～）
62,（笨蛋……捕获觉醒的星晶兽不是那么简单的）
61,（按照委托，把这家伙的力量拿到手带回去，就能得到足够一生享受的报酬！）
60,（总觉得有些不对劲所以跟来了……超幸运吧！）
59,（嗯……看来是这样）
58,（喂喂斯特姆大人！这就是……玛姬复活了吗！？）
57,！？好的……师父……
56,等等泽赫！先冷静下来！
55,……没关系！在这里呆着算什么！我一个人也要去！
54,嗯……无论如何，在还不清楚玛姬力量的实际情况时，不能轻举妄动……
53,什么！？那么乌娜可能是被那个家伙操控了！
52,不……玛姬的意志，好像是由那个人杜奥一个人掌握的……
51,嗯……也就是说星晶兽玛姬……三个部分分别独立有自己的意志吗……
50,确实……我感受到了星晶兽玛姬的力量有三个。
49,但是……在乌娜的身后，也有和那两人一样的家伙！
48,那是……即使是我也想相信乌娜……
47,但是……乌娜……
46,是的……我们完全被利用了。转换思路……现在只想着打倒他们。
45,我们，是被乌娜和特雷斯骗了吗！？
44,喂喂……这是怎么回事！？明明应该封印了玛姬，结果却复活了……
43,可恶……到底是怎么回事……
39,等下！你这家伙！放开乌娜！
38,哈哈……不对哦，乌娜。你的身体在这边哦？
37,呃……身体不听使唤……
36,哈……
35,那么，走吧……特雷斯，乌娜。
34,是的……吓到你们了真抱歉。作为解开封印的谢礼……放你们一马吧。
33,怎么回事！？那个小哥竟然是玛姬……
32,这是我看到的……幻觉……
31,咕……强大的力量……
30,是、星晶兽……
29,你们所说的……沉眠于东方之地，被称为伟大遗产的玛姬，就是我。
28,我的名字是，玛姬＝杜奥。
27,你、你别开玩笑了！你到底是什么人……
26,这样一来……我就可以无拘无束地在这个世界玩耍了。呵呵呵……
25,真的得到了帮助。多亏了你们，终于从这个可恶的封印中解放出来了……
24,……哈！？那声音是……你这家伙！
23,吾乃……玛姬……于东方之地……沉眠……
22,什么！？解开了封印？
21,哎呀！是你们啊！由衷地感谢你们解开了我的封印。
20,明明应该封印了玛姬……却出现了那个叫杜奥的家伙……？
19,喂，乌娜……这是怎么回事？
18,喂，喂！冷静点！我们也搞不清楚状况？
17,迈、迈谢拉小姐！？
16,你们在发什么呆！你们也赶快全力打倒这些家伙！否则就无法挽回了！
15,师……师父！？为什么……
14,哈哈哈……真是突然的无礼问候啊。
13,然而，那道魔力光线却被轻易地躲开了。
12,迈谢拉向杜奥发射充满魔力的光线进行攻击。
11,哈啊啊啊啊啊！
10,咕……看来是被彻底骗了。
9,啊，太好了……还以为特雷斯先生也忘记了该怎么办。
8,……杜奥大人。看起来您没有变化，真是太好了。
7,诶……？难道真的忘记了吗？……特雷斯先生呢？
6,杜奥……你……在说什么？
5,啊……我明白了。乌娜小姐是在取笑我吧？
4,怎么会在这里……？请别开玩笑了。
3,……杜奥！？你、你怎么会在这里？
2,呵呵……初次见面……各位……
1,再次视野展开时，那里站着一位青年。
0-synopsis,当乌娜、特雷斯、泽赫三人注入魔力时，周围被光芒包围，一名青年杜奥出现了。实际上，这一切都是杜奥为了复活玛姬所设的陷阱，而乌娜、特雷斯、杜奥三人正是星晶兽玛姬。玛姬为了实现他们的目的，操控了曾请求合作的德朗克和斯特姆的身体，对姬塔一行挥刀相向。
0-chapter_name,第6话 当魔力消散时，他
