id,trans
filename,scene_evt190726_cp0_q1_s10
translator,Gemini
info,scene_evt190726_cp0_q1_s10
143,怀着对夏日海边的期待，\n众人迫不及待地\n准备前往海边。
142,众人商量了一下，决定中午\n在榭洛科特的海之家集合\n一起吃午饭。
141,去托诺西岛就用我的船吧！\n准备好了就来叫我。
140,哇～! 寿司，好在意！\n我们一定要吃哦，\n姬塔！
139,那可是绝品啊！\n竟然还有这么美味的吃鱼方法\n真是太让人吃惊了！
138,嗯……很有趣。\n生吃鱼吗？
137,从几年前开始就大受欢迎，\n为了吃寿司来岛上的人\n也很多哦～
136,托诺西岛上，\n用生鱼做的<span class='scene-font-spword'>「寿司」</span>这种\n乡土料理很有名～
135,炒面、烤土豆\n烤鱿鱼、法兰克福香肠……\n肚子已经开始饿了！
134,会有很多小吃摊吧？\n嘿嘿，会有苹果糖吗！？
133,在榭洛科特的安排下，\n众人计划下午前往托诺西岛，\n享受节日。
132,托诺西岛是从贝内拉海滩\n乘船数小时就能到达的\n奥古斯特列岛的一个小岛。
131,哈哈哈！\n托诺西岛的<span class='scene-font-spword'>「河童祭」</span>，\n会更热闹！
130,连西格也这样！？\n一大早就这么热闹啊……
128,哦！\n这就准备出海捕鱼了吗！\n第一名我可不会让给你！
127,跑走了……
125,来吧，在大海中飞舞的鱼儿们！\n让我们堂堂正正地决一胜负吧！！
124,嘎哈哈哈哈……！\n换上了正装，\n心情倍儿爽啊。
123,<span class='scene-font-4'>呜哇！？</span>\n什么啊，好大个的老爷爷！
122,我，登场啦啊啊啊！！
121,太阳闪耀！赤膊上阵！\n乘着海风，好！
119,今年和当地的观光协会，\n进行了合作～\n把这种联系也扩展到杂货店那边……
118,不用在意～\n今年的海之家已经做好了万全的准备～
117,谢谢你们！\n海之家那边也很忙……
116,两人在旅行计划和住宿安排等方面，\n为众人的假期\n提供了帮助。
115,一边挥着手，\n一边向众人走来的\n榭洛科特和卡塔库里。
114,好久不见啦！\n大家都很精神真是太好了。
113,呵呵～，大家，\n都到了啊～
111,嘛，如果今年的份已经结束了\n接下来就好好放松一下吧。\n辛苦了，姬塔小姐。
110,姬塔……\n你又卷进奇怪的事情里了吗？\n每次度假都这样。
109,……诶？\n不是开玩笑吗……？
108,啊哈哈……
107,啊哈哈！陨石和飞天鲨鱼！？\n想用这种玩笑骗我\n可没那么容易～！
106,嘛，虽然有陨石掉下来，\n鲨鱼在天上飞什么的……
105,啊，玩得很开心！
104,姬塔，\n这次的假期怎么样？\n玩得开心吗？
103,家臣……？
102,哦！帕西瓦尔，\n你找到新的家臣候补了吗？
101,哦……你叫卡西乌斯吗。\n你跟那条笨狗不一样，\n看来你很懂嘛。
100,真是合理啊。
