id,trans
filename,scene_evt190828_cp6_q2_s10
translator,gpt-4o-2024-08-06
info,scene_evt190828_cp6_q2_s10
69,就在阿丽莎不断躲避瓦希德的攻击时，一行人赶到了寺院。
68,等、等一下！我没有想要战斗啊！
67,哼！
65,哇哇！等一下！
63,呜啦啊啊啊！
62,是啊……
61,避开无意义的战斗为妙。我们有该做的事情。
60,仙人……怎么办呢……
59,瓦希德虽然踉跄，但仍然挥起手斧，威吓阿丽莎。
58,何止是恨啊。我是想要从这个世界上将其抹去啊啊啊！
57,你刚才说的对吧？大叔，你恨阿特法吗？
56,是不认识的脸，是旅人吗。难道……你是那家伙的同伴？
55,瓦希德瞪了一眼跑过来的阿丽莎，充满杀气。
54,等、等一下！大叔！
53,不断吐露憎恨也是一件痛苦的事情啊。如今，已是空壳了吧……
52,呜呜……
51,那是，刚才的……
50,阿丽莎为了寻找塔阿罗神的下落冲出礼拜堂，在寺院的广场上发现了瓦希德的身影。
45,嗯……！
44,在暴走的塔阿罗神吞噬岛屿之前必须将其击退！
43,阿丽莎，无论如何，我们要做的事情不会改变。
42,嗯，如此强烈的憎恶……真是没想到……
41,咦……？消失了……
40,随着沙尘暴逐渐平息，刚才还在祭拜的神体和瓦希德一起消失了。
35,唔唔……
30,「呀！」
29,刹那间，沙尘暴吹入礼拜堂，夺去了阿丽莎的视线。
27,呃……我的愤怒！憎恨！不是仅仅如此。这还不够！！
26,仿佛是神体在吸取他的生气。
25,随着神体的光芒逐渐增强，瓦希德的气势却似乎在减弱。
24,我的愤怒、悲伤、憎恨……还有恐惧！！
23,哈哈哈哈哈！可恨的考伊之子，阿特法！受死吧！就这样消亡吧！
18,当瓦希德仿佛失去理智般狂笑时，神体开始发出微弱的光芒。
17,我必须这么做！为了断绝因果！嘿嘿嘿嘿嘿！
16,（刚才，说的是阿特法……）
15,驱散即将降临的灾难是理所当然的……！我要保护我的家族免受阿特法的侵害！
14,但今夜就让我们来终结这一切吧。
13,塔阿罗神啊……复仇引来复仇，自古以来就是这样被呼喊的……
12,阿丽莎的惊讶并不无道理。在礼拜堂中，瓦希德正对着神体以愤怒的面容进行祈祷。
10,啊！？那、那是什么脸……
9,这就是所谓的诅咒……阿丽莎，看看礼拜堂的深处。
8,这是什么……与其说是祈祷……不如说是怨恨的旋律……
7,就在这时，阿丽莎和法沙尔仙人到达塔阿罗寺院，倾听从礼拜堂传出的祈祷声。
2,狂暴的沙尘暴遮蔽了灿烂的阳光，塔阿罗岛被黑暗笼罩。
0-synopsis,阿丽莎和法沙尔仙人到达塔阿罗寺院时，发现瓦希德在礼拜堂对着塔阿罗神的神体诅咒阿特法。被沙尘暴夺去视线的阿丽莎再度看到时，神体和瓦希德已经消失。当阿丽莎冲出礼拜堂时，瓦希德在广场上，并以混乱的状态袭击阿丽莎。这时，姬塔一行赶到了。
0-chapter_name,第6话 不屈怒放的玫瑰花
