id,trans
filename,scene_evt180430_cp1_q1_s10
translator,Gemini
info,scene_evt180430_cp1_q1_s10
146,"  胜负已分！\n第一轮比赛的获胜者是，\n索利兹——！"
145,"  万丈，\n他被踢飞到擂台外面去了！\n这……"
144,"  呜，咕……"
141,"  索利兹的全力一击\n正中\n万丈的腹部！！"
140,"  以拳击作为假动作的踢击！"
139,"  面对这样的万丈，索利兹\n露出了一抹奸计得逞的笑容，\n收回了拳头，从距离之外\n向他发起了踢击。"
138,"  咕啊啊啊！！"
134,"  哈哈哈！！"
133,"  万丈慌忙地\n收回双节棍\n向后退去。"
132,"  可恶！"
131,"  哦哦！？\n万丈，\n他不自觉地摆出了使用双节棍的架势！？"
130,"  而这份动摇，让他的身体\n做出了防御的姿态。"
129,"  面对毫不犹豫地举起拳头的\n索利兹，万丈\n微微有些动摇。"
128,"  ！？"
125,"  嘿——咻！！"
124,"  ……既然你都这么说了！\n那我就恭敬不如从命了！"
123,"  啊？\n你到底想说什么……"
122,"  你不用勉强自己，\n可以用拳头战斗也没关系。"
121,"  不依靠它我也能\n充分地战斗。"
120,"  哎……？"
119,"  我本来就\n不擅长使用双节棍。"
118,"  哼……"
117,"  而且，\n对你来说那根棍子\n不也是累赘吗？"
116,"  虽然知道你不会使用，\n但它在我的视野里晃来晃去，\n我的注意力就不自觉地被吸引过去了。"
115,"  索利兹指着\n万丈手中的\n双节棍说道。"
114,"  因为那玩意儿\n太碍眼了。"
113,"  哦？\n被你发现了吗！"
112,"  怎么了？\n你的动作看起来很多余啊。"
111,"  啧，不过真是漂亮的踢击！\n你比我想象的要强啊！"
110,"  喔……好险好险。\n你确实没有使用武器，\n但这又是怎么回事啊。"
106,"  双节棍踢击！！"
105,"  哈啊啊啊啊……"
104,"  这股压迫力……\n完全看不出来他们\n和平时的战斗风格判若两人啊！"
103,"  <span class='scene-font-4'>喔哦！？</span>\n踢击带起的风压\n竟然都传到这边来了！"
100,"  哼……\n<span class='scene-font-4'>喔喔喔喔喔喔——！！</span>"
96,"  来啊来啊来啊——！！"
95,"  双方都封印了自己那\n强壮的双臂，进行着\n腿技对决……这场比赛真是太奇妙了！"
94,"  <span class='scene-font-4'>哈哈哈——！</span>\n看来会是一场很有意思的比赛啊！"
93,"  没用的！"
89,"  喔！你的踢击\n还挺不错的嘛……喔！"
85,"  先攻就……由我来取了！"
81,"  开始！！"
80,"  那么，第一轮比赛，\n索利兹对阵万丈，\n预备……"
79,"  终于开始了啊！\n赶快打起来吧——！"
78,"  苍穹斗技大会可不是\n耍嘴皮子的比赛，\n而是要拿出真本事来！"
77,"  这两个人怎么自己\n给自己加限制啊……\n总之先开始比赛吧！"
76,"  是啊！\n用踢技一决胜负，\n听起来很有趣不是吗？"
75,"  你什么意思？\n难道你也要用踢技战斗吗？"
74,"  算了，无所谓！\n我奉陪就是了！"
73,"  哈？\n那你拿着那根棍子\n是几个意思啊……"
72,"  我会用踢技战斗。"
71,"  放心吧。\n我不会使用这根双节棍的。"
70,"  那么！\n关于最关键的「武器使用禁止」规则……"
69,"  嗯……虽然是说了什么愿望都能实现，\n但具体事宜还请在\n获得优胜后再与大赛执行委员会协商！"
68,"  什么愿望都能实现，\n这种话听起来太扯了。不过光有钱\n就已经谢天谢地了！"
67,"  …………"
61,"  最终获胜的选手除了能获得巨额奖金\n之外，还能实现一个愿望！"
60,"  本次决赛的\n参赛选手总共有十二人！"
54,"  另外，也可以\n主动认输。\n也就是所谓的「我认输了」！"
49,"  擂台外判负，或者\n被击倒后十秒内无法站起\n则判定为败北。"
48,"  在这座斗技场中央的\n擂台上进行一对一的较量！"
43,"  任何武器和道具\n都禁止使用。\n当然，魔法也是禁止的！"
42,"  苍穹斗技大会是\n仅凭肉体力量一决胜负的比赛。"
37,"  选手提出了理所当然的疑问！\n正好借此机会，我们来\n回顾一下比赛规则吧！"
36,"  索利兹指着\n万丈握在手中的双节棍说道。"
35,"  这场比赛，\n不是禁止使用武器的吗？"
34,"  话说回来，\n我倒是不介意……"
33,"  话说回来，这组合\n还真是让人热血沸腾啊！"
32,"  双方刚一登场就火花四溅！\n酷——！\n这股热情都传递到我这边来了！"
