id,trans
filename,scene_evt241029_cp2_q1_s10
translator,gpt-4o-latest
info,scene_evt241029_cp2_q1_s10
60,上吧──！
59,这句话还给你。现在就展示我获得自由的秘术吧。
58,别死了。
57,现在都出来了。每一个都相当于有名的骑士团长。
56,找到了！各班集合！
49,等会见……！这是约定哦……！
48,知道了……！营救人质就交给我们吧！
47,就这么定了。那就把信号弹给你们。
46,姬塔。拜托你照顾碧之骑士的女儿。
45,哼……不过也好。好久不见你的本事了。
44,别擅自决定。
43,放心吧。橘子头也会和我一起殿后。
42,我会阻止他们。魔匕人拥有超常的身体能力。突破陷阱只是时间问题。
41,可是……马科伊先生怎么办？
40,姬塔一行。你们先往前走。有条只有孩子能过的小路。
39,哼……什么时候下的手。你还是那样难以捉摸。
38,不要太期待。这不过是昨天临时布置的陷阱。
37,怎么回事？到处都能听到悲鸣？难道是爆炸头大叔的杰作？
33,是火焰喷射！居然还撒了油……
31,第一班！发生了什么──
26,你还真是悠哉──
25,不愧是曾经的同伴。底牌你很快就会知道了。
24,揭开底牌吧，马科伊。可别说你毫无计划就来洞窟了。
23,哈……哈……这样下去会被抓住的……得想办法……
22,哦哟哟……一个接一个冒出来。到底谁才是蟑螂啊。
21,喂喂喂……！怎么脚步声越来越多了！？
17,各班包围！封锁所有洞窟出口！
13,可恶……！还不肯放弃吗……！
10,但背后的脚步声并未停止，甚至感觉到逐渐靠近。
9,为了逃避武装集团的追踪，一行人到达了洞窟的深处。
0-synopsis,一行人到达了洞窟，但背后传来的脚步声不断，增援也正在接近。马科伊用事先布置的陷阱阻止敌人，并为姬塔一行指示了一条小路。姬塔一行前去营救人质，而马科伊和旦特则作为诱饵吸引追兵。为了争取时间，两人迎战逼近的强敌。
0-chapter_name,第2话 魔匕人
