id,trans
filename,scene_evt150831_cp2_q3_s10
translator,gpt-4o-2024-08-06
info,scene_evt150831_cp2_q3_s10
89,费尔德拉克这样说完，\n便离开了斑特的身边。
88,……是吗。\n那么，就交给你了。
87,所以，外界的知识不需要。\n我会专注于得到的指示。
86,感谢您的关心。\n但是，我会在梅德维基亚生存，\n在梅德维基亚消亡。
85,外界的世界很广阔。\n如果你有兴趣，\n我允许你去看看。
84,是什么？
83,……还有，斑特。\n最后还有一件事要说。
82,明白了。\n我会遵从指示。
81,如果那些人类对斑比\n做出有害行为……\n可以解决他们。
80,这就是你的任务。\n你也要同行，监视那些人类。
79,不过，把斑比交给\n那些人类是否太危险……
78,没错。\n在骚动平息之前，尽量\n不要在民众面前露面。
77,原来如此……\n所以才故意让她去外界……
76,隐匿异端的伊丽莎白，\n不断违反规矩的行为……\n刺激了民众的紧张情绪。
75,那么，我就直说了。\n我希望不要让斑比留在梅德维基亚，\n并自由活动。
74,是的，我了解。\n我也理解民众的紧张情绪在加剧。
73,斑特，\n你明白梅德维基亚的现状吧。
70,贝斯蹒跚地走到\n洞穴的入口，坐下来挥手，\n目送一行人离去。
69,嘿嘿，出发啦！！
68,嘿嘿\n它说一路顺风哦！
67,呜噜噜……\n呜哇～！
66,斑比她们会\n再带来满满的，\n水果和蔬菜哦！
65,那么，接下来，\n去为贝斯收集作物吧！
64,嘿—！\n常说人不可貌相，\n原来吸血鬼也是这样啊。
63,呜哇—
62,只有费尔德拉克，\n虽然偷偷地但很温柔地对待它哦！\n对吧，贝斯！
61,其他的眷属们啊，\n斑特啊，全都想把\n贝斯赶走……
60,嗯！费尔德拉克呢，\n虽然那副样子，\n但非常温柔哦！
59,呼……叫费尔德拉克吗。\n他，虽然看起来很可怕……\n……但怎么说呢，是个好人啊。
58,听到斑比的回答后，\n费尔德拉克和斑特一起\n走出了洞穴。
57,好的！
56,出岛时小心不要\n被其他人看见。
55,……斑比，人类们。\n我们要离开了。
54,……斑特。\n出去吧。
53,费尔德拉克大人！\n为什么，您会给予许可！
52,呃呃……！！
51,就是啊！\n不像某个～？\n某个人呢～？？
50,嘿嘿！\n真是个通情达理的老头！
49,嗯！知道了！\n谢谢！费尔德拉克！
48,不过，如果要采取行动，\n必须和那边的人类们一起。
47,什么！？\n那，那怎么行！？
46,……也好。\n斑比，我允许你\n去外界。
45,哦，是吗，\n还愿意帮助不同种族的斑比吗。
44,所以我们想着，和斑比一起\n再去收集一些水果回来……
43,啊，这个胖家伙\n看起来还很饿。
42,……为什么，\n还需要收集更多的作物。
41,……哼。
40,呃……
39,真丢脸……不要再说了！
38,再说了，\n把人类招入岛内\n本身就是违反规矩的！！
37,什么！？\n那是因为斑比违反规矩\n又想去外界……
36,斑特总是来妨碍我！\n训斥他吧！骂他吧！
35,还要采集更多更多的水果和蔬菜呢……
34,为了斑比\n和贝斯……
33,对啊！\n喂，费尔德拉克！
32,…………嗯。
31,但是，规矩……
30,现在放逐它也\n不合道理吧。
29,……确实。\n但是，是斑比捡回来的生命。
28,吼呜……
27,不如就放任不管吧。\n这种异端的存在……
26,我是来看贝斯的情况的。\n如果它死了就麻烦了。
25,不必在意。\n那么，我来这里的理由。
24,怎么了……？\n他刚才想做什么？
23,…………
22,费尔德拉克将\n放在左胸的右手轻轻放下。
21,……没错。
20,统治这个国家，\n统治吸血鬼的您，\n不能这样做！！
19,…………？
18,费尔德拉克大人！？\n请等一下！！\n对方是人类啊！？
17,费尔德拉克庄重地说完，\n将右手放在左胸上。
16,人类们，虽是异端，\n却能拯救我们的同胞……\n真是了不起。
15,……让我回到正题。
14,只是照顾他们而已。\n并没有血缘关系。
13,诶！？\n是，是这样吗？
12,他也是斑比和斑特的\n父亲哦！
11,严格来说不是这样，\n不过那样理解也无妨。
10,也就是说……\n是吸血鬼们的王吗？
9,我的名字是费尔德拉克。\n统治着这座岛——梅德维基亚。
8,……别那么警惕。\n我不会吃了你们。
7,什，什么？
6,人类们。
5,原来如此，真是狂热的人类。\n没想到竟然会拯救我们的同胞。
4,嗯！没错！\n他们非常温柔地帮助了我！
3,没错吧？
2,原来如此……也就是说，\n那边的人类帮助了斑比，\n帮忙收集食物并送回岛上。
1,听完两人的解释后\n这位男子宽宏大量地点点头。
0,一行面前出现了一位威严的男子。\n他从斑特和斑比那里听到了\n一行来到岛上的经过。
0-synopsis,出现的男子名叫费尔德拉克，是梅德维基亚的统治者。他对一行人救了斑比脱离危机表示感谢，并再次允许斑比离开岛屿。费尔德拉克心里想的是暂时将让民众不安的斑比置于岛外。于是，他任命斑特为斑比和姬塔一行的监视者，并让其同行。
0-chapter_name,第2话 错综的疑念
