id,trans
filename,scene_fate_chr051_ep1
translator,Gemini
info,scene_fate_chr051_ep1
60,朝着未至之地，\n姬塔一行人继续在空中旅行。
59,在意想不到的地方，\n姬塔获得了一位志同道合的伙伴。
58,姬塔你，\n看起来挺可靠的，\n可别让我失望啊？
57,那我就恭敬不如从命了，\n让我也加入姬塔你们的旅程，\n一起同行吧。
56,这样啊……呵呵，是啊。\n真是有趣的提议……不，是好主意呢。
55,等、等一下！\n那姐姐你跟我们\n一起去不就好了吗！？
54,真有气势啊……我都要被你迷倒了。\n不过，谈判破裂了呢。
53,啊，啊哇哇……
52,那当然好啊！\n反正目的地相同，\n就一起去吧！
51,一起……？\n我和姬塔你们一起？
50-sel2_txt,不会把露莉亚交给你
50-sel1_txt,那，一起走吧
50,那么……\n能让我听听满意的答复吗？
49,我啊，可是很专一的。\n一旦决定了的事情，无论如何，\n都绝对不会让步。
48,所以说，\n我需要露莉亚。\n你不会让我放弃吧？
47,什……！？
46,当我意识到的时候，\n着实吓了一跳。\n那竟然是星之岛什么的。
45,但是，那个世界，\n既非过去也非未来……
44,呵呵……\n我啊，怎么说也是个天生魔女。\n所以做过很多特别的梦……
43,难道说……\n玛姬莎你\n梦到的是……
42,至今仍记忆犹新。\n连香气都记得清清楚楚……\n我一直在寻找，梦中所见的世界。
41,我啊……心驰神往。\n对某个夜晚梦到的世界，\n我无可救药地心驰神往。
40,她是关键……露莉亚是。\n姬塔你也知道吧？\n露莉亚是什么样的存在。
39,所以呢？你说\n需要露莉亚，\n到底是什么意思？
38,原来如此……\n是这么回事啊。
37,姬塔\n向她说明了与露莉亚的相遇，\n以及至今为止的旅程。
36,总之，为了我的目的，\n无论如何，\n都需要这个孩子……
35,算了……\n那种胆小鬼怎么样都无所谓。
34,咯咯……\n哎呀呀，又被甩了。
32,开、开什么玩笑！谁要奉陪啊！\n可恶……你这魔女！
31,我重要的朋友哦。\n放心，它没有看起来那么可怕。\n只是脾气稍微有点暴躁……而已。
30,什……什么东西！？
29,我正好\n不知道拿它怎么办才好。\n来，一起玩吧？
28,是吗？\n大欢迎啊，那就好……\n对吧？哞酱。
27,当然！\n像小妞你这样的美人朋友，\n当然是大欢迎了！
26,好啊，那……\n我还有个朋友，\n可以让他也一起来吗？
25,哎呀，你……想和我玩吗？
24,不说那个了！\n小妞，要不要和我玩玩？\n我现在正好有空！
23,干嘛？\n在消灭蜥蜴吗？
22,哇……\n这家伙是谁……
21,哟，小妞！\n在烦恼什么呢？
20,没有啊？哪有？\n嗯……\n但那样的话就伤脑筋了……
19,啊，那个，那个……\n真的不是那种奇怪的意思……\n为、为什么在那傻笑啊！？
18,哎呀……？\n难道说……哎哎！\n是这样吗？是这样吗？呵呵呵……
17,而且……不只是这样，\n我们之间，那个……\n是密不可分的关系……
16,没错！\n别看她这样，其实很可靠的！
15,姬塔可是\n我们骑空团的团长！
14,呵呵……你，还挺英姿飒爽的。\n眼神不错……\n你是这位水蓝色头发孩子的护卫吗？
13,帝国？\n啊，是说艾尔斯提帝国吗？\n我对那种东西没兴趣……
12,没错！\n突然说这种莫名其妙的话！\n难道是帝国的走狗！？
11,诶！？\n请、请等一下！
10,那么，\n跟我走吧。\n放心，不会伤害你的。
9,言归正传……\n我一直都在找你。\n不过，终于找到你了。
8,嗯，那你就\n叫我玛姬莎吧。
7,哎呀……「你」什么的也太失礼了……\n啊，也是呢……\n叫漂亮的大姐姐，又不太合适。
6,喂，难道说，你……\n认识露莉亚吗！？
5,诶？\n一直在找我，是说……\n在找我吗……？
4,对，就是你……终于找到了。\n我一直都在找你。
3,呃……我、我吗？
2,呐……\n那位要走的小姐。\n水蓝色头发的你……没错，就是你。
1,办完事，正准备登上骑空艇的一行人，有人叫住了他们。
0,旅行途中，姬塔一行人造访了某个小镇。
0-synopsis,一行人差点被神秘魔女玛姬莎带走露莉亚。在阻止了她并听完解释后，得知玛姬莎一直心驰神往于先前梦到的星之岛，并为此寻找露莉亚。有着相同目标的一行人和玛姬莎决定结伴同行。
0-chapter-name,魔女所见的梦境
