id,trans
filename,scene_evt240628_cp5_q2_s10
translator,GPT4o
info,scene_evt240628_cp5_q2_s10
143,一切的开始，追溯至\n远古时期……甚至在霸空战争之前。
142,嗯……我必须说出来。
141,听你这样说，你似乎知道\n塔梅蒙的真相。\n能告诉我们吗？
140,历史上，从未有相扑战士\n能完全唤醒塔梅蒙……
139,莱登……我一直认为他有潜力，\n但没想到竟然有力量引发\n这样的事态。
138,真厉害……相扑战士，\n也能做到这种程度吗……
137,好。我已经通过刚才人鱼王传来的相扑之力，\n大致了解了莱登的危机。
136,能见到您真是太好了。\n我们来这里的原因是……
135,您就是横纲……\n<span class='scene-font-4'>不，横纲师父！</span>
134,我一直在等你们。
133,在那门的另一边，\n有一个堂堂正正站立的男人。
115,于是姬塔、塔拉塔、\n希耶提、娜尔梅亚、九太、\n伊卡洛斯穿过了发光的门。
112,大家，我们走吧。\n前往横纲那里……！
111,明白了……！\n九太，会努力做到的！
110,为了报答人鱼王师父，\n变得更强才是\n最正确的选择……！
109,是吗……是啊……
108,如果是师父最后的请求……\n听从它，是我们作为弟子的\n职责，不是吗？
107,姬塔说的对。\n人鱼王师父的愿望是我们\n拜横纲为师，获得力量。
105-sel1_txt,现在继续前进吧
105,九太和伊卡洛斯试图\n挽留他的背影，但──
104,师父！
103,说完这话，人鱼王\n踉跄地打算离开。
102,师父……？
101,番付社会，\n竟然也要吞噬我……\n真是可怕……
100,而且，我也走到了尽头。
99,同时仰慕两个师父，\n这是不可能的……\n这是相扑战士的规矩。
98,……心意领了。\n但是，这不行。
97,<span class='scene-font-4'>对啊！</span>\n请跟我们一起，\n和横纲一起教导我们吧！
96,<span class='scene-font-4'>等一下，人鱼王师父！</span>\n还有很多事情\n没有从您这里学到啊……！
95,那家伙一定能教你们，\n我未能完全传授的\n作为相扑战士的心。
94,你们，穿过这条路。\n然后从这里开始，\n拜横纲为师父。
93,……放心了。\n看起来，即使是假冒的师父，\n也能做到这一步。
92,似乎在召唤我们……\n这是通往横纲所在的\n思念世界的入口吗……？
91,与此同时，姬塔一行的\n视界开始摇曳，\n出现了一个发光的门。
90,人鱼王用力踏下一步，\n周围迸发出耀眼的光芒……
78,どすこぉぉぉぉぉぉい！
77,……我已经，打算引退做师父了。\n后面的事情就拜托你了，横纲！
76,这，这光……！\n有种好预感啊！
72,因此，这样的话……\n他们去你那里应该没问题了。
71,横纲啊，你能听见吗。\n我的弟子们的相扑之力，\n已然练得如此精湛。
70,姬塔一行按照指示闭上眼睛，\n人鱼王向祠堂的墙壁伸出手，\n仿佛在对它说话。
69,好了，你们……闭上眼睛\n集中精神，\n聆听横纲的声音。
62,现在正是再次拜访\n横纲的时候！
61,嗯，现在那家伙一定会\n接受你们的。
60,师父！\n那是，难道说……
59,嗯，是吗……其实我也认为，\n时机已经成熟了。
58,那些家伙，都是自由的……\n可能觉得自己的角色已结束，\n就回去了吧？
57,咦……？\n贝恩先生，到底去了哪里呢……
53,在这里的角色结束了，\n该去下一个角色了……
52,贝恩？\n怎么了？
51,嗯，这样啊……\n我也被召唤了呢……
50,在一轮对抗结束后，\n贝恩突然站了起来。
49,随后，娜尔梅亚和希耶提也接连击败贝恩，\n获得了「大关」的肯定。
40,我们也不能落后啊！\n那么，让我们马上挑战\n贝恩关吧！
39,哇，好厉害啊姬塔关！\n我也要努力了……！
38,已经可以说是处于\n<span class='scene-font-spword'>「大关」</span>的地位了。
37,如果贝恩关认同的话，\n现在的姬塔，无论名义上还是实际上，\n都是这个房间的最高序列。
36,看来依然受到规律的\n影响呢。
35,不，态度转变得太快了吧！\n果然还是不习惯啊……
34,从今以后，\n请允许我以敬意称呼您为\n姬塔小姐。
33,我明白了。\n即使胜利的次数尚不及我，\n特异点已经完全超越了我。
32,这时贝恩走近，\n轻轻地低下了头。
31,接受大家喝彩的姬塔\n以堂堂正正的姿态走出了土俵。
30,原来如此……\n风格即使被对手察觉，\n也能反过来利用。
29,从刚才的对抗来看，\n贝恩因为警惕左手上手投，\n才被轻松地推了出去。
28,找到自己的风格，\n本身就是作为相扑选手\n整体成长的一部分。
27,不，这样就好。\n风格是要找到的，\n而不是被束缚的。
26,喂，喂……\n这可不是左手上手投啊。
25,哇！\n做到了，姬塔！
24,<span class='scene-font-4'>……胜负已分！</span>\n推压出场，\n姬塔小姐获胜！
23,这是……
22,姬塔紧紧抓住贝恩，\n将他推到了土俵外。
21,呜哦哦哦哦哦哦！
20,……不！
19,哦！\n那就是说她要用左手上手投了！
18,姬塔拥有右四手左上手的\n风格！\n现在正是那种风格！
17,风格是指，一旦形成这种姿态\n就绝不会输，\n是自己擅长的姿势。
16,那，风格是什么？
15,哦……左手上手投。\n这毫不犹豫的进攻……\n看来她找到了自己的风格。
14,（原来是左手上手投……！\n特异点在与其他人练习时\n展示过几次的技巧！）
13,────！
12,姬塔关一定能做到！
11,加油，姬塔关！
7,贝恩急忙想重新四手紧扣，\n但姬塔比他更快开始推压。
6,（这样下去……\n很危险……！）
5,（为什么……？\n这稳健的步伐……\n与昨日的腰部用力方式不同！）
4,但与姬塔较量的\n贝恩立刻注意到\n姬塔和平时不同。
3,次日。像往常一样，\n姬塔在挑战贝恩。
0-synopsis,找到自己风格的姬塔，以强有力的相扑击败了贝恩。接着，娜尔梅亚和希耶提也相继击败了贝恩，人鱼王看到此情此景，笃定地说现在他们应该可以拜入横纲门下了。姬塔一行拜访了祠堂，通过人鱼王用相扑之力开启的发光之门，见到了横纲。横纲迎接了姬塔一行，开始讲述相扑的历史。
0-chapter_name,第5话 新的相扑战士们
