id,trans
filename,scene_chr056_q1_s10
translator,Gemini
info,scene_chr056_q1_s10
26,是！\n我们赶紧追上去吧！
25,什、什么！？\n不能让他乱跑啊……
24,什么！？\n最近，这片森林里\n栖息着凶暴的魔物……
23,等、等等！\n哎呀……\n跑到森林里去了。
21,说什么呢……唱歌什么的\n不是说了很无聊吗！\n……烦死了！
20,呐呐，大家一起唱歌\n很开心的哦！\n所以，一起……
19,……学习的确很重要呢。\n可是我，不太擅长\n学习……嘿嘿。
18,啊哇！？\n觉得学习更好什么的\n好厉害……！
17,可是，唱歌又能做什么呢。\n有那个闲工夫，\n还不如去学习呢。
16,那个……你是第一次来吧。\n你好，我叫艾尔塔。\n……你不喜欢唱歌吗？
15,哼！\n唱歌什么的，有什么好玩的。\n无聊透顶！
14,今天我来教大家一首新歌吧！\n大家喜欢什么样的歌呢？
13,呵呵。\n艾尔塔先生真的很\n喜欢音乐呢。
12,然后呢，从那以后，艾尔塔\n就会从旅途中给孩子们寄来乐谱和乐器。
11,不久后，离别之时——\n艾尔塔答应了依依不舍的孩子们\n还会再来，然后踏上了旅程。
10,——与姬塔一行人相遇前，\n艾尔塔曾拜访过这座小小的教会，\n并用歌声与孩子们的心灵产生了共鸣。
9,呵呵，孩子们之所以能露出笑容，\n多亏了艾尔塔呢。
8,话说回来……\n明明一到人前就畏畏缩缩的，\n面对小孩子的时候倒是挺从容的嘛！
7,我说姬塔。\n艾尔塔那家伙，\n还挺受小孩子欢迎的嘛！
6,哇，真厉害！\n那我们待会儿一起唱歌吧！
5,那个，那个！\n艾尔塔哥哥教我的歌\n我每天都在练习哦！
4,嗯，说好的约定一定要遵守！\n又能见到大家，\n我真是太高兴了！
3,太棒了！\n真的来了呢！
2,哇，快看快看！\n是艾尔塔哥哥！
1,迎接一行人的是\n面带慈爱笑容的修女\n和充满活力的孩子们。
0,在艾尔塔的带领下，姬塔一行人来到了一个小村庄的\n教会。
0-synopsis,艾尔塔打算去见之前教过唱歌的教会孩子们，并教他们一首新歌。然而有个初次见面的男孩觉得唱歌很愚蠢，便独自一人跑进了森林。听说最近那片森林里出现了凶暴的魔物，姬塔一行人急忙追了上去。
0-chapter_name,歌所编织的羁绊
