id,trans
filename,scene_chr026_q2_s20
translator,Gemini
info,scene_chr026_q2_s20
19,将送行的人们\n充满希望的笑脸铭刻于心，姬塔一行\n再次踏上了旅途。
18,托姬塔一行的福，\n小小的村庄重归和平。
17,嗯，你说什么？
16,真是的……\n把魔物错认成神明大人\n还好意思说！
15,我们会在此时\n造访这个村子，\n或许也是神明大人的指引吧。
14,没什么，这都是你们的虔诚祈祷\n传达到了神明大人那里的结果。
13,太感谢了！！\n您的大恩大德\n我们该如何报答……
12,……这样一来，袭击村子的魔物\n就不会再出现了吧。
11,嗯嗯！而且\n海森先生的拳头也\n超级厉害！
10,嘿嘿嘿！\n交给姬塔的话\n那种程度的魔物根本不在话下！
9,什么！？\n……啊，您是说您\n击退了那座山上的魔物？
6,那么！赶紧回村\n让大家安心吧。\n走吧，姬塔！
5,唉……明明就是神官老头你\n自己搞错了！\n真是的，不奉陪了！
4,什、什么……！？\n可恶的魔物，竟敢\n欺骗身为神官的\n我……！
3,才不是呢！都说了那家伙是\n魔物而不是\n什么神明大人！
2,魔、魔物头目\n就是这座山的神明大人吗……
1,哈哈哈！\n这下，魔物就不会再\n袭击村子了吧！
0,干掉啦！不愧是姬塔！\n魔物头目也被你三下五除二就\n收拾掉了！
0-synopsis,托<span>姬塔</span>一行的福，村庄重归和平。在虔诚的村民们的心中，<span>姬塔</span>一行活跃的身影将与神官海森一同被铭记。
0-chapter-name,山神大人
