id,trans
filename,scene_evt220130_cp5_q2_s10
translator,gpt-4o-latest
info,scene_evt220130_cp5_q2_s10
111,莉露露重新向店长商量演唱会的计划，并展开准备。
110,请期待哦♪为了不辜负大家的努力，莉露露会加油的♪
109,是之前提到的演唱会吧！如果是莉露露的演唱会，那就是百人力啊！
108,没办法……实行那个奇策吧！
107,常客们也可能不知道店重新开业了。
106,我也是在听说之前，不知道这家店的拉面的……
105,再好吃的拉面，如果不知道它的存在，就等于不存在。宣传很重要。
104,果然，可能是宣传不够。
103,这是为什么呢……？明明是非常美味的拉面……
102,空位很显眼啊……
101,嗯……顾客比预想中少呢……
96,各自分担角色，虽然「面屋油星」看似顺利营业中……
95,被叫来看看，没事吧兄弟……好像又长胖了……我真有点担心……
94,卡西乌斯沉浸在试吃中。
93,好吃。对我来说味道已经足够了。
91,一发和店主利用空闲时间专注于新菜单的调整。
90,原来如此，我试试看！
89,改变一下面的煮法怎么样？
88,嗯……似乎还有不同的处理方式……
87,碧、露莉亚、莉露露作为店员麻利地工作着……
86,两份酱油拉面对吧？明白了！
85,久等了！这就是招牌菜单的酱油拉面！
84,嘿，欢迎光临！为一位客人带路！
83,姬塔也换上了店员的制服，站在了厨房里。
60,在大家的协助下，「面屋油星」终于重新开业。
59,如果这样的谢礼可以的话，无论多少次我都会做到。约定好了。
58,是吗。我拥有了好伙伴。真是这么觉得。
57-sel2_txt,请我吃拉面
57-sel1_txt,为了卡西乌斯的话
57,姬塔，感谢你。让你陪我任性了。
56,好！信心出来了！重新开店吧！
55,谢谢你们，大家！真的非常感谢！
54,那说明你很专注呢。莉露露在练习演唱会的时候也是这样，所以很理解！
53,真，真的啊……！完全没有注意到……！
52,嘿嘿……我们努力了！
51,在店长先生专注于拉面的时候，她们把店整理得非常干净呢！
50,而且，如果要感谢的话，就请转达给姬塔小姐她们吧。
49,现在哭还太早了哦！从这里才刚刚开始嘛。
48,呜……是的！
47,能让我尝到这么美味的一碗面，说谢谢的应该是我这边啊！
46,创意、努力和一切，都是店长先生的功劳。
45,哪里哪里，我只是一直在吃，然后不停地挑毛病而已……
44,这全都是多亏了一发先生！真的非常感谢！
43,太好了！太好了！！
42,这样的话顾客也会非常满意的吧！请允许我为之盖上保证章！！
41,那，那就是说……
40,哎呀～我们终于达到了啊，店长先生。
39,多谢款待！这是一道沁入身体深处的佳品啊！
38,而且底汤的鸡骨没有腥味，揭示出食材的真实风味……！
37,焦香的酱油香气在鼻间萦绕，令人陶醉……！
36,太好吃了！！
35,怎，怎么样……？果，果然还是不行──
34,…嗯嗯！？
33,呲溜呲溜……
32,我来试试吧。……我开动了！
31,一发先生！请品尝一下味道！
30,终于，店长倾注自己灵魂的「酱油拉面」完成了。
29,做……做好了！！
24,在一发的指导下不气馁，店长反复试验，不断制作拉面……
23,啊啊啊……<span class='scene-font-4'>不好吃！！</span>
19,不对啊啊啊啊！！
18,新作拉面的开发持续了好几天……
12,嘿嘿，是啊！我们也要鼓足干劲啊！
11,我们莉露露也不能输。让店内变得闪闪发光吧！
10,这说明他们很认真啊。相信一发先生和店长先生吧！
9,哎呀，好严格啊……
8,一边听着从厨房传来的热情指导，姬塔一行一边推进内装的翻新。
7,是，是的！我会努力的！
6,就是这种气势！不能在这种程度上就气馁！
5,对，对不起！我再重新做一次！
4,因为过于专注于创新，而忽略了基本啊～！！
3,汤就像是一片糖的海洋！酱油和高汤都淹没得喘不过气！
2,<span class='scene-font-4'>甜甜甜～！！</span>这有两层意思！！
1,甜啊啊啊啊！！
0-synopsis,一发和店长专注于新菜单的开发，姬塔一行则推进内装的翻新。过了一段时间，精心制作的「酱油拉面」完成，翻新也结束。「面屋油星」重新开业，姬塔一行也作为店员工作。然而，顾客比预期中少，为了宣传，他们决定举办莉露露的演唱会作为活动。
0-chapter_name,第5话 油星，复兴剧
