id,trans
filename,scene_chr447_q1_s10
translator,gemini-3.1-pro-preview
info,scene_chr447_q1_s10
59,姬塔刚点下头，\n贞德便已手持武器\n迎向了魔物群。
58,姬塔！\n我来打开突破口，跟紧我！！
57,仿佛这就是信号一般，\n成群的魔物包围了一行人。
56,扑出的魔物挥舞利爪，\n被姬塔的武器\n勉强弹开。
51,姬塔！
50,贞德尖锐的喊声刚落，\n附近的灌木丛就剧烈地晃动起来。
49,姬塔，来了！\n架好武器！
48,…………！
47,有魔物的气息……！\n恐怕，对面已经\n先发现我们了吧。
46,哎、哎？
45,嘘！\n大家，停下来。
44,…………！
43,那太好了，碧大人。\n难得我们跑这一趟……
42,好勒，等到了村子\n我们就把那个叫特产的河鱼\n吃个饱吧！
41,我和委托人……稍微聊了一会儿。\n那个时候他告诉我的。
40,嘿，是这样吗？\n冰之大姐姐知道得真多啊！
39,说起来……看到河我想起来了，\n我们接下来要去的村庄，\n特产好像是河鱼。
38,姬塔搀扶着害怕的库姆优\n和脚步不稳的露莉亚，\n小心翼翼地走着。
37,呜呜……河岸陡峭而且落差还挺大，\n不看不看……！
36,呀……\n水流好急的河啊……！\n要是掉下去可就糟了……
34,大家，请注意脚下。\n要是在这里滑倒的话，\n就会掉进河里了。
28,一行人互相照顾着，\n在通往村庄的山路上前进。
27,我没事的……\n我毕竟是在雪山生活过的，\n这种程度的山路对我来说不算什么。
26,啊……不过，伊休米尔小姐的脚\n要怎么冰敷才好呢……\n泡在河水里之类的……？
25,谢谢你，伊休米尔小姐！
24,今天休息的时候……\n我来帮你们冰敷一下脚。\n我想应该会轻松点。
23,姬塔告诉两人\n不要在意，\n并决定放慢前进的速度。
22,露莉亚和库姆优\n虽然面露倦色，\n但还是露出了歉意。
21,呜呜……既然是骑空士，\n就必须得练出更好的体力才行呢……
20,对不起，姬塔，\n贞德小姐。\n让你们费心了……
19,这次货物也很多，\n我们就采取稳妥的策略吧。
18,因为疲劳导致注意力不集中，\n也是会受伤的。
17,姬塔，就算多花点时间，\n放慢速度前进\n可能也会更安全。
16,毕竟昨天也走了一整天……\n我想是脚太累了吧。
15,呜，明明觉得\n已经很小心了……\n都怪库姆优太冒失了……
14,哇哇哇，对不起\n姬塔小姐！
13,仿佛为了印证碧的话一般，\n库姆优被树根绊倒差点摔跤，\n姬塔慌忙扶住了她。
11,呀！？
10,我也就算了，\n毕竟这条路坑坑洼洼的，\n大家看起来都很难走啊……
9,虽然听委托人说过\n这是条险峻的山路，但没想到竟然险峻到这种地步……
8,这陡峭的坡道，\n一直连绵不断呢……
2,为了将货物送到距离城镇翻过大山需要几天路程、\n位于岛屿另一端的村庄，\n一行人出发了。
1,抵达某座岛屿的\n姬塔一行人，\n在停泊场附近的镇上接到了运送货物的委托。
0-synopsis,有一天，接下了将货物运送到远方村庄委托的姬塔一行人，正走在险峻的山路上。一行人互相照顾着前进。这时，贞德察觉到了魔物的气息。当姬塔弹开扑出来的魔物的利爪时，仿佛这就是信号一般，成群的魔物将一行人包围了。
0-chapter_name,在河边
