id,trans
filename,scene_evt150731_cp5_q2_s10
translator,Gemini
info,scene_evt150731_cp5_q2_s10
45,请您稍等，姐姐大人……\n维拉这就为您献上，最棒的鱼料理……！
44,……这家伙，\n让她拿刀真的没问题吗……？
43,呼……呵呵……\n我也，可以帮忙吗？
42,啊……！\n姐姐大人，那样的话……！
39,呵呵……一起吃吧。\n来，啊～
38,不愧是维拉！\n这个味道只有你能做得出来。
37,(如果我在这里帮忙做饭的话……\n姐姐大人会夸奖我……！？)
36,……我记得，老爷爷是……\n在为姐姐大人们\n做饭吧。
35,老爷爷，这么多鱼两个人做\n不会很辛苦吗？\n我们可以帮忙吗？
34,话说这鱼也太厉害了吧！\n光看就知道品质很高。\n这鱼我可太想吃了。
33,别看他这样，\n他可是个很厉害的厨师哦？\n对食材的眼光堪称完美。
32,哦！你懂行啊！\n真让人高兴！
31,哇这鱼好新鲜啊！\n要是能把它处理好吃掉\n感觉会超棒的。
30,帮大忙了！我干劲十足地\n带了好多鱼回来\n处理起来也很费事呢！
29,……诶？
28,嗯？\n你们也是来帮忙\n做料理的吗？
27,逃到厨房里了吗……\n既然如此，就如你们所愿\n做料理给你们吃吧……
26,……哈？
25,真的非常危险啊！\n藏一下我们，拜托了！
24,哇！？\n你、你们是什么人！？
21,就是这个时机……！
20,就是现在，哥哥！\n翻面啦！
16,了解！
14,糟糕，灵感来了。\n那边的海之家！\n总之先逃到那里去吧！
13,太可怕了！真的太可怕了！！
12,真是不愉快……\n在对姐姐大人造成不良影响之前，\n我得好好地把你们处理掉才行……！
11,什么都没做……？\n你们明明好好地在那里，\n存在着啊。
10,我们什么都没做啊！\n只是向卡塔莉娜小姐打了个招呼而已！
8,太可怕了！\n维拉酱为什么那么\n生气啊！？
6,喂喂！\n我们为什么要逃跑啊！？\n真的搞不懂～
2,还差一点吗。\n库库库……燃烧起来了！
1,嗯……稍微，火大了点啊。\n但是表面的焦痕不错呢，\n这可真香啊。
0,……怎么样？老头子。
0-synopsis,卡塔库里和艾尔莫特正在准备食物，维拉和罗艾因等人突然闯了进来。罗艾因出于好心，而维拉则为了让卡塔莉娜品尝自己的料理，决定帮助卡塔库里。
0-chapter_name,第五话  鱼脍之路
