japanese_name,chinese_name
おサダ,阿贞
お婆さん（指スラババ）,婆婆（切指婆婆）
くろっこ/しろっこ,黑子&白子
さと,纱都
まりっぺ,玛丽佩
アイザック,艾萨克
アイナ,艾娜
アイリ,艾丽
アイル,艾鲁
アイル（幼少期）,小艾鲁
アウフスタ,奥古斯特
アオイドス,亚欧伊多斯
アガーテ,亚嘉缇
アギエルバ,艾奇尔巴
アグニス,阿耆尼
アグロヴァル,阿古罗瓦尔
アグロヴァル（幼少期）,小阿古罗瓦尔
アザゼル,阿萨谢尔
アシャ,阿霞
アスタロト,阿斯塔罗特
アステール,阿斯特尔
アズサ,梓
アズラエル&イスラフィル,亚兹拉尔&伊斯拉菲尔
アダム,亚当
アテナ,雅典娜
アトゥム,阿图姆
アドラメレク,亚得米勒
アナト,阿娜特
アナマリア,安娜玛丽亚
アニシダ,安妮西达
アニラ,阿妮拉
アヌビス,阿努比斯
アバター,阿凡达
アビー,阿比
アフロディーテ,阿芙洛狄忒
アブラメリン,阿布拉梅林
アベル,亚伯
アポロニア（幼少期）,小黑骑士
アポロン,阿波罗
アマツマ,亚玛兹玛
アマテラス,天照
アマール,阿玛尔
アミ,阿弥
アミュレット,阿缪蕾特
アラナン,阿拉南
アランドゥーズ,阿兰杜兹
アリア,阿莉亚
アリエ,阿莉艾
アリエス,阿利埃斯
アリシア,阿莉希雅
アリステラ,阿里斯特拉
アリル,艾利尔
アリーザ,阿莉莎
アルゴル,阿尔戈尔
アルシャ,阿露希亚
アルスピラ,阿尔斯皮拉
アルタイル,阿尔泰尔
アルテ,阿尔特
アルティメットバハムート,究极巴哈姆特
アルテミシア,阿尔忒弥西雅
アルテミス,阿尔忒弥斯
アルトス,阿尔托斯
アルドラ,阿尔多拉
アルハリード,阿尔哈立德
アルバ,阿尔芭
アルバコア,长鳍金枪鱼
アルフィアナ,阿尔菲安娜
アルベール,阿尔贝尔
アルメイダ,阿鲁梅达
アルルメイヤ,阿露露梅娅
アレイス,艾蕾丝
アレク,阿雷克
アレス,阿瑞斯
アレーティア,阿雷提亚
アロゲント,阿罗根特
アワリティア,贪婪
アン,安
アンクシャ,安克夏
アンジェ,安洁
アンスリア,安苏莉娅
アンダーソン,安德森
アンチラ,安琪拉
アントニー,安东尼
アンドサ（ジャコモ）,安德萨（贾科莫）
アンナ,安娜
アンリエット,安丽特
アーカーシャ,阿卡夏
アークエンジェル,大天使
アーサー,亚瑟
アーテファ,阿提法
アートマン,阿特曼
アーマ,亚玛
アーミラ,阿米拉
アーロン,阿隆
イオ,伊欧
イカロス,伊卡洛斯
イクス,伊克斯
イケロス,伊刻罗斯
イザベラ,伊莎贝拉
イシュミール,伊休米尔
イストリアス,伊丝特莉亚斯
イッパツ,伊帕兹
イド,伊德
イフリート,伊弗利特
イルザ,伊尔莎
イルノート,伊尔诺特
イルルヤンカシュ,伊卢扬卡
イングヴェイ,英格威
インダラ,茵妲拉
イーウィヤ（猫ver）,伊维亚（猫ver）
イーウィヤ（竜形態Ver）,伊维亚（龙型ver）
イーゴン,伊贡
ウィリアム,威廉
ウィル,威尔
ウィルナス（人型ver）,威尔纳斯（人型ver）
ウィルナス（竜形態Ver）,威尔纳斯（龙型ver）
ウェパル,威沛
ウェルダー,维鲁达
ウォフマナフ,沃胡摩那
ウォルフ,沃尔夫
ウカノミタマ,稻荷
ウグス,乌古斯
ウシュネ,乌修涅
ウツセミ,空蝉
ウラムヌラン,乌拉姆奴兰
ウラン,乌兰
ウリエル,乌列尔
ウリエンス,乌连斯
ウルキ,乌露琪
ウーナ,乌娜
ウーノ,乌诺
ウーフ,沃夫
ウーフとレニー,沃夫＆蕾妮
エアロバイス,艾尔罗拜斯
エイデン,艾登
エイレア,艾蕾娅
エウリュアレー,尤瑞艾莉
エウレル,埃乌雷尔
エウロペ,欧罗巴
エガニス,艾嘉尼斯
エキドナ,厄客德娜
エクス・イフリート,克尽·伊弗利特
エクス・ウォフマナフ,克尽·沃胡摩那
エクス・コキュートス,克尽·科赛特斯
エクス・サジタリウス,克尽·喀戎
エクトル,埃克托尔
エシオ,艾希欧
エジェリー,艾洁丽
エスタリオラ,埃斯塔利奥拉
エゼクレイン,爱塞克雷因
エッセル,艾瑟尔
エッリル,伊莱尔
エニュオ,厄倪俄
エビフライ,炸虾
エミリア,艾米莉亚
エムディナ,埃姆迪纳
エリカ,艾丽卡
エリク,埃里克
エリン,艾琳
エルキュール,赫尔克里
エルシーネ,艾尔希涅
エルセム,艾尔塞姆
エルタ,艾尔塔
エルド,埃尔德
エルバハ,埃尔芭哈
エルピス・アゴニア,厄尔庇斯·至痛
エルメラウラ,艾尔梅拉乌拉
エルモート,艾尔莫特
エルモート（幼少期）,小艾尔莫特
エレイン,艾莲
エレナレッタ,艾莲娜蕾塔
オイゲン,欧根
オウルキャット,猫头鹰
オクシモロン,逆喻
オクタヴィア（緑の騎士）,奥克塔维亚（绿骑士）
オクトー,奥克托
オケアノス,俄刻阿诺斯
オサム,欧萨姆
オシリス,奥西里斯
オネイロス,奥涅伊洛斯
オムニスマギア・ウィッチ,万象魔女
オリヴィエ,奥莉薇尔
オルキス,欧尔姬丝
オルトルート,奥尔图德
オロロジャイア,欧罗罗伽亚
オロロジャイア（女）,欧罗罗伽亚（女）
オロロジャイア（男）,欧罗罗伽亚（男）
オロロジャイア（竜形態Ver）,欧罗罗伽亚（龙型ver）
オーウェン,欧文
オーキス,欧姬丝
オーディン,奥丁
カイザル・リドファルド,凯撒·利德法尔德
カイム,凯姆
カイラナ,凯拉娜
カイン,该隐
カウィ,卡维
カウニッツ,加乌尼兹
カグヤ,辉夜
カシウス,卡西乌斯
カシオペア,卡西欧佩亚
カジノのバニーガール,赌场兔女郎
カスケードジェリー,激流水母娘
カタリナ,卡塔莉娜
カッタクリ,卡拓库里
カッツェリーラ,卡兹里拉
カツウォヌス,鲣鱼
カトル,卡托尔
カラクラキル,卡拉库拉奇尔
カリオストロ,卡莉奥斯特萝
カリュブディス,卡律布狄斯
カルテイラ,卡鲁提拉
カルバ,卡鲁巴
カルメリーナ,卡露梅莉娜
カルラ,卡露拉
カレン,卡莲
カレンティア,卡莲缇亚
カロ,卡洛
カロリーヌ夫人,卡洛琳夫人
カンターテ,坎妲缇
カンナ,康娜
カーサ,卡萨
カーバンクル,宝石兽
カー・オン,海翁
ガイゼンボーガ,盖森伯格
ガイーヌ,该努
ガウェイン,高文
ガグー,瓦偶
ガスタルガ,加斯塔尔加
ガハムレット,盖默雷特
ガブリエル,加百列
ガムシラ,嘉姆西拉
ガラドア,加拉多
ガラハッド,加拉哈德
ガランサラス,伽兰萨拉斯
ガランダ,伽兰达
ガランツァ,伽兰查
ガラント,格兰特
ガルストン,嘉尔斯通
ガルマ,加鲁马
ガルーダ,迦楼罗
ガレス,加雷斯
ガレヲン（人型ver）,伽莱翁（人型ver）
ガレヲン（竜形態Ver）,伽莱翁（龙型ver）
ガロウザ,加罗萨
ガンダゴウザ,冈达葛萨
ガンダルヴァ,冈达鲁瓦
キティオン,基缇昂
キハール,齐哈尔
キャサリン,凯瑟琳
キャスパリーグ,凯西帕鲁格
キャタピラさん,卡塔哔娜桑
キャタピラとヴィーラ,卡塔哔娜与维拉
キュウタ,久太
キュベレー,库柏勒
キョウ,京
キンダー,金德
ギャリバン,加立班
ギャレット,嘉列特
ギヨタ,吉优塔
ギルガメッシュ,吉尔伽美什
ギルベルト,吉尔伯特
クイーンビー,女王蜂
ククル,库库鲁
クシナ,库西那
クスキ,库斯琪
クズレ,崩
クビラ,库碧拉
クピタン,库皮坦
クムユ,库姆尤
クラウディア,克劳迪娅
クラリス,克拉莉丝
クラーバラ,库拉芭拉
クリスタリアの民,冰晶宫之民
クリスティーナ,克里斯蒂娜
クリームヒルト,克琳希德
クルス,库鲁斯
クルーニ,库鲁尼
クロエ,库洛尔
グウィン,格温
グラシくん,仇闪君
グラニ,古拉尼
グラン,古兰
グランサイファー,格兰赛法
グリームニル,格里姆尼尔
グルザレッザ,古尔扎雷克
グレア,古蕾娅
グレイス,格蕾丝
グレーン,古连
グンター,古达
ケイ,凯
ケット・シー,凯特西
ケツァルカトル,魁札尔克亚特尔
ケルベロス,刻耳柏洛斯
ケンジ,健治
ゲルト,格尔特
ゲルラ,格鲁尔
コウ,蔻
コカビエル,卡比尔
コキュートス,科赛特斯
コク,蔻刻
コスモス,科斯莫斯
コノール王,科诺尔王
コルウェル,科鲁威尔
コルル,克璐璐
コルワ,可露瓦
コロゥ,辉萝
コロッサス,科罗萨斯
コロッサス・マグナ,科罗萨斯·玛格纳
コワフュール,科瓦菲尔
コンスタンツィア,康斯坦茨
コーデリア,科德利亚
コーナ,柯娜
コーナ（幼少期）,小柯娜
ゴッドラビットテラマックス,神威兔子·万亿究极
ゴリラ,猩猩
サウナのヌシ,桑拿之主
サジタリウス,喀戎
サタン,撒旦
サテュロス,萨缇洛斯
サビルバラ,萨比尔巴拉
サブリナ,萨布丽娜
サメハンター,马丁
サラ,莎拉
サラーサ,萨拉萨
サリエリア,萨利艾丽娅
サリエル,沙利叶
サルナーン,萨鲁楠
サンカラ,桑卡拉
サンザ,桑查
サンダルフォン,圣德芬
サンチラ,桑琪拉
サンドリヨン,桑德莉咏
サヴァラン,萨瓦兰
サーヤ,萨娅
ザウラ,扎乌拉
ザオシェン,灶神
ザカ大公,扎卡大公
ザザ,扎扎
ザスバ,扎斯巴
ザライダ,莎莱妲
ザラストラ,扎拉斯托拉
ザルハメリナ,扎哈梅丽娜
ザ・サン,太阳
ザ・スター,星
ザ・タワー,塔
ザ・デビル,恶魔
ザ・ハングドマン,倒吊人
ザ・ムーン,月亮
ザ・ワールドの賢者,世界的贤者
ザーリリャオー,扎莉莉亚欧
シア,希娅
シェスピア,榭斯比娅
シェリーネ,谢琳
シェロカルテ,榭洛科特
シエテ,希耶提
シエテ（アナザー）,希耶提（another）
シオン,紫苑
シグ,希格
シス,希斯
シゼル,希泽尔
シトリ,志鸟
シャインホーク・ガルラ,闪耀之鹰·迦鲁拉
シャオ,萧
シャトラ,夏托拉
シャノワール,夏诺瓦
シャノン,夏农
シャリオス17世,夏利欧斯17世
シャルロッテ,夏洛特
シャルロッテの祖父,夏洛特的祖父
シャローム,莎萝苜
シャーラ,夏拉
シャール,夏尔
シュエン,轩
シュクラ,淑库拉
シュシュク,秀秀珂
シュラ,秋罗
シュヴァリエ,修瓦利耶
シュヴァリエ・マグナ,修瓦利耶·玛格纳
ショウ,翔
ショロトル,修洛特尔
シルフ,希尔芙
シルフィードベル,风铃茸精灵
シルヴァ,席尔瓦
シルヴィア,希尔薇娅
シロウ,士郎
シンシャ,新夏
シンダラ,辛妲拉
シヴァ,湿婆
ジェイド,杰德
ジェシカ,杰西卡
ジェノ,杰诺
ジェリオン,杰里翁
ジェローム大統領,总统杰洛姆
ジオ,吉欧
ジオラ,迪奥拉
ジャスティス,正义
ジャスティン,贾斯汀
ジャスミン,茉莉
ジャッジメント,审判
ジャミル,贾米尔
ジャンヌダルク,贞德
ジュリアン,朱利安
ジュリエット,朱丽叶
ジューダ,玖达
ジョイ,乔伊
ジョエル,杰艾尔
ジョカ,女娲
ジョヤ,除夜
ジョーンズ卿,琼斯
ジル,吉尔
ジルニトラ,吉尔尼特拉
ジン,仁
ジークフリート,齐格飞
ジータ,姬塔
スィール,希尔
スイ,翠
スェン,仙
スェン（幼少期）,小仙
スカル,斯卡尔
スカーサハ,斯卡哈
スクルド,诗寇蒂
スタン,斯坦
スツルム,斯特姆
ステンノ,丝西娜
スノウホワイト,白雪公主
スピナー,斯平纳
スフラマール,斯夫拉马尔
スライム,史莱姆
スルト,苏尔特
スーテラ,斯黛拉
スーパーシンダラ,超级辛妲拉
セイラン,西兰
セイレーン,塞壬
セオドリク,赛欧德里克
セキトバ,赤兔马
セシール,塞希尔
セスランス,瑟忒兰斯
セト,赛特
セルエル,塞鲁艾尔
セルエル（幼少期）,小塞鲁艾尔
セルカ,赛尔卡
セレスト,塞勒斯特
セレスト・マグナ,塞勒斯特·玛格纳
セレフィラ,瑟蕾菲拉
セロニム,赛罗尼姆
セワスチアン,塞瓦斯蒂安
セン,千
ゼウス,宙斯
ゼシード,泽希德
ゼタ,泽塔
ゼピュロス,仄费罗斯
ゼヘク,泽黑库
ソウルインヴォーカー,祈魂人
ソシエ,苏丝雅
ソフィア,索菲亚
ソリッズ,索利茲
ソワカ,娑婆诃
ソヴァ,荞麦战士
ソーン,索恩
ゾーイ,佐伊
タイアー,泰尔
タウルーク,陶鲁克
タラッタ,塔拉塔
タルトマン,挞皮饼人
タヴィーナ,塔维娜
ターニャ,塔尼娅
ダエッタ,达尔塔
ダヌア,妲奴亚
ダリダラ,达里达拉
ダリル,达里尔
ダリール,达利尔
ダン伯父さん,丹
ダーント,丹特
チチリ,琪琪莉
ツクヨミ,月读
ツチノコ,野槌蛇
ツバサ,翼
ツヴァイ,紫薇
ティアマト,提亚玛特
ティアマト・マグナ,提亚玛特·玛格纳
ティアマト・マリス,提亚玛特·玛丽斯
ティアレ,缇阿蕾
ティコ,缇可
ティターン,泰坦
ティナ,缇娜
ティボルト,提伯吕特
ティラ,缇拉
テスカトリポカ,特斯卡特利波卡
テトラゴッド,消波神
テフヌト,泰芙努特
テュポーン,提丰
テレーズ,特蕾丝
テンペランス,节制
デアン,迪安
ディアドラ,迪尔德丽
ディアボロス,迪亚波罗
ディアンサ,戴安萨
ディンドラン,丁德兰
デス,死亡
デストロイヤーズコマンダー,尸魂指挥官
デスロウ,死郎
デライラ,迪莱拉
デリフォード,德利弗多
トネリロ,托涅利罗
トモイ,托莫伊
トリステット,托莉斯特德
トルー,托路
トー,托
トール,托尔
トール・アリウス,托尔·异版
ドゥルジ,德鲁杰
ドグー,土偶
ドナ,多娜
ドモン,多蒙
ドランク,德朗克
ドルザ・レム,德尔扎·雷姆
ドロシー,多萝西
ドロッセル,多萝赛尔
ナタク,哪吒
ナディア,娜蒂亚
ナハト,纳赫特
ナルメア,娜尔梅亚
ナルメア（幼少期）,小娜尔梅亚
ナーヴェ,娜维
ニオ,妮欧
ニヒリス,尼希利斯
ニフイヴィンテ,尼菲温特
ニレ,尼雷
ニーア,尼娅
ニーナ・ドランゴ,妮娜多拉贡
ネクタル,奈克塔尔
ネセサリア,奈瑟萨莉亚
ネツァワルピリ,聂查瓦尔皮利
ネネ,娜娜
ネハン,涅槃
ネハン（幼少期）,小涅槃
ネフティス,奈芙蒂斯
ネプチューン,涅普顿
ネモネ,涅莫涅
ネリネ,涅莉涅
ネルコ,涅露可
ネーレウス,涅柔斯
