id,name,text,trans
0-chapter_name,,第5話 ホウハンガ・ロンゴ,第5话 兽道
0-synopsis,,戦騎獣を乗りこなすには、戦騎獣と心を通わせる必要があるという。怖がって戦騎獣に触れることも出来ないフェルルカに、姬塔は自ら戦騎獣と触れ合ってみせ、怖がり続けていては心を開いてもらえないことを示す。一行の協力を得てフェルルカはなんとか戦騎獣と触れ合おうとするも、恐ろしさのあまり気絶してしまうのだった。,据说要驾驭战骑兽，就必须要和战骑兽心意相通。面对因害怕而无法触碰战骑兽的菲露露卡，姬塔亲自上前与战骑兽接触，向她展示如果一直害怕就无法打开彼此的心扉。在同伴们的帮助下，菲露露卡好不容易鼓起勇气去触碰战骑兽，却因为实在太恐怖而晕了过去。
1,,戦騎獣（クフア・タイカ）の１匹が、\nフェルルカに近づく。,一只战骑兽（库法·泰卡）朝菲露露卡走来。
2,フェルルカ,ひっ……,咿……
3,戦騎獣１,グルルル……,嗷嗷嗷……
4,ネモネ/涅莫涅,ほら、チャンスだよ！\nルル姉！,你看，机会来了！露露姐！
5,フェルルカ,チャンスって……\nどう……どうすれば……？,机会……要怎么做才好呢……？
6,ネモネ/涅莫涅,戦騎獣（クフア・タイカ）を\n乗りこなすためには\n心を通わせないとダメなんだ。,要想驾驭战骑兽（库法·泰卡），就必须要与它们心意相通。
7,フェルルカ,心……,心意……
8,ネモネ/涅莫涅,信頼関係ってやつさ。\nそれを築き上げるためにも、\nまずは慣れていかないとね！,就是要建立信任关系。为了达成这点，首先要慢慢习惯它们！
9,ネモネ/涅莫涅,最初から乗るなんて\nぜーったいに無理だから、\nまずは触れ合ってみよう！,一开始就骑上去是绝对不可能的，先从接触开始吧！
10,フェルルカ,<span class='scene-font-4'>ふ、触れ合う！？</span>\n触るってこと……だよね……？,<span class='scene-font-4'>接、接触！？</span>就是要摸……对吧……？
11,戦騎獣１,グルルルル……,嗷嗷嗷嗷……
12,フェルルカ,ひっ……うっ……,咿……呜……
13,ルリア/露莉亚,が、頑張ってください！\nフェルルカさん！,加、加油啊！菲露露卡小姐！
14,フェルルカ,う、うひゅ……,呜、呜呼……
15,,フェルルカは涙目になりながら\nそっと戦騎獣（クフア・タイカ）に\n手を伸ばし始める。,菲露露卡眼含泪水，战战兢兢地朝战骑兽（库法·泰卡）伸出手。
16,戦騎獣１,グルルルアァッ！！,嗷嗷嗷吼！！
17,フェルルカ,<span class='scene-font-4'>ひゃあっ！？</span>\n無理無理、無理だよぉ！\n食べられちゃうよぉ！,<span class='scene-font-4'>呀！？</span>不行不行，我做不到！会被吃掉的！
18,ネモネ/涅莫涅,大丈夫だって！\n食べたりしないから！\n……たぶん！,没事的！它们不会吃人的！……大概吧！
19,ラカム/拉卡姆,たぶんなのかよ……\n余計怖がらせること言うなって。,你这个「大概」……别说些会让人更害怕的话啊。
20,ネモネ/涅莫涅,にゃふふふふ、\nごめんごめん。,喵呼呼呼，对不起对不起。
21,フェルルカ,あんなに牙をむき出しで……\n触ったりなんかしたら……\nきっとが、がぶって……,露出那么多尖牙……如果去摸的话……一定会被、被咬……
22,フェルルカ,うぅぅ……ふ、震えが……,呜呜呜……我在、在发抖……
23,,怯えるフェルルカを見て、\n姬塔は試しに\n戦騎獣（クフア・タイカ）に近づく。,看到害怕的菲露露卡，姬塔试着走近战骑兽（库法·泰卡）。
24,戦騎獣１,グルルル……,嗷嗷嗷……
25,,戦騎獣（クフア・タイカ）は\n犬歯をむき出しにして威嚇するも、\n姬塔は優しく手を伸ばす。,战骑兽（库法·泰卡）虽然龇着尖牙发出威吓，但姬塔还是温柔地伸出了手。
26,,そして姬塔はゆっくり、\n戦騎獣（クフア・タイカ）の\n顔を撫でて見せた。,接着姬塔慢慢地抚摸起了战骑兽（库法·泰卡）的脸。
27,戦騎獣１,グルルル……,嗷嗷嗷……
28,フェルルカ,<span class='scene-font-4'>ふぇあっ！？</span>\nな、なんで……！？\nどうして触れたんですか！？,<span class='scene-font-4'>呀！？</span>为、为什么……！？你怎么摸得到的！？
29,ネモネ/涅莫涅,さっすが姬塔！\n戦騎獣（クフア・タイカ）に\nすぐ触れるなんてすごいねぇ！,不愧是姬塔！马上就能摸到战骑兽（库法·泰卡），好厉害啊！
30,ネモネ/涅莫涅,わたしさんにすらできないこと！\nやってのけるなんて！\nそこに痺れるあこがれるぅ！,连我都做不到的事！你竟然做到了！太令人敬佩了！
31,ネモネ/涅莫涅,よーしよしよしよし！\nよしよしよしよしよしっ！\nここか！？　ここがええんか！？,好孩子好孩子好孩子！乖乖乖乖乖！是这里吗！？摸这里舒服吗！？
32,戦騎獣１,ルルルル……♪,嗷嗷嗷……♪
33,ビィ/碧,そういうネモ姉も\n撫でまわしまくってるけどな……,涅莫涅姐姐你不也一直在摸个不停吗……
34,フェルルカ,ど、どうしてそんなに、\nみんな簡単に触れ合えるの？,为、为什么大家都能这么简单就和它们接触呢？
34-sel1_txt,,怖がらなきゃ大丈夫だよ,只要不害怕就没问题
34-sel2_txt,,警戒されてるんだよ,是因为你一直很警惕
