id,name,text,trans
0-chapter_name,,四聖,四圣
0-synopsis,,男達を撃退したアミは事情を説明する。アミは、自身が黄龍から力を授けられた「四聖」であり、「四象」を倒して鎮める役目を担うこと、青竜が落とした「玲瓏佩」を供養する必要があることを説明する。襲ってきた男達は親族で、アミの姉が真の当主だと証明するため、当主の証であるアミの武器を狙っているという。姬塔達はアミを騎空団に誘い、一晩考えたアミは姬塔達と共に行くことを決めるのだった。,击退了男人们的阿米说明了情况。阿米解释说，她本人是被黄龙赋予力量的「四圣」，肩负着讨伐并镇压「四象」的职责，以及需要供养青龙掉落的「玲珑佩」。袭击而来的男人们是亲族，为了证明阿米的姐姐才是真正的家主，所以想要夺走作为家主证明的阿米的武器。姬塔一行邀请阿米加入骑空团，思考了一晚的阿米决定和姬塔一行一起行动。
1,アミ,邪魔だ。,碍事。
2,,アミの武器から\n連続して放たれる無数の矢。,从阿米的武器中连续射出无数的箭矢。
3,,そして、放たれた無数の矢は一矢とも\n外れることなく、襲撃してきた男達の\n手を射抜いていく。,然后，射出的无数箭矢无一例外地射穿了袭击而来的男人们的手。
7,襲撃者,あぐっ……くうっ……,啊咕……唔……
8,アミ,呆れを通り越して滑稽だな。\nボクに敵うわけがない。\nそんなこともわからないとは……,真是愚蠢至极，令人发笑。\n你们不可能是我的对手。\n居然连这种事都不知道……
9,襲撃者,くっ、引くぞ。偽りの当主……いや、\n簒奪者よ、その武器は必ず取り返す。,可、撤退！虚假的家主……不，\n篡位者啊，那把武器我们一定会夺回来。
10,襲撃者,それは真なる当主が持つべきもの。\n貴様が持つべきものではない！,那是真正的家主才应该拥有的东西。\n你不配拥有它！
11,,男達はそう言い残すと\n慌てて走り去る。,男人们留下这句话后，\n慌忙逃跑了。
12,アミ,本当にしつこいな……,真是执着啊……
13,ビィ/碧,い、今のなんだったんだ……？,那、那刚才的是怎么回事……？
14,アミ,お前達には関係ない。,与你们无关。
15,ルリア/露莉亚,……さっきの人達からも、\nアミさんと似た気配を感じました。,……从刚才那些人身上，\n也感觉到了和阿米小姐相似的气息。
16,ルリア/露莉亚,その……アミさんに比べれば\n凄く弱いですけど……,那……与阿米小姐相比\n非常弱就是了……
17,,アミの底知れぬ何かを前に\n姬塔達は戸惑いの\n表情を浮かべる。,面对阿米深不可测的某种东西，\n姬塔一行露出了困惑的\n表情。
18,アミ,…………,…………
19,アミ,知りたいなら、話してもいい。\nだが、お前達が持ってる\n<span class='scene-font-spword'>玲瓏佩</span>との交換が条件だ。,如果想知道的话，我可以告诉你们。\n但是，条件是用你们持有的\n<span class='scene-font-spword'>玲珑佩</span>来交换。
20,ルリア/露莉亚,玲瓏佩……って、なんですか？,玲珑佩……是什么？
21,アミ,お前達が青竜から\n手に入れたものだ。,你们从青龙那里\n得到的东西。
22,,姬塔はさっき手に入れた\n美しい装飾が施された小物を\nアミに見せる。,姬塔将刚才得到的\n装饰精美的小物件\n展示给阿米看。
23,アミ,そう、それだ。\nそれでどうする？,没错，就是那个。\n那么，你们打算怎么办？
23-sel1_txt,,いいよ,好的
23-sel2_txt,,これはなに？,这是什么？
25,アミ,…………,…………
27,アミ,青竜を正式な方法で倒した\n証拠だ。\nこれ以上は今は話せない。,以正式方法击败青龙的\n证明。\n现在不能说更多了。
28,,姬塔は考え込んだ後、\n玲瓏佩をアミへと渡す。,姬塔思考过后，\n将玲珑佩交给了阿米。
29,アミ,…………,…………
30,ビィ/碧,どうしたんだよ？\nそんな、驚いた顔してよ。,怎么了？\n干嘛露出那么惊讶的表情？
31,アミ,そんなに簡単に渡すとは\n思っていなくてな。,没想到你会这么轻易地就交给我。
32,アミ,それを物好きな人間に渡せば\n高値で買い取ってくれるはずだ。\nそれでも、ボクに渡すのか？,如果把它交给喜欢这些东西的人\n应该能高价收购。\n即使如此，你也要把它交给我吗？
33,ルリア/露莉亚,お金が欲しくて手に入れた\nわけじゃないですから！\nその代わり……,我们不是为了钱才得到它的！\n作为交换……
34,アミ,わかっている。\n約束を違えるつもりはない。,我知道了。\n我没有违背约定的打算。
