id,name,text,trans
0-chapter_name,,第2話 財宝の異説,第二话 宝藏异说
0-synopsis,,謎を解いたことで、行き止まりだった壁が動き、外に通じる道が開ける。一行は今度こそ財宝があるはず、と期待を込めて歩を進めるのだった。,解开谜题后，原本是死路的墙壁移动了，打开了通往外面的道路。一行人满怀着这次一定能找到宝藏的期待，继续前进。
2,ビィ/碧,やったな、姬塔！\nまた解いちまったぜ！,干得好啊，姬塔！\n又解开了！
3,フェリ/菲莉,たいしたものだ……\nさすが姬塔だな。,真了不起……\n不愧是姬塔。
4,バロワ/巴洛瓦,ふむ、素晴らしい。\n姬塔君には探偵の素質がある。,嗯，太棒了。\n姬塔君有侦探的资质。
5,サーヤ/萨雅,あ、皆さん！\n行き止まりの壁が……！,啊，大家！\n死路的墙壁……！
9,ビィ/碧,おっ！\n壁が開いたぜ、ついに財宝か！？,哦！\n墙壁打开了，终于要找到宝藏了吗！？
10,マリー/玛丽,風が……\nどうやら洞窟を抜けられるみたいよ。,有风……\n看来可以走出洞窟了。
11,バロワ/巴洛瓦,ああ。\n崖を越えたようだな。\nそれでは行ってみよう！,啊。\n看来已经越过悬崖了。\n那么，我们走吧！
12,,髑髏に刻まれた謎を解き、\n立ち塞がる壁を突破した一行。,解开了刻在骷髅上的谜题，\n突破了阻挡去路的墙壁的一行人。
13,,洞窟に生ぬるい風が吹き込む中、\n一行の目の前に広がった光景とは……,在 lukewarm的风吹进洞窟中，\n展现在一行人眼前的景象是……
info,,,scene_evt160831_cp2_q4_s10_rid1
译者,,,Gemini
