id,name,text,trans
0-chapter_name,,第5話 探偵と怪盗,第五话 侦探与怪盗
0-synopsis,,区長の罠に掛かり、さらなる深い地下洞窟に落とされたバロワ。やむをえずシャノワールと共闘することになり、姬塔達を探して洞窟を彷徨う。,中了区长的陷阱，巴洛瓦被丢进了更深的地下洞窟。无奈之下，他只能与夏诺瓦尔联手，在洞窟中四处寻找姬塔一行人。
1,バロワ/巴洛瓦,うぅ……痛ッ……\nここは……洞窟か……？,唔……痛……\n这里是……洞窟吗……？
2,バロワ/巴洛瓦,クソ、卑劣な真似を！\n姬塔君、ビィ君、\n皆、どこにいる！？,可恶，卑鄙的手段！\n姬塔小姐、碧，\n大家，在哪里！？
3,シャノワール/夏诺瓦,……叫んでも無駄さ。,……叫也没用。
4,バロワ/巴洛瓦,か、怪盗！？,怪、怪盗！？
5,シャノワール/夏诺瓦,ここには私と君しかいない。\nあの床のトラップは多重構造……\n落下地点が分散するように出来ている。,这里只有我和你。\n那个地板上的陷阱是多重结构的……\n会将掉落地点分散开来。
6,,黒幕の罠に掛かり、\n更なる深い地下に落とされたバロワ。,中了幕后黑手的陷阱，\n巴洛瓦被丢进了更深的地下。
7,,姬塔達は見当たらず、\n側には怪盗シャノワールが佇んでいた。,找不到姬塔一行人，\n身旁只有怪盗夏诺瓦尔伫立着。
8,バロワ/巴洛瓦,区長め……\n手の込んだ真似をしおって。\nだが貴様、なぜここで突っ立っている？,区长……\n居然耍这种花招。\n但是你，为什么站在这里发呆？
9,シャノワール/夏诺瓦,……なぜ、とは？,……为什么，是指？
10,バロワ/巴洛瓦,サーヤが捕われたままだろう！\n姬塔君達の\n安否も気にならんのか！,萨亚还被抓着呢！\n姬塔小姐她们的\n安危你也不担心吗！
11,バロワ/巴洛瓦,それに貴様自身……\nこのままでいいはずがない！,而且你自己……\n也不可能就这样放着不管吧！
12,バロワ/巴洛瓦,黒幕に嵌められたことも、\n関係者が危険に晒されたことも、\n怪盗的信条和やらに反するはずだ！,被幕后黑手陷害，\n相关人员身陷险境，\n这应该都违背了你所谓的怪盗信条吧！
13,シャノワール/夏诺瓦,信条か……\nそうだった、ね。,信条吗……\n是啊。
14,バロワ/巴洛瓦,……ッ！？,……！？
15,シャノワール/夏诺瓦,すまない、名探偵。\n無様な結末になってしまった。,抱歉，名侦探。\n结果真是难看啊。
16,シャノワール/夏诺瓦,初めて味わう感覚だよ。\nここまでしてやられると、\n屈辱感より虚無感が強いものだ……,这是我第一次体会到这种感觉。\n被这样耍弄，\n比起屈辱感，虚无感更强烈……
17,バロワ/巴洛瓦,なっ……\n貴様、いつもの威勢はどうした？\nこんなことで折れてしまったのか？,什……\n你平常的气势呢？\n就这样被打垮了吗？
18,シャノワール/夏诺瓦,君に何がわかる。\nここまで虚仮にされたんだぞ。,你懂什么。\n我被耍弄到这种地步。
19,バロワ/巴洛瓦,そんなこと知るか！\n皆が危険な目に遭っているんだぞ！\nちょっとは使命感とか湧かんのか！,我管你那么多！\n大家都在危险之中！\n你就没有一点使命感吗！
20,シャノワール/夏诺瓦,この私が、\nただの区長に知略で劣るとは……,我居然，\n在智谋上输给了一个区区区长……
21,バロワ/巴洛瓦,……ッ！\nもういい、貴様はここで朽ち果てろ！,……！\n算了，你就烂死在这里吧！
22,バロワ/巴洛瓦,……ふん！,……哼！
24,シャノワール/夏诺瓦,…………,…………
25,バロワ/巴洛瓦,…………,…………
26,シャノワール/夏诺瓦,…………,…………
27,バロワ/巴洛瓦,むう……！,唔……！
28,バロワ/巴洛瓦,怪盗の罠、見破ったり！\nそんなこと言って逃げる気だな？,看破了怪盗的陷阱！\n你是想这样说然后逃跑吧？
29,シャノワール/夏诺瓦,うん……？,嗯……？
30,バロワ/巴洛瓦,貴様は連行する！\n俺は怪盗を捕えた探偵として、\n歴史に名を残すのだ！,我要逮捕你！\n我要作为抓住怪盗的侦探，\n名留青史！
31,バロワ/巴洛瓦,さあ、立てい！\n縄で縛ってでも引っ張ってってやる！,来，站起来！\n就算用绳子绑着也要把你拖走！
32,シャノワール/夏诺瓦,名探偵……,名侦探……
33,シャノワール/夏诺瓦,…………,…………
34,シャノワール/夏诺瓦,フ、わかったよ。\nとりあえずここを脱出するとしよう。,呼，我知道了。\n总之先逃离这里吧。
35,シャノワール/夏诺瓦,だが気をつけたまえ。\nこの辺には魔物が放たれているのでね？,但是小心点。\n这附近有魔物出没。
36,バロワ/巴洛瓦,言われるまでもない。\n俺の足を引っ張るなよ！,不用你说。\n别拖我后腿！
info,,,scene_evt160831_cp5_q1_s10_ss
译者,,,Gemini
