id,name,text,trans
0-chapter_name,,アーサー、見習いデイズ,亚瑟，见习日子
1,,アーサーは、フェードラッヘに\n滞在中の姬塔の顔を見て\nふと思い出したように尋ねる。,亚瑟在费德拉赫逗留期间，看着姬塔的脸，忽然想起什么似的问道。
2,アーサー/亚瑟,そういえば、姬塔さんって\nパーシヴァル……さんとも\n知り合いなんですよね？,说起来，姬塔小姐和帕西瓦尔……先生也是认识的吧？
3,アーサー/亚瑟,ほんと、姬塔さんって\n何者……？,真的，姬塔小姐到底是什么人……？
4,アーサー/亚瑟,パーシヴァルさんと\nどういう関係なんですか？,你和帕西瓦尔先生是什么关系？
4-sel1_txt,,家臣です,家臣。
4-sel2_txt,,大事な仲間,重要的伙伴。
4-sel3_txt,,フッ……ちょっとね,哼……有些关系。
5,アーサー/亚瑟,家臣？\nどういうこと？\nパーシヴァルさんが家臣ってこと？,家臣？什么意思？是说帕西瓦尔先生是家臣？
6,アーサー/亚瑟,あ、逆？\n姬塔さんが家臣なのか……,啊，反过来？姬塔小姐是家臣吗……
7,アーサー/亚瑟,うーん、なんかよくわかんないけど\nオトナだー！,嗯，虽然有点不明白，不过真是成熟啊！
9,,アーサーの信頼度が７５あがった！,亚瑟的信赖度上升了75！
11,アーサー/亚瑟,そっかぁ！\n姬塔さんは本当に\n仲間が多いですよね～,是这样啊！姬塔小姐真的有很多伙伴呢～
12,アーサー/亚瑟,俺も早く、姬塔さんみたいに\n皆を信頼して、皆から信頼されるような\n人になりたい！,我也想早点像姬塔小姐那样，信任大家，也被大家信任！
14,,アーサーの信頼度が１００あがった！,亚瑟的信赖度上升了100！
15,アーサー/亚瑟,えっ！\n何それ！？,哎！那是什么！？
16,アーサー/亚瑟,気になる……,好在意……
17,アーサー/亚瑟,はっ！\nまさか……！？,哈！难道……！？
18,アーサー/亚瑟,……いやいや、\n俺にはよくわかんないや！,……不不，我可不太懂！
20,,アーサーの信頼度が５０あがった！,亚瑟的信赖度上升了50！
info,,,scene_evt171130_trust5
译者,,,gpt-4o-2024-08-06
