id,name,text,trans
0-chapter_name,,第6話 プレドーンパープル,第六话 破晓紫罗兰
0-synopsis,,スィールが姬塔にファスティバからの手紙を届けに来る。手紙には姬塔への謝罪と、「アタシの愛を許してくれるのなら明日の明け方に甲板へ来て」という旨が書かれていた。姬塔が夜明けの甲板へ向かうと、そこにはマスクをつけたファスティバがいた。「モヤモヤを全てぶつけてほしい」と言うファスティバに、姬塔は想いを込めた拳を向けるのだった。,希尔给姬塔送来了法斯提瓦的信。信上写着对姬塔的歉意，以及「如果你能原谅我的爱，请在明天黎明时分到甲板上来」。姬塔在黎明时分前往甲板，在那里看到了戴着面具的法斯提瓦。「请把你所有的郁闷都发泄出来吧」，面对如此说着的法斯提瓦，姬塔握紧了充满感情的拳头。
4,スィール,姬塔～！\nお届け物だよ～！,姬塔～\n有东西要送给你～！
7,スィール,へへっ！\nビアンコみたいだね！,嘿嘿！\n好像碧安卡啊！
8,モルフェ/莫尔菲,お届け物……？,东西要送……？
9,ビィ/碧,んん？　手紙かぁ？,嗯？是信吗？
10,スィール,うん！　ファスティバさんからだよ。\nオレ、便箋分けてあげたんだ！,嗯！是法斯提瓦小姐寄来的。\n我分给她信纸了！
12,,姬塔は封筒を開いて、\n可愛らしい便箋に綺麗な字で\nしたためられた手紙に目を通す。,姬塔打开信封，\n阅读着写满漂亮字迹的可爱信纸上的内容。
13,ファスティバ/法斯提瓦,姬塔。\nまずは、ごめんなさいを\n言わないといけないわ。,姬塔。\n首先，我要向你说声抱歉。
14,ファスティバ/法斯提瓦,ひとつめは、\nアナタの元気がない様子に\nすぐ気づけなかったこと。,第一点是，\n我没有立刻注意到你情绪低落。
17,ファスティバ/法斯提瓦,ふたつめは、元気がない理由を\n勝手に夢に入って探ったこと。,第二点是，\n我擅自进入你的梦境探寻你情绪低落的原因。
18,ファスティバ/法斯提瓦,そして、最後に……\nアナタの悩みを解決してあげられない\nだろうということ。,最后……\n我可能无法帮你解决烦恼。
23,ファスティバ/法斯提瓦,きっと、アタシは完全には\nアナタの悲しみや辛い気持ちを\n理解することが出来ないのだと思うの。,我可能无法完全\n理解你的悲伤和痛苦。
24,ファスティバ/法斯提瓦,だから、アタシは\n間違ったことを\nしてしまうかもしれない。,所以，我\n可能会做错事。
29,ファスティバ/法斯提瓦,それでも、アナタを慰める何かを\nしてあげたいと思うこの気持ちを\n愛なのだと信じたいの。,即使如此，我仍然\n想为你做点什么让你好受些，\n我相信这就是爱。
30,ファスティバ/法斯提瓦,アタシのこの愛を、\nアナタが許してくれるのなら……\n明日の明け方に甲板へ来て。,如果你能\n接受我的这份爱……\n请在明天黎明时分到甲板上来。
31,ファスティバ/法斯提瓦,愛を込めて、\nアナタのファスティバより。,满怀爱意，\n你的法斯提瓦敬上。
36,,手紙を読んだ姬塔は\nひとつ頷き、封筒と便箋を\n父からの手紙と同じ場所にしまう。,读完信后，姬塔\n点了点头，将信封和信纸\n和父亲的信放在一起。
41,,そして翌朝、\n姬塔は\n朝日の射し込む甲板へ足を向けた。,第二天早上，\n姬塔\n来到了洒满晨光的甲板。
42,ファスティバ/法斯提瓦,姬塔……\n来てくれたのね、嬉しいわ。,姬塔……\n你来了，我好高兴。
43,ファスティバ/法斯提瓦,手紙でも伝えたけれど、\nアタシはアナタの悩みをスッキリ\n晴らすことは出来ないと思うの。,我在信里也说了，\n我觉得我无法完全\n消除你的烦恼。
44,ファスティバ/法斯提瓦,でも……アナタが抱える、\nそのモヤモヤした気持ちには\n付き合えるわ！,但是……你心中\n那份郁闷，\n我可以奉陪到底！
49,,<span class='scene-font-katari'>微笑みを力強い笑顔へと変じた\n<span class='scene-font-katari'>ファスティバは、その笑顔の上に\nデュエリストのマスクを装着した。,<span class='scene-font-katari'>法斯提瓦的笑容\n<span class='scene-font-katari'>逐渐变得坚定，\n并在脸上戴上了决斗者的面具。
49-sel1_txt,,そのマスクは……？,那个面具是……？
49-sel2_txt,,ありがとう、ファスティバ,谢谢你，法斯提瓦
50,ファスティバ/法斯提瓦,これはアタシの正装よ。\n初めてトーナメントで優勝した際に\n贈られたマスクなの。,这是我的正装。\n是我第一次赢得比赛时\n得到的奖品。
51,ファスティバ/法斯提瓦,つまりアタシの汗と涙と愛の結晶……\nそして、初心に立ち返るための\n大切な宝物でもある。,它凝聚着我的汗水、泪水和爱……\n也是我重拾初心的\n重要宝物。
52,ファスティバ/法斯提瓦,アナタの気持ちに向きあうには\nアタシも本気の姿でなくてはね！\nこのマスクは本気の証よ！,我要以真诚的态度面对你的心情！\n这个面具就是证明！
53,ファスティバ/法斯提瓦,いいえ……姬塔。\nお礼を言うのはアタシの方よ。,不……姬塔。\n应该是我向你道谢才对。
54,ファスティバ/法斯提瓦,アタシの愛の未熟さを許し、\nこうして甲板に来てくれた。,感谢你原谅我爱的稚嫩，\n还来到甲板赴约。
55,ファスティバ/法斯提瓦,そして、アタシのやり方を受け入れ\nそうやって拳を握ってくれる。,并且接受我的方式，\n像这样握紧拳头。
56,ファスティバ/法斯提瓦,本当に、ありがとう。\n気持ちをぶつけるに足ると、\nアタシを認めてくれて……,真的非常感谢你。\n你认为我可以承受你的情绪，\n认可了我……
57,,深く息を吐いたファスティバは、\n優しさを湛えながらも凛とした瞳を\n姬塔へと向ける。,法斯提瓦深吸了一口气，\n用温柔而坚定的眼神\n望向姬塔。
58,ファスティバ/法斯提瓦,さぁ……姬塔！\nアナタのモヤモヤ、\nアタシにぶつけていらっしゃい！,来吧……姬塔！\n把你心中的郁闷，\n都发泄到我身上吧！
59,ファスティバ/法斯提瓦,アタシ、必ず全て受け止める！\n<span class='scene-font-4'>……受け止めてみせるわ！！</span>,我一定会全部接受！\n<span class='scene-font-4'>……我一定会做到的！！</span>
61,,決意、そして愛を込めた\nファスティバの姿に\n姬塔は深呼吸する。,面对着充满决心和爱的\n法斯提瓦，\n姬塔深吸了一口气。
62,,そして姬塔は、\n愛の伝道者に受け止めて貰うため\n拳を握り締めたのだった。,然后姬塔\n为了让爱的使者接受，\n紧紧地握住了拳头。
info,,,scene_evt190527_cp6_q4_s20
译者,,,Gemini
