id,name,text,trans
0-chapter_name,,炎の奥に燃える想い,火焰深处燃烧的思念
0-synopsis,,昏き島で野営中の一行は、ティナの炎の魔法によってたき火を起こして夜食の準備をしている。もっと上級の魔法を覚えたいと話すティナを、騎空団に誘う一行。ティナは色々な場所を旅して母親のような強い魔導士になる夢を叶えるため、一行の仲間に加わるのだった。,在昏暗的岛上野营的一行人，借助蒂娜的火焰魔法升起了篝火，准备着夜宵。一行人邀请想要学习更高级魔法的蒂娜加入骑空团。为了实现像母亲一样周游各地成为强大魔导师的梦想，蒂娜加入了队伍。
0,,旅の途中、星晶獣の情報を求めて\nゴブリン討伐隊に加わり、\n昏き島に降り立った一行。,在旅途中，为了寻找星晶兽的情报加入了哥布林讨伐队，一行人来到了昏暗的岛上。
1,,討伐隊の合流地点に辿り着いた一行は、\n辺りが夕闇に包まれていく中、\n野営の準備をしているのだった。,一行人抵达了讨伐队的集合地点，在周围被暮色笼罩之时，做起了野营的准备。
2,ビィ/碧,くっそー！\n木が湿ってるのか……\nなかなか火がつかねぇぜ！,可恶！\n是木头太湿了吗……\n怎么也点不着火！
3,ルリア/露莉亚,はぁ……\nこのまま、たき火ができなかったら\n晩御飯抜きですね……,唉……\n如果这样都点不着篝火的话\n晚饭就没着落了……
4,ティナ,ん？\nどうしたの？,嗯？\n怎么了？
5,ビィ/碧,まいったぜ……\n火起こしが全然上手くいかなくてよ……,真是服了……\n生火完全不顺利啊……
6,ティナ,なんだ！\nそれなら私に任せて！,什么嘛！\n那就交给我吧！
7,ティナ,二人とも、ちょっと離れてて。\n……えいっ！,你们两个，稍微离远一点。\n……嘿！
9,ビィ/碧,うわっ！　掌から炎が出たぞ！\nって……\n一瞬で火をつけちまいやがった。,哇！手掌里冒出火焰了！\n而且……\n一下子就把火点着了。
10,ティナ,これでよし、と……\nふふっ、火の番なら私に任せてよ！,这样就好了……\n呵呵，看火的话就交给我吧！
11,ルリア/露莉亚,すごいです～！　\nその炎の魔法、ティナさんは、\nどこで覚えたんですか？,好厉害啊～！\n蒂娜小姐，那个火焰魔法，\n是在哪里学会的呢？
12,ティナ,えっ！？\nええと……それは……,诶！？\n那个……那是……
13,ビィ/碧,なぁなぁ……\nよかったら聞かせてくれよ！,呐呐……\n可以的话告诉我们吧！
14,ティナ,う、うん！\nでも……別に大した話じゃないからね？,嗯，嗯！\n但是……也不是什么了不起的事啦？
