id,name,text,trans
0-chapter_name,,祭壇の外で,祭坛之外
0-synopsis,,巫女達は眼鏡を探しつつ、この島では昔から失くし物をする人が多いらしいと話す。やがて見つかった祭司の眼鏡は、他の失せ物とともに地面に埋められていた。物を盗んでは埋める何者かが昔からいる事を不気味がる５人だが「犬のイタズラみたい」という言葉から、それがショロトルの仕業と気付く。寂しがり屋の星晶獣のイタズラに苦笑しながら、今後は公演の回数を増やそうかと話すのだった。,巫女们一边寻找着眼镜，一边聊着这座岛自古以来就有很多人丢失东西的传闻。不久后，她们找到了祭司的眼镜，但眼镜和其他丢失的物品一起被埋在了地下。有人一直在偷东西并埋起来，这让五人毛骨悚然，但「像是狗狗的恶作剧」这句话让她们意识到这是修洛托尔的所作所为。大家对这位怕寂寞的星晶兽的恶作剧哭笑不得，并开始讨论今后要增加公演的次数。
2,,ショチトル島で起きた\n星晶獣ショロトルにまつわる騒動から\n数日が経った頃のこと。,修洛托尔岛上发生的\n与星晶兽修洛托尔有关的骚动\n已经过去数日。
3,,全ての公演を終えた巫女達は、\n宿舎で束の間の休息を過ごしていた。,结束了所有公演的巫女们\n在宿舍里享受着短暂的休息。
4,カンナ,ふう、\n今年の公演は色々あったなあ。ふふ。,呼～\n今年的公演发生了很多事呢。呼呼。
5,カンナ,姬塔さん達のお見送りも、\nショロトル様騒動の後片付けも\n昨日で終わったし……,送别姬塔小姐她们，\n还有修洛托尔大人引发的骚动\n昨天也都结束了……
6,カンナ,今日は充電かな！\n休める時にはちゃんと\n休んどかないとね！,今天就好好休息一下吧！\n能休息的时候就好好\n休息才行啊！
7,カンナ,……ん？,……嗯？
8,,清々しげに体をのばしていたカンナは、\n宿舎のロビーでうずくまる\n小さな姿に目をとめた。,神清气爽地伸展着身体的栞\n注意到宿舍大厅里\n有一个小小的身影蜷缩着。
9,リナリア,むむむ……むむむむむ……,唔唔唔……唔唔唔唔唔……
11,カンナ,リナリア？\n鏡とにらめっこしてどうしたの？,莉娜莉亚？\n和镜子大眼瞪小眼地干什么呢？
12,リナリア,あ……カンナ。,啊……栞。
13,リナリア,ちょっとね、\n公演の時のメイクの色、\n変えてみようと思って。,那个啊，\n我想把公演时\n妆容的颜色换一下。
14,カンナ,あっ！　イメチェン？\nいいね！\n新しい挑戦、私大好きだよ！,啊！形象改造？\n好啊！\n我很喜欢新的挑战哦！
15,カンナ,ふふ、凄い凄い！\nこーんなに色んな\n化粧品集めたんだね！,呼呼，好厉害好厉害！\n你收集了\n这么多化妆品啊！
16,リナリア,うん……でもね、いろいろ試してたら、\nどんなのがいいのか\nわかんなくなってきちゃって……,嗯……但是啊，试来试去，\n我也不知道\n哪种更好了……
