id,name,text,trans
0-chapter_name,,本当の姿,真正的姿态
0-synopsis,,青竜を倒した一行。アミが落ちていた玲瓏佩に以前姬塔が拾った玲瓏佩を近づけると、ふたつが共鳴しあう。アミの意識は玲瓏佩の中に招かれ、そこでアミは禍々しい力を放つ黒麒麟の意思と対面する。黒麒麟の目的を問うアミ。しかし答えを得る前に意識は現実に戻り、アミは深刻そうな顔で玲瓏佩を見つめるのだった。,打倒青龙的一行人。阿米将捡到的玲珑佩靠近之前姬塔小姐捡到的玲珑佩时，两者发生了共鸣。阿米的意识被吸引到玲珑佩之中，在那里，阿米与释放着不祥力量的黑麒麟的意志相遇了。阿米询问黑麒麟的目的。然而，在得到答案之前，意识回到了现实，阿米神情凝重地注视着玲珑佩。
2,ビィ/碧,今だ、アミ！,就是现在，阿米！
3,アミ,わかってる。\nこれで終わりだ。,我知道。\nこれで结束了。
7,,青竜に向けて、必滅の力を秘めた\n一矢を放つアミ。,阿米向青龙射出了蕴含着必杀力量的一箭。
8,,そして、放たれた矢は\n外れることなく見事、\n青竜の頭を射抜く。,然后，射出的箭矢没有偏离，漂亮地射穿了青龙的头部。
9,青竜,…………！！,…………！！
22,ビィ/碧,な、なんとか勝ったな……,总、总算是赢了……
23,ルリア/露莉亚,は、はい。\nでも、こんなに強いなんて\n思っても見ませんでした。,是、是的。\n但是，没想到它会这么强。
24,ルリア/露莉亚,アミさんがいなかったら、\nちょっと危なかったかもしれません……,如果没有阿米先生的话，\n可能会有点危险……
25,,姬塔も疲れと\n安堵の混じった表情で\nルリアの言葉に頷く。,姬塔小姐也带着疲惫和\n安心交织的表情\n对露莉亚的话表示赞同。
26,アミ,それはない。\nボクが……四聖がいなければ\n四象は本来の力を出せなくなる。,那倒不会。\n如果没有我……如果没有四圣的话，\n四象就无法发挥出真正的力量。
27,アミ,その代わり、玲瓏佩は\n手に入らない上、倒せば倒すほど、\n力を増していくとも言われてる。,但反过来说，玲珑佩就\n无法到手，而且据说它们每被打倒一次，\n力量就会增强。
28,アミ,確か、倒した四象の残滓が\n蘇った四象に吸収され、\nその力をあげるとかなんとか……,我记得，被打倒的四象的残渣会被\n复活的四象吸收，\n提升它们的力量什么的……
29,アミ,そんなことをウルキが\n言っていた。,乌鲁基好像\n说过这样的话。
30,ルリア/露莉亚,そ、そうなんですね。,是、是这样啊。
32,アミ,それよりも……\nやっぱりあったか。,比起那个……\n果然还是有啊。
33,,アミは青竜を倒した場所に\n落ちていた玲瓏佩を手に取る。,阿米捡起了掉落在打倒青龙的地方的\n玲珑佩。
34,ルリア/露莉亚,それ、玲瓏佩ですか？\nそう言えば何か調べたいことが\nあるって言ってましたよね。,那个，是玲珑佩吗？\n说起来，您之前说过\n想调查些什么来着。
35,アミ,ああ。それを今から確かめる。,嗯。我现在就来确认一下。
36,アミ,ルリア、もし、青竜以外の力や\n気配を感じたらボクに\n教えてほしい。,露莉亚，如果感觉到青龙以外的力量或\n气息的话，请\n告诉我。
37,ルリア/露莉亚,え、あ、はい。,啊，嗯，好的。
39,,アミはポケットから玲瓏佩を\n取り出すと手に入れたばかりの\n玲珑佩に近づける。,阿米从口袋里掏出玲珑佩，\n将它靠近刚到手的\n玲珑佩。
51,,次の瞬間、ふたつの玲瓏佩は\n共鳴しあい、不思議な輝きが周囲を\n白く塗りつぶしていく。,下一瞬间，两块玲珑佩\n发生共鸣，不可思议的光芒将周围\n染成一片白色。
57,アミ,また、ここか？\n姬塔達は──,又是这里吗？\n姬塔小姐她们——
59,アミ,いない……か。\nということは四聖であるボクだけが\n招き入れられた。,不在……吗。\n也就是说，只有身为四圣的我\n被邀请进来了。
60,アミ,それであってるか？,是这样吗？
61,,アミは警戒した目で\n目の前にいる青竜に話しかける。,阿米用警惕的眼神\n向眼前的青龙搭话。
62,青竜,…………,…………
63,,しかし、青竜はアミの問いに\n答えることなく、その身を\n天へと飛翔させていく。,然而，青龙并没有回答阿米的问题，\n而是飞向了天空。
64,,そして、青竜の姿が\n見えなくなった瞬間、周囲に\n暗く禍々しい力が満ちていく。,然后，在青龙的身影\n消失的瞬间，周围\n充满了黑暗而不祥的力量。
65,アミ,っ！？　この暗い気配……\nそれに全身が\n総毛立つ程の力……,！？　这股黑暗的气息……\n还有这令人\n毛骨悚然的力量……
66,アミ,やっぱり、あれは\nボクの気のせいじゃなかったか。,果然，那不是\n我的错觉啊。
67,アミ,なら、いるんだろう、\n黒麒麟……,那么，你就在这里吧，\n黑麒麟……
69,黒麒麟,…………,…………
70,アミ,単刀直入に聞く。\n何をするつもりだ？,开门见山地问你。\n你打算做什么？
71,黒麒麟,…………,…………
73,アミ,っ！？,！？
74,,次の瞬間、世界を覆う眩い光に\n目を瞑るアミ。,下一瞬间，阿米被笼罩世界的耀眼光芒\n刺得闭上了眼睛。
85,,次に目を開けるとそこは\n先程までいた場所であった。,再次睁开眼睛时，发现自己回到了\n之前所在的地方。
86,ビィ/碧,お、おい、アミ！！,喂、喂，阿米！！
89,アミ,……どうなっていた？,……发生什么事了？
90,ビィ/碧,玲瓏佩が光った瞬間に倒れたんだよ。\nしかも、どんだけ、呼びかけても\n目を覚まさないしよ。,玲珑佩发光的瞬间你就倒下了。\n而且，不管怎么叫你，\n你都不醒。
91,アミ,すまない。\n心配をかけた。,抱歉。\n让你们担心了。
92,ルリア/露莉亚,あの……何があったんですか？\nさっき、玲瓏佩の中から、\n凄く暗い力を感じて……,那个……发生什么事了吗？\n刚才，我从玲珑佩里，\n感觉到了一股非常黑暗的力量……
93,アミ,詳しいことまではわからない。\nだが、多分、玲瓏佩の中に意識だけが\n取り込まれたんだと思う。,详细情况我也不清楚。\n但是，我想可能是只有意识\n被吸进了玲珑佩里。
94,,深刻そうな顔で\n玲珑佩を見つめるアミ。,阿米神情凝重地\n注视着玲珑佩。
95,,そんなアミを前に姬塔達は\n何がどうなっているかわからず、\n不思議そうな顔を浮かべるのだった。,面对这样的阿米，姬塔小姐她们\n完全不明白发生了什么事，\n露出了疑惑的表情。
info,,,scene_chr878_q5_s30
译者,,,Gemini
