id,name,text,trans
0-chapter_name,,第4話 二人目ノ協力者,第四话 第二位协力者
0-synopsis,,三種の封具の一つ、金色の剣を手に入れた一行は次なる封具、日没の鏡を探すため、呪符の古代文字に興味を示すマイシェラと共に森を越えた先にある山を目指す。日没の鏡を手に入れるにはもうひとりの封魔士の協力が不可欠だという。一行はもうひとりの封魔士が住むという村へ険しい山道を進む。,获得了三种封具之一的金色之剑的一行，为了寻找下一个封具日没之镜，与对咒符的古代文字感兴趣的马伊谢拉一起，朝着越过森后的山进发。听说要获得日没之镜，另一位封魔士的合作是必不可少的。一行人沿着险峻的山路前往另一位封魔士居住的村庄。
0,,三種の封具の一つ、\n金色の剣を手に入れた一行の前に、\n突如姿を現した謎の星晶獣。,在获得了三种封具之一的金色之剑的一行面前，突然出现了神秘的星晶兽。
1,,言い知れぬ不安を覚えながらも\nマギの封印を急ぐべく残りの封具を\n集めに次の目的地へ向かう。,即使感到莫名的不安，仍为了尽快封印玛吉而前往下一个目的地，收集剩下的封具。
2,ゼヘク,ウーナ！\n次はどの封具を探しに行くんだ？,乌娜！\n接下来要去找哪个封具？
3,ウーナ,次は……この森の先の山に、\n日没の鏡を探しに行くわよ！,接下来……要去这片森林后的山上，\n寻找日没之镜！
4,ビィ/碧,よーし！\nんじゃ張り切って行こうぜ！\n姬塔！,好嘞！\n那就打起精神出发吧！\n姬塔！
5,マイシェラ,うーむ……\nやはりこの呪符の古代文字……\n興味深い。,嗯……\n果然这咒符的古代文字……\n很有趣。
6,ドランク/德朗克,マイシェラさーん！\nもう出発しますよー！,马伊谢拉小姐！\n要出发了哦！
7,マイシェラ,ああ……\n今行く！,啊……\n我这就去！
8,スツルム/斯特姆,…………,……
9,マイシェラ,……ん？\nわらわの顔に何かついているか？,…嗯？\n我的脸上有什么东西吗？
10,マイシェラ,そうか！\n美顔の秘訣を知りたいのだな？,原来如此！\n是想知道美颜的秘诀吧？
11,スツルム/斯特姆,……違う。先に行け。\nよそ見しないように、\n見張ってやる。,……不是。先走吧。\n我会盯着你，\n别东张西望。
12,マイシェラ,……ははは！\nなるほどな！　それは名案だ。,……哈哈哈！\n原来如此！这是个好主意。
13,マイシェラ,では……\nまかせたぞ。,那么……\n就拜托了。
14,スツルム/斯特姆,ふん……\n分かったら早く行け。,哼……\n明白的话就快走吧。
20,ビィ/碧,で、その日没の鏡ってのは\nどこにあるんだ？,那么，那所谓的日没之镜\n在哪里？
21,ウーナ,日没の鏡は\nこの山の祠にあるんだけど……,日没之镜\n在这座山的祠堂里……
22,ウーナ,その前に途中の村によって、\nもう一人の封魔士にも\n協力してもらわないとな……,不过在那之前，要先经过中途的村庄，\n让另一位封魔士\n也帮忙才行……
23,ゼヘク,ん？　そいつがいないと\n何か問題があるのか？,嗯？\n没有他会有什么问题吗？
24,ウーナ,ああ……その封魔士がいないと\nあたしには封具の場所と\n封印の呪文が分からないんだ。,啊……没有那位封魔士的话\n我就不知道封具的位置和\n封印的咒语。
25,ウーナ,それに……マギを封印する時にも\n三人いないと都合が悪いんだよね。,而且……封印玛吉的时候\n没有三个人的话也不太方便。
26,ルリア/露莉亚,そうなんですか……\n協力してくれるといいですね。,是这样吗……\n希望他能帮忙呢。
27,ウーナ,まぁ……\n悪い奴じゃないから\n大丈夫だと思うけど！,嘛……\n不是坏人，\n我觉得没问题的！
28,ゼヘク,しかし、なかなか険しい山道の様だな。\n……ゴホッ、ゴホッ。,不过，这山路相当险峻啊。\n……咳，咳。
29,ウーナ,だ……大丈夫？,你……没事吧？
30,ゼヘク,ああ……心配いらん。\nさっきの戦いの反動だろう……,啊……不用担心。\n大概是刚才战斗的后遗症……
31,ゼヘク,さぁ！\n早く案内してくれ！,好吧！\n快带路吧！
32,ウーナ,オッケー！\nそれじゃあ……\n気を取り直してしゅっぱーつ！,好的！\n那么……\n振作精神出发吧！
info,,,scene_evt150228_cp4_q1_s10
译者,,,gpt-4o-2024-08-06
