id,name,text,trans
0-chapter_name,,”怪盗の矜持”,“怪盗的自尊”
0-synopsis,,一行が直感した通り、扉の奥にヘクターはいた。ヘクターは、星晶獣マモーナスの力の影響を最初に受けたのが彼自身であり、偽怪盗事件の黒幕であった事を語る。バスも、ヘクターを撃った事を詫び、再び主従の関係を結ぶ事を互いの償いとしようと提案した。かくして全ての真相は明らかになり、事件は真の決着を見せたのであった。,正如他们的直觉所感知的那样，赫克托就在门的里面。赫克托说，他自己是第一个受到星晶兽马摩纳斯力量影响的人，也是伪怪盗事件的幕后黑手。巴斯也为射击赫克托而道歉，提议重新建立主仆关系作为他们彼此的补偿。于是，所有的真相都被揭示，事件终于迎来了真正的结局。
0,ヘクター,…………,…………
1,バロワ/巴洛瓦,ヘクター殿！\n無事か！,赫克托大人！\n你没事吧！
2,ヘクター,はい……\nまさか、皆様が\n助けに来てくださるとは。,是的……\n没想到各位会\n来救我。
3,バス,当たり前だろう！\n私達は１２年の付き合いだぞ！\n見捨てるなど……,那是当然的！\n我们已有12年的交情了！\n怎么可能抛弃你……
4,ヘクター,しかし、私はそれを……\n裏切ってしまったのです。,但是，我却……\n背叛了这种关系。
5,ビィ/碧,うん？\n一体どういうこった？,嗯？\n到底是怎么回事？
6,ヘクター,バス様から、\nかのジュエルリゾートモデルのような\n美しい銃をと申しつけられまして。,巴斯大人让我\n制作出如珠宝度假村模特般的\n美丽的枪。
7,ヘクター,腕のいい職人を探しているうちに\n古物店であの銃を見つけたのです。,在寻找技艺高超的工匠的过程中，\n在古董店里找到了那把枪。
8,ルリア/露莉亚,星晶獣マモーナスが姿を変えた、\nあの銃を……,星晶兽马摩纳斯变成的，\n那把枪……
9,ヘクター,はい。あの銃の正体は\n知る由もありませんでしたが……,是的。虽然不知道那把枪的真实身份……
10,ヘクター,あの銃を手にした時、\n私の心に……\n……おぞましい欲が芽生えました。,当我拿到那把枪时，\n我的心中……\n……萌生了可怕的欲望。
11,ヘクター,<span class='scene-font-bold scene-font-blue'>「バス様に事件を起こさせ、</span>\n<span class='scene-font-bold scene-font-blue'>失脚させてその財産を私の手に」</span>と。\n星晶獣の影響とはいえ……,<span class='scene-font-bold scene-font-blue'>「让巴斯大人引发事件，</span>\n<span class='scene-font-bold scene-font-blue'>让他失势，把他的财产据为己有」</span>。虽然是星晶兽的影响……
12,ヘクター,カジノ艇でのニセ怪盗騒ぎ、\nあれは……\n私がバス様をそそのかしたのです。,在赌场船上的伪怪盗骚动，\n那是……\n我怂恿了巴斯大人。
13,バス,ヘクターよ、気に病むな。\nあれは……抗える物ではない。\n私が一番よく知っているよ。,赫克托，不要自责。\n那是……无法抗拒的东西。\n我最清楚不过了。
14,バス,私もあの星晶獣にあてられて\nおかしな状況になっていた。\nお互い様だよ、ヘクター。,我也受到了那星晶兽的影响，\n陷入了奇怪的状态。\n互不相欠，赫克托。
15,サーヤ/萨雅,なるほど……\nそれを気にしてバスさんの元を\n離れたんですね。,原来如此……\n因此而离开了巴斯先生的身边呢。
16,ヘクター,はい。そして……\n街をさまよううちに怪盗に捕まって……,是的。然后……\n在街上徘徊时被怪盗抓住了……
17,バロワ/巴洛瓦,まあ、なんにせよ。\n無事で何よりだ、ヘクター殿。,总之，不管怎样。\n你平安无事就是最好的，赫克托大人。
18,バス,そうとも。\nいいか、ヘクター。\n私にもひとつ謝らせてほしい。,没错。\n听我说，赫克托。\n我也有一件事想要道歉。
19,バス,君の頭に銃を向けて……\n引き鉄を引いた事を\n今もひどく後悔していてな。,我曾把枪对准你的头……\n并扣动了扳机，\n对此我至今仍深感后悔。
20,バス,すまなかった。本当に。,对不起，真的很抱歉。
21,ヘクター,しかし……\nそう仕向けたのも私です。,但是……\n是我策划了这一切。
22,ヘクター,バス様の銃を部屋から持ち出し、\n火薬に細工をしてお渡ししたのです。,我从房间里拿走了巴斯大人的枪，\n在火药上动了手脚并交给了他。
23,ヘクター,バス様が\n私を撃つであろう事を見越して……\nそれが失脚の決め手になるはずでした。,我预测到了巴斯大人\n会射击我……\n这本该是他失势的关键。
24,バロワ/巴洛瓦,なるほどな……\nバス殿がどうやって銃を持ち出したのか\n疑問だったが……,原来如此……\n我一直疑惑巴斯大人是如何\n将枪带出去的……
25,サーヤ/萨雅,あの銃はしっかりケースにしまって\n鍵もかけましたからね。\n私も不思議に思っていました。,那把枪被好好地放在箱子里，\n还上了锁。\n我也觉得很奇怪。
26,バロワ/巴洛瓦,これで、謎は全て解けたのか？,这样，谜题就全部解开了吗？
27,サーヤ/萨雅,怪盗シャノワールが何をしたいのかは\nさっぱりわからないままですが。,关于怪盗夏洛瓦尔想做什么，\n我们仍然一无所知。
28,バロワ/巴洛瓦,ほっとけ、そんなもん。,别管那种事情。
29,バス,ああ。そうとも！　私は……\nヘクター、君が無事でいてくれて\n嬉しいよ。,啊。没错！ 我……\n赫克托，你能够平安无事，\n我很高兴。
30,ヘクター,バス様……,巴斯大人……
31,バス,もう一度、私に仕えてはくれないか。\nそれをお互いの償いとしよう。\nどうだろうか？,能不能再一次为我效力。\n就当作是彼此的补偿。\n你觉得如何？
32,ヘクター,もったいないお言葉です……\nバス様……！,真是承蒙厚爱……\n巴斯大人……！
33,サーヤ/萨雅,めでたしめでたし、ですね！\n先生！,皆大欢喜，皆大欢喜呢！\n先生！
34,バロワ/巴洛瓦,はっはっは！　そのようだ。,哈哈哈！ 是这样的。
35,ルリア/露莉亚,ふふ、よかったです！,呵呵，太好了！
36,ビィ/碧,だなぁ！\nオイラもなんかホッとしたぜ！,是啊！\n我也感到松了一口气！
37,サーヤ/萨雅,なんだか、すっごく長かったですね。\n解決まで。,总觉得，好像过了很长时间呢。\n直到解决。
38,バロワ/巴洛瓦,だが、すぐに次の事件は起きるぞ。\n相手はあの怪盗シャノワールだ。\n気を抜いているヒマはない！,但很快就会有下一个事件发生。\n对手是那个怪盗夏洛瓦尔。\n没有放松的时间！
39,サーヤ/萨雅,はい、先生！,好的，老师！
41,,こうして、カジノ艇ジュエルリゾートを\n混乱に陥れたニセ怪盗事件は\n本当の意味で終幕となったのである。,就这样，使赌场船珠宝度假村陷入混乱的伪怪盗事件，\n真正意义上的落下了帷幕。
42,,富豪バスとその執事ヘクターが\nより強い絆で結ばれたのを見届け、\n探偵バロワと助手サーヤ達は去った。,看到富豪巴斯和他的管家赫克托之间的羁绊更加牢固后，\n侦探巴洛瓦和助手萨雅等人离开了。
43,,そこに、パイプから吐き出した\n煙の香りだけを残して──,只留下了从烟斗中吐出的\n烟雾的香气──
45,サーヤ/萨雅,姬塔さん、凄いです！\n全部の謎を解いちゃうなんて！\nお疲れ様でした！,姬塔小姐，真厉害！\n竟然解开了所有的谜题！\n辛苦了！
46,サーヤ/萨雅,それから……\n最後までプレイしてくださって、\n本当にありがとうございました！,然后……\n谢谢你玩到最后，\n真的非常感谢！
47,サーヤ/萨雅,それではまた、\n次の事件でお会いしましょう！,那么我们下一个事件再见吧！
48,,「名探偵バロワ\n～ジュエルリゾートを奪還せよ～」\n　　　　　　　　　　　　────おわり。,「名侦探巴洛瓦\n～夺回珠宝度假村～」\n　　　　　　　　　　　　────完。
