id,name,text,trans
0-chapter_name,,第6話 ロクデナシ,第6话 无赖
0-synopsis,,ミサンガを飲み込むこともできず、いよいよ焦りだしたヒトデナシはヨウとコウを放棄し逃げ出そうとする。しかしクズレやユエル、ソシエ、姬塔達が立ち塞がり、行く手を塞ぐ。スイに侵食され始めたのか、パニックに陥ったヒトデナシは、分かたれていた自身を呼び集め巨大化し、逃げ出そうとする。一行はスイを救い出すため、ヒトデナシを押し留めようとするのだった。,无法吞下友谊手环的非人开始焦急，试图放弃容和蔻逃跑。然而库兹雷、尤艾尔、苏丝雅和姬塔等人挡住了他的去路。被斯依侵蚀的非人陷入恐慌，召集分裂的自己变得巨大化，试图逃跑。众人为了救出斯依，试图阻止非人。
1,ヒトデナシ,<span class='scene-font-4'>はぁ？</span>\nなにこれ、気持ちわりぃ！！,<span class='scene-font-4'>哈？</span>\n这是什么，真恶心！！
2,クズレ,未だ志叶う時ではない。\nそういうことだろう、スイ。,现在还不是实现志向的时候。\n是这样吧，斯依。
3,ヒトデナシ,<span class='scene-font-4'>はぁ！？　だからぁ！！</span>\nスイはいねぇって……ああ！\nなんだこれ、なんで千切れねぇのぉ！？,<span class='scene-font-4'>哈！？　所以说！！</span>\n斯依不在……啊！\n这是什么，为什么撕不开！？
4,ヒトデナシ,ていうかなに！？\nいつの間にできたんだよぉ！！\nクソ、飲み込め、飲み込めぇ……！！,到底是什么！？\n什么时候出现的啊！！\n该死，吞下去，吞下去……！！
5,ヨウ/容,コウ兄ぃ……！,蔻哥哥……！
6,コウ/蔻,はい……！！\nスイさんはやっぱりまだ……！！,是的……！！\n斯依小姐果然还……！！
7,ヨウ/容,スイ、スイ！！\nはやく戻って来いよ！！\n聞こえてるンだろ！！,斯依，斯依！！\n快点回来啊！！\n你听得到吧！！
8,コウ/蔻,早く出てきてください！\nまだまだいっぱいやりたいこと、\nしたいことあるんでしょう！,快点出来吧！\n还有很多想做的事，\n想要完成的事吧！
9,ヒトデナシ,<span class='scene-font-4'>だぁかぁらぁ！</span>\nもう、いねぇって言ってるよねぇ……！\nああ、うざい、うざいうざい！！,<span class='scene-font-4'>所以说啊！</span>\n已经说了不在了吧……！\n啊，烦死了，烦死了！！
10,ヒトデナシ,気持ち悪いなぁ、楽しくないなぁ！\n面白くないなぁ……！！,真恶心啊，一点都不好玩！\n一点都不好笑啊……！！
