id,name,text,trans
0-chapter_name,,第1話 聖国の象徴,第1话 圣国的象征
0-synopsis,,シャルロッテが見つけたのはセワスチアンだった。遊撃隊隊長であることをシャルロッテに秘密にしているセワスチアンは一瞬返答に窮するが、コーデリアが助け舟を出して事なきを得る。共に襲撃された者から話を聞いた後、一行は路地裏に座りこむ団員を発見する。慌てて駆け寄り傷の具合を診ようとしたシャルロッテだったが、その脇腹に突如刃物が突き立てられるのだった。,夏洛特发现了塞瓦斯蒂安。塞瓦斯蒂安隐瞒了自己是游击队队长的事实，一时语塞，但科迪莉亚及时帮他解围。听取了被袭击者的陈述后，他们在小巷中发现了一名坐在地上的团员。夏洛特急忙跑过去查看伤势，然而她的侧腹突然被利刃刺入。
3,,シャルロッテは早足で\nその人物に駆け寄り、声をかける。,夏洛特快步跑向那个人，并呼唤他。
4,シャルロッテ/夏洛特,やはり！　じいやでありましたか！,果然！是您啊，管家先生！
6,セワスチアン/塞瓦斯蒂安,おや……お嬢様。,哦……是您啊，大小姐。
7,,一瞬驚いたセワスチアンだったが、\nすぐさま笑顔で応じる。,塞瓦斯蒂安一瞬间感到惊讶，但随即露出微笑应对。
8,セワスチアン/塞瓦斯蒂安,これはこれは、奇遇ですな。\nなぜこちらに？,真是巧遇啊。您为何在这里？
9,シャルロッテ/夏洛特,事件の対応をしていたであります。\nあ、事件というのは……,我在处理事件。这件事是……
10,セワスチアン/塞瓦斯蒂安,私も先ほど耳にしましたよ。\n団長として立派に指揮を執られたとか。,我刚才也听说了。您作为团长表现得非常出色。
11,シャルロッテ/夏洛特,大したことではありません。\n団員の皆の頑張りがあってこそで\nありますから。,没什么大不了的。这全是因为团员们的努力。
12,シャルロッテ/夏洛特,自分はともかく、\nじいやこそなぜここに？\n所用だと聞いていましたが？,我倒是无所谓，管家先生您为何在这里？我听说您有事在身？
13,セワスチアン/塞瓦斯蒂安,（ふむ、困りましたな……\n同じ事件を調査している以上、\nいずれ会うとは思っていましたが……）,（嗯，这真让人头疼……既然在调查同一件事，迟早会碰面的……）
