id,name,text,trans
0-chapter_name,,祭と喧嘩は海の華,祭典与打架是大海的花朵
0-synopsis,,オイゲン、ソリッズ、ジンの三人から心意気を伝授された姬塔は、正式に祭の主として認められる。伝統的な衣装に身を包み、櫓の上で二本のバチを掲げ持つ姬塔に、屈強な海の男達から野太い歓声が上がるのだった。,从欧根、索利茲、仁三人那里传授到气概的姬塔，正式被认可为祭典的主人。身着传统服装，在樯橹上高举两根鼓槌的姬塔，健壮的海上男儿们发出了浑厚的欢呼声。
0,ソリッズ/索利茲,よっし！\nここまでだな！,好！\n到此为止了吧！
1,ジン/仁,姬塔殿。\n流石、見事なものだ！,姬塔殿。\n不愧是你，真是漂亮！
2,海の男２/海上男儿２,ふぅ……\n圧倒されちまったぜ！,呼……\n被震撼到了啊！
3,ゴロツキ２/小混混２,ああ！\nこんなの見せられちまったら\n何も言えなくなっちまうな。,啊啊！\n被你这样一展示\n都说不出话来了。
4,オイゲン/欧根,ははっ！\nどうやら誰も文句は言えねぇようだな！,哈哈！\n看来谁都无法抱怨了啊！
5,ビィ/碧,えっと、これで姬塔が\n祭の主ってことになったんだな？,那个，这样一来姬塔\n就成为祭典的主人了吧？
6,シグ,ああ、そうさ！\nじゃあ早速アレに\n着替えてもらおうじゃないか！,啊啊，没错！\n那就马上让你换上\n那个服装吧！
7,ビィ/碧,んん？\nアレってなんだ？,嗯？\n那个是什么？
8,シグ,はははっ！\n見てのお楽しみってところだね！,哈哈哈！\n你看了就知道了！
14,シグ,おお！\n着替えたね。,哦哦！\n换好衣服了啊。
16,,祭の主の伝統的な出で立ちに着替えた\n姬塔は、うっすらと頬を\n染めて華やかな笑顔を見せる。,换上祭典主人传统装束的\n姬塔，微微泛红着脸颊\n露出灿烂的笑容。
17,ルリア/露莉亚,わぁ！\n良いですね！\nかっこいいですー！,哇！\n太棒了！\n真帅气啊！
18,ビィ/碧,うんうん！\nなんだか祭って感じで\n気合入るな！,嗯嗯！\n总觉得有种祭典的感觉，\n让人很有干劲呢！
19,ビィ/碧,……ん？\nそういえば今更だけど、祭の主って\n具体的には何をするんだ？,……嗯？\n说起来虽然有点晚了，祭典的主人\n具体要做什么啊？
20,オイゲン/欧根,ふむ……\nそいつぁ、姬塔は\nもうわかってるはずだぜ？,唔……\n那个啊，姬塔\n应该已经明白了吧？
21,,オイゲンの言葉に、\n姬塔は自信に満ちた\n表情で頷く。,对欧根的话，\n姬塔以充满自信的\n表情点了点头。
22,ソリッズ/索利茲,いいぞ！\nそンじゃあ早速見せてくれや！,很好！\n那就马上给我们看看吧！
33,姬塔,…………,…………
35,,姬塔は、用意された櫓に\n登り、二本のバチを高く掲げる。,姬塔登上准备好的望楼，\n高高举起两根鼓槌。
37,ゴロツキ１/小混混１,おお！\n<span class='scene-font-4'>うおおおおーーー！！</span>,哦哦！\n<span class='scene-font-4'>呜哦哦哦——！！</span>
38,海の男２/海上男儿２,よし！\n<span class='scene-font-4'>いいぞぉーーー！！</span>,好！\n<span class='scene-font-4'>不错啊——！！</span>
39,ジン/仁,我々も、参ろう！,我们也一起加入吧！
40,オイゲン/欧根,おうよ！,好啊！
41,ソリッズ/索利茲,よっしゃぁ！！,好耶！！
42,３人,ソイヤソイヤ！　ソイヤソイヤソイヤ！ \nソイヤソイヤソイヤ！\n<span class='scene-font-4'>セイヤァァーーーッ！！</span>,嗨咿呀嗨咿呀！嗨咿呀嗨咿呀嗨咿呀！\n嗨咿呀嗨咿呀嗨咿呀！\n<span class='scene-font-4'>嗨咿呀啊啊——！！</span>
44,,太鼓の音と、男達の野太い声が\n高らかに響き渡り、アウギュステの\n日は暮れていくのだった。,鼓声和男人们浑厚的声音\n响彻云霄，奥古斯特的\n这一天就这样落幕了。
info,,,scene_exjob_drum_ep1_q3_s20
译者,,,Claude 3 Opus
