id,name,text,trans
0-chapter_name,,姿を消した村人,失踪的村民
0,村人/村民,ガッハッハ！　すまんすまん！\nいい鹿が採れたから\n焼いて食わせてやろうと思ってよ！,哈哈哈！ 不好意思啊！\n打到了一头好鹿\n我想烤了请你们吃！
1,ルリア/露莉亚,あはは……\nそれで山に\n薪を取りに来てたんですね……,啊哈哈……\n原来你是来山里\n取柴火的啊……
2,村人/村民,ああ。\n家中ひっくり返して探したんだが\nどうしても薪が見つからなくてな！,是啊。\n我把家里翻了个底朝天找柴火\n但就是怎么也找不到！
3,ビィ/碧,ったくぅ……家に散らばってたの、\nありゃ鹿の毛かよ……\n心配したじゃねえか。,真是的……散落在家里的，\n原来是鹿毛啊……\n害我白担心了。
4,ルリア/露莉亚,よかったです。\n玄関も開けっ放しで、\nてっきり何かあったのかと……,太好了。\n连大门都敞开着，\n我还以为出什么事了……
5,村人/村民,え？　そういうもんなのか？\nまあ、村の連中は皆顔見知りだし、\nこの辺じゃ盗みに入る奴もいねえしな。,嗯？ 不都这样的吗？\n反正村里人都是熟面孔，\n这一带也没什么小偷。
6,ビィ/碧,ったくぅ……\nこの島は相変わらず\nノンビリしてやがるぜ……,真是的……\n这座岛依然这么\n悠闲啊……
7,,他の島では見られない大らかさに触れ、\n故郷に帰ってきた事を\n実感した姬塔とビィ。,感受到其他岛上看不到的这种豁达，\n姬塔和碧真切地意识到\n自己回到了故乡。
8,,"束の間の滞在ではあるが、\n懐かしき故郷の空気は\n大きな安らぎをもたらした。 ","虽然只是短暂的停留，\n但故乡熟悉的空气\n还是带来了巨大的慰藉。"
info,,,scene_free47_q1_s20
译者,,,Claude 3 Opus
