id,name,text,trans
0-chapter_name,,漁業の危機,渔业危机
0,,調査の結果、事件の原因は\n凶暴化した魚であることが判明する。,经调查发现，事件的原因是\n鱼变得凶暴化了。
1,,しかもその魚はアウギュステの住民の\n研究によって生まれ、\n逃げ出してしまったものだと分かる。,而且据了解，那些鱼是\n奥古斯特居民的研究\n培育出来后逃跑的。
2,,一行は事情を聞くために\n研究をしていた住民の元を訪れた。,一行人为了了解情况\n前去拜访进行研究的居民。
3,ビィ/碧,てんめぇ……！\n一体全体なんの研究をすれば、\nあんな凶暴な魚が生まれるんだよ！,你这家伙……！\n到底是做了什么研究，\n才会培育出那么凶暴的鱼啊！
4,住民/居民,すまん……その……\n『いつでも新鮮で食べられる魚』\nについて研究をしていたんだが……,抱歉……那个……\n我在研究『随时都能吃到新鲜的鱼』\n这个课题……
5,住民/居民,はぁ……おそらく環境の急激な変化に\n伴い、凶暴化してしまったんだろう……\n研究は一からやり直しだな……,唉……大概是由于环境的急剧变化，\n导致它们变得凶暴了吧……\n研究只能从头再来了……
6,ビィ/碧,なっ！\nまだ研究するつもりなのか！？\n次また暴走したらどうするんだよ！,什么！\n你还打算继续研究吗！？\n要是下次再发生暴走怎么办！
7,住民/居民,くっ……次は厳重に管理するさ！\n俺は何としてでも\nやり遂げなきゃならないんだ！,哼……下次我会严加管理的！\n我无论如何\n都必须完成这个研究！
8,ルリア/露莉亚,どうして……\nそこまでされるのですか？,为什么……\n你要做到这种地步呢？
9,住民/居民,その……俺も騎空士なんだが、\n空の旅とはいえ、干物ばかりを\n食べたくなくてな……,那个……我也是个骑空士，\n虽说是在空中旅行，但总是吃\n干鱼干肉也很腻啊……
10,ビィ/碧,おいおい……\nそんな理由だったのかよ……,喂喂……\n原来是因为这种理由吗……
11,ルリア/露莉亚,で、でも……なんとなく、\n私はその気持ち、分かります。,可、可是……不知为何，\n我能理解你的心情。
12,住民/居民,おお……！\n分かってくれるのかお嬢さん！,哦哦……！\n你能理解我吗，小姑娘！
13,ルリア/露莉亚,はい！　いつでも新鮮で\n美味しいお魚が食べられたら、\nとっても嬉しいですもんね！,是的！如果随时都能\n吃到新鲜美味的鱼，\n那该有多开心啊！
14,ルリア/露莉亚,でも……みんなに迷惑を\nかけるのはいけないと思うんです。,但是……我觉得\n给大家添麻烦是不对的。
15,住民/居民,そりゃあ……そうだな……\n本当にすまなかった……\n次から厳重に気を付けるよ,那个……说得也是……\n真的很抱歉……\n下次我会严加注意的。
16,ルリア/露莉亚,ふふっ、\n反省して気を付けてくれるのなら、\n私はあなたのことを応援しますよ。,呵呵，\n如果你能反省并注意的话，\n我会支持你的哦。
17,住民/居民,おお、そうか！\n……必ず作ってみせるよ！\n今度は誰にも迷惑をかけずにな！,哦，这样啊！\n……我一定会成功的！\n这次不会再给任何人添麻烦了！
18,,住民は設備を頑丈な物に切り替え、\n二度と迷惑をかけないと再度誓う。,居民将设备换成了更坚固的，\n再次发誓不会给别人添麻烦。
info,,,scene_rarity_q2_s20
译者,,,Claude 3 Opus
