id,name,text,trans
0-chapter_name,,マチョハン堕つ,陨落的肌肉侠客
1,,まったりとした空気が流れる\nとある深夜の喫茶店。,在某个深夜的咖啡店里，流淌着悠闲的空气。
2,,そこで、いつものように\n与太話に華を咲かせるローアイン達。\nふと会話が途切れたちょうどその時──,在那里，像往常一样\n罗艾因他们聊着闲话。\n就在突然间谈话停顿的那一刻──
3,ローアイン/罗艾因,いーや、マジでありえねぇんだけど。\n親戚のコゾーのヤツ。,哎呀，真的是太不可思议了。\n那个叫做コゾー的亲戚。
4,,――と、ローアインがポロリと零した\n不満にエルセムとトモイの\nアンテナがピクリと反応する。,――罗艾因不经意间吐露的\n不满让艾尔塞姆和托莫伊的\n「天线」微微一动。
5,エルセム・トモイ/艾尔塞姆・托莫伊,いやいやいやいやいや！,不不不不不！
6,エルセム/艾尔塞姆,ローアイン……\n突然のおこぷんとかＤｏしたよ？\nなんかあった系？,罗艾因……\n突然生气是怎么回事？\n发生什么事了吗？
7,トモイ/托莫伊,いーよいーよー\nちょ、俺らに共有求ム～,没事没事～\n来，跟我们分享一下吧～
8,ローアイン/罗艾因,……ハッ！　今、俺……\nお悩みポロリ、しちゃってた系？,……哈！　我刚才……\n无意间吐露了心事？
9,エルセム/艾尔塞姆,ヤバ！　\nオメ無意識でポロったの？\nムイポロ的なヤツ？,危险！　\n你刚才无意识中泄露了吗？\n那种不经意的类型？
10,トモイ/托莫伊,ファー！,哇！
11,ローアイン/罗艾因,ぶはははは！\nっべーな……思ったよりキテんだな。\nつーことでご意見宜しく！,哈哈哈哈！\n真是的……没想到这么严重。\n那就请多指教了！
12,エルセム・トモイ/艾尔塞姆・托莫伊,ウェーイ！,耶～！
13,ローアイン/罗艾因,つーわけで、\nさっきポロリンコしちゃった\n親戚のコゾーなんだけど……,所以呢，\n刚才我不小心提到了\n那个叫コゾー的亲戚……
14,トモイ/托莫伊,ウェイス！\nあのアイツなー！\nで、奴がＤｏしたよ？,耶斯！\n就是那家伙啊！\n然后，他干了什么？
15,ローアイン/罗艾因,おう。俺……\nコゾーのヤツがダンベル握ってんのを\n見ちゃったワケ。,嗯。我……\n看到コゾー那家伙在握哑铃。
16,ローアイン/罗艾因,んで、テメェの筋肉と\n語ってんのよ。\n「キてる、キてる～♪」的な感じで。,然后，他还跟自己的肌肉\n对话呢。\n「好棒，好棒～♪」的样子。
17,エルセム/艾尔塞姆,うっそだろ！\nあの引っ込み思案のコゾーが！？,不可能吧！\n那个害羞的コゾー！？
18,エルセム・トモイ/艾尔塞姆・托莫伊,ないないないないない！,不可能不可能不可能不可能！
19,ローアイン/罗艾因,いーや。これ、ガチなんですわ。,不，这是真的。
