id,name,text,trans
0-synopsis,,カトルは、ウーノと共に問屋が多く集まる市場を訪れる。ウーノの手慣れた買い付けの様子を見て学んだ後、カトルが食器を仕入れてみることに。カトルは高級そうな雰囲気の店に入り一度は失敗してしまうも、その後目に留まった食器屋で良い出会いに恵まれ、無事食器を手に入れることができたのだった。,卡托尔与乌诺一同前往批发商聚集的市场。在学习了乌诺熟练的采购方式后，卡托尔决定试着采购餐具。卡托尔虽然在一家看似高级的店里碰了壁，但之后在一家引人注目的餐具店里遇到了一次不错的邂逅，并成功地买到了餐具。
1,ウーノ/乌诺,ここは問屋が多く集まる\n業者向けの市場でね。,这里是批发商聚集的\n面向业内人士的市场。
2,ウーノ/乌诺,開店準備だけでなく、\nこれからの仕入れにも使うことになる。\n今から慣れておいた方がいい。,不只是为了开店准备，\n今后进货也会用到这里。\n最好现在就先习惯一下。
3,ウーノ/乌诺,まずは私が買い付けをしよう。\n見ていてもらえるかい？,首先我来采购吧。\n你可以在旁边看看吗？
4,カトル/卡托尔,分かりました。,我知道了。
5,,ウーノは手なれた様子で\n市場の間を縫って行くと\nとある店の前で立ち止まった。,乌诺以熟练的动作\n穿梭于市场之中\n并在某家店前停下了脚步。
6,ウーノ/乌诺,やあ、ごきげんよう。\n調子は如何かな？,你好，日安。\n近来可好？
7,陽気な店主,ウーノさんじゃないですか！\n調子はまぁまぁですかね～\nで、今日は何がご入用で？,这不是乌诺先生吗！\n我过得还算不错吧～\n那么，今天您需要些什么呢？
8,ウーノ/乌诺,今度この子が新しくお店を\n出すことになってね。\n顔見せもかねて仕入れに来たんだ。,这孩子最近要开一家新店，\n所以顺便带他来认认人，也来采购一些东西。
9,カトル/卡托尔,カトルと申します。\nよろしくお願いいたします。,我叫卡托尔。\n请多多关照。
10,陽気な店主,若いのに立派だねぇ！\nこちらこそ今後ともよろしく！,年纪轻轻就这么能干！\n我这边也请你多多关照！
11,陽気な店主,ところでウーノさん！\n今日もいい品が入ってますよ！\n何を見て行かれます？,话说回来，乌诺先生！\n今天也进了些好货哦！\n您想看看什么？
12,ウーノ/乌诺,今日はコーヒー豆を\n見せてもらえるかな？,今天能让我看看咖啡豆吗？
13,陽気な店主,はいはい！\nじゃあこの辺りなんかどうですか？,好好！\n那么看看这边的怎么样？
14,,ウーノは提示された\nコーヒー豆をじっくりと品定めする。,乌诺仔细地\n品鉴着被推荐的咖啡豆。
15,ウーノ/乌诺,うん……品質は上々だね。\nこれほどの逸品を仕入れられるとは\nさすがの腕前だ。,嗯……品质上乘啊。\n能采购到如此的逸品\n真不愧是行家。
16,陽気な店主,ウーノさんに褒めてもらえるなんて\n光栄です！,能得到乌诺先生的夸奖\n真是我的荣幸！
17,陽気な店主,どうです？\n試飲されますか？,怎么样？\n要试饮一下吗？
18,ウーノ/乌诺,お願いしよう。\nカトルの分も頼めるかな。,那就拜托了。\n能也给卡托尔来一份吗？
19,,一行は店主の入れたコーヒーを\n味わうのだった。,一行人品尝着\n店主泡的咖啡。
20,カトル/卡托尔,美味しい……,真好喝……
21,ウーノ/乌诺,ダークチョコレートとアーモンドの\n風味が絶妙にブレンドされた、\n深みとコクのあるリッチな味わいだね。,黑巧克力和杏仁的\n风味绝妙地融合在一起，\n是口感深沉而浓郁的丰富味道呢。
22,ウーノ/乌诺,こちらは３袋ほど頂こうか。,这个就买三袋吧。
23,陽気な店主,はい！　ありがとうございます！,好的！谢谢惠顾！
24,ウーノ/乌诺,君の目利きはやはり信頼に値する。\n他にもおすすめをもらえるかな？,你的眼力果然值得信赖。\n能再给我推荐些别的吗？
25,陽気な店主,でしたら！\nこれとこれなんかどうでしょう？,既然如此！\n这一个和这一个怎么样？
26,ウーノ/乌诺,うん……それぞれ３袋ずつ\n追加でお願いしよう。\n合わせていくらになる？,嗯……每样再追加三袋吧。\n这样一共多少钱？
27,陽気な店主,そうですね……\nたくさん買っていただいたので、\nこれぐらいで……,嗯……\n因为您买了很多，\n就算这个数吧……
28,ウーノ/乌诺,ふふ……正直な額だね。,呵呵……真是个老实的价钱。
29,ウーノ/乌诺,どうだろう。\n今後とも定期的な\n買い付けを約束するから……,这样如何？\n我保证今后也会定期来\n采购……
30,ウーノ/乌诺,これぐらいに……\n勉強してもらえないかな？,能不能再便宜一点……\n给我优惠一些呢？
31,陽気な店主,あ～……分かりました！\nそこまで仰るなら……\nウーノさんの頼みということで……,啊～……我明白了！\n既然您都这么说了……\n就当是给乌诺先生一个面子……
32,陽気な店主,ううぅ……\nこれでどうですかね！\nかなり頑張りましたっ！,呜呜……\n这样可以吗！\n我已经很努力地给您优惠了！
33,ウーノ/乌诺,ありがとう。\nではこちらで契約しよう。,谢谢。\n那么我们就这样成交吧。
34,陽気な店主,ご契約ありがとうございますっ！\n今後ともご贔屓に\nよろしくお願いします！,感谢惠顾！\n今后也请多多关照！
