id,name,text,trans
0-chapter_name,,第4話 造られたいのちに必要なもの,第4话 被创造的生命所需之物
0-synopsis,,翌日、カリオストロは一行にリゼットの現状を説明していく。ホムンクルスが生きるためには製作者の「情報因子」の摂取が必要不可欠だが、ミレイユは独学故にその知識がなかった。今のリゼットは情報因子が不足しているが故に飢餓状態に陥り、人の血肉を喰らっているという。そしてカリオストロは、この街で起きていた行方不明事件の犯人がリゼットであると一行に告げるのだった。,翌日，卡莉奥斯特萝向众人解释了莉塞特的现状。为了让人造人活下去，摄取制造者的「信息因子」是必不可少的，但米雷耶由于是自学成才，所以缺乏这方面的知识。现在的莉塞特因为信息因子不足而陷入饥饿状态，正在吃人类的血肉。接着，卡莉奥斯特萝告诉众人，这个城市发生的失踪事件的犯人就是莉塞特。
2,,姬塔とクラリスが、\nリゼットの襲撃を受けた翌日。,姬塔和克拉莉丝遭到莉塞特袭击的第二天。
3,,一行は再び、\nミレイユとリゼットの家を訪れていた。,一行人再次拜访了米雷耶和莉塞特的家。
4,ミレイユ/米雷耶,いらっしゃい。\n昨日は迷惑をかけたわね。,欢迎。昨天给你们添麻烦了。
5,カリオストロ/卡莉奥斯特萝,気にするな。\nそれより、リゼットはいるか？,别在意。比起这个，莉塞特在吗？
6,ミレイユ/米雷耶,え……？\nリゼットなら……,诶……？莉塞特的话……
8,リゼット/莉塞特,こちらに。\n何かご用でしょうか？\nカリオストロ様。,在这里。有事吗？卡莉奥斯特萝大人。
9,,そう言って\n部屋の入口に佇むリゼットの手には、\n菓子や果物の乗った盆が握られていた。,这样说着，站在房间入口的莉塞特手里端着放有点心和水果的托盘。
10,リゼット/莉塞特,差し入れを作ってまいりました。\nどうぞ講義の合間に\nお召し上がりください。,我准备了些点心。请在讲义的间隙享用。
11,,リゼットの用意した差し入れを見て、\nクラリスと姬塔は\n表情を硬くする。,看到莉塞特准备的点心，克拉莉丝和姬塔表情变得僵硬。
12,クラリス/克拉莉丝,リゼットちゃん、これ……\nお菓子も果物も広場のお店のだよね？\n買ってきたの？,莉塞特，这个……点心和水果都是广场店里的吧？你买的吗？
13,リゼット/莉塞特,いえ。\nミレイユ様に喜んでほしくて、\n見様見真似で作ってみました。,不。我只是想让米雷耶小姐开心，照着样子模仿着做的。
14,クラリス/克拉莉丝,…………,…………
17,クラリス/克拉莉丝,あれ……？\nあの人って確か飾り切りの果物を\n売ってるお店の人だよね？,那个人……？那个人不就是卖装饰水果的店里的人吗？
18,クラリス/克拉莉丝,こんな時間に何してんだろ……\n明日の仕入れとかかな……？,这么晚了在干什么呢……是在为明天进货吗……？
19,店主１/店长１,……ミツ……ケタ……,……找到了……
22,,クラリスは昨夜の出来事を思い返し、\nリゼットの返答に\n思わず口を噤んでしまう。,克拉莉丝回想起昨晚的事情，听到莉塞特的回答不由得闭上了嘴。
23,ビィ/碧,すっげーな！\nこの果物の飾り切りって、\n滅茶苦茶難しいんじゃねーのか？,真厉害！这种水果的装饰切法不是超级难的吗？
24,ルリア/露莉亚,このお菓子もです！\nお店の人は、自分しか作れない、って\n言ってましたけど……,这些点心也是！店里的人说这些只有他能做……
