id,name,text,trans
0-chapter_name,,第3話 強者を求めて,第3话 寻找强者
0-synopsis,,姬塔達が稽古に励んでいるそのころ、ウィルナスはホンヴァ諸島を訪れていた。ライデンを乗っ取っているスモウォーの意思はウィルナスに戦いを挑む。スモウォーの意思と互角に渡り合うウィルナスを見たライデンは、自分が完全に乗っ取られる前に始末してくれとウィルナスに頼む。しかしウィルナスはそれを断り、姬塔達がライデン救出のため稽古していることをライデンに話すのだった。,正当姬塔一行在努力训练的时候，威尔纳斯来到了霍恩瓦群岛。控制着莱登的斯莫沃意志向威尔纳斯发起了挑战。看到威尔纳斯与斯莫沃意志势均力敌，莱登请求威尔纳斯在自己完全被控制之前解决掉他。然而，威尔纳斯拒绝了，并告诉莱登姬塔一行正在训练以营救他。
2,ウィルナス/威尔纳斯,ふむ……！,嗯……！
3,,ウィルナスはひとり訪れたその島で\n時おり足を止めては周囲を見回し、\nより気配の濃い方向へ歩き出す。,威尔纳斯独自造访了那座岛屿，\n时不时停下脚步环顾四周，\n然后朝着气息更浓的方向走去。
4,,やがてたどり着いたのは……,最终到达的地方是……
7,ライデン,誰だ……！？,谁……！？
10,ウィルナス/威尔纳斯,対顔、対顔！\nこうして出会えて嬉しく思うぞ！\nお前が件のスモウォーリアか！,见面，见面！\n能这样见到你真是高兴！\n你就是那个小战士吧！
11,ライデン,この島は危険だ！\n早く出ていってくれ！,这个岛很危险！\n快离开这里！
12,ライデン,さもないと……ぐっ……！,否则……呃……！
13,ウィルナス/威尔纳斯,む？,嗯？
14,,ライデンが苦しげな顔を\n見せたかと思うと、\nやがて彼の内側からなにかが現れた。,莱登露出痛苦的表情，\n接着从他体内显现出了什么。
16,ライデン？,貴様……強イナ……？,你……很强……？
17,,それはライデンの顔をしているものの、\n明らかに別の意思を持つ存在であった。,那虽然是莱登的脸，\n但明显有着不同的意志。
18,ウィルナス/威尔纳斯,邂逅、邂逅！\n禍々しい気配の正体が\n鼎に顔を見せちまうとは！,邂逅，邂逅！\n原来这股不祥气息的源头\n竟然露出了真面目！
19,ライデン？,我ト立チ合エ……！,与我交手……！
20,ウィルナス/威尔纳斯,手合わせを望むか。\nそれもまたよし。,想要交手吗。\n那也不错。
21,,両者が見合い、\n一瞬の静寂の後──,两人对视，\n片刻的静寂之后──
22,ライデン？,ムゥン！！,嗯！！
23,ウィルナス/威尔纳斯,ハァッ！！,哈！！
24,,ぶちかまし合うと、\n衝撃によって地面が揺れた。,撞击声响起，\n震动使地面摇晃。
25,,弾かれたふたつの身体は\nまたすぐに衝突するかと思いきや、\nふたりの間の距離は埋まらなかった。,两个人的身体被弹开后，\n虽然看似要再次碰撞，\n但两人之间的距离并未缩短。
26,ウィルナス/威尔纳斯,驚嘆、驚嘆！\nなんと見事なスモウォー力よ！,惊叹，惊叹！\n多么了不起的斯莫沃力量啊！
27,ライデン？,決メタ……コイツ……ダ……\nシュウ……メ……イ……,决定了……就是他……\n终……结……
28,ウィルナス/威尔纳斯,ほう？\nどういう意味だ？,哦？\n什么意思？
30,ライデン,ぐっ……くぅ……,呃……啊……
31,ウィルナス/威尔纳斯,おぉ、意識が戻ったか。\n感嘆すべき強靭ぶりだな！,哦，意识回来了。\n真是令人惊叹的坚强啊！
32,ライデン,あんた、すげぇ強いな……\nその力を見込んで頼みがある……！\n聞いてほしい！,你真是强大啊……\n凭借你的力量我有个请求……！\n请听我说！
33,ウィルナス/威尔纳斯,己をここで始末しちまえと\n頼むつもりか？,你是想让我在这里\n解决掉你吗？
34,ライデン,話が早ぇな……頼めるか？\n恥ずかしい話だが、\n心中することすらできねぇ……,你真是爽快……能答应吗？\n说来羞愧，\n我连自杀都做不到……
35,ライデン,俺はもう俺を制御できないんだ……\n誰かの手で葬ってもらうのが、\nいちばん安全ってわけでな……,我已经无法控制自己了……\n由他人之手葬送我，\n才是最安全的选择……
36,ウィルナス/威尔纳ス,<span class='scene-font-4'>短慮、短慮！</span>\nその身体からお前の魂が消えたとしても\nもはや意味はない！,<span class='scene-font-4'>短慮、短慮！</span>\n即便你的灵魂从身体里消失\n也已经没有意义了！
37,ウィルナス/威尔纳ス,空となった身体を\nタメヱモンとやらが支配し、\nかえって好き放題にしなさるだろう！,空壳般的身体会被\n塔梅蒙控制，\n反而会随心所欲地肆虐！
38,ウィルナス/威尔纳斯,タメヱモンとはいわばスモウォーの理。\n理はどこまでも広がり、\n空の世界の自由意思を奪いかねん。,塔梅蒙可以说是斯莫沃的理。\n理会无尽扩展，\n可能会剥夺空之世界的自由意志。
39,ウィルナス/威尔纳斯,もはやお前の生死の如何で\n事の運びは決まらんということだ。\n故に鼎へのその頼みは聞けんな！,事情的进展早已不再取决于\n你的生死。\n因此我不能答应你的请求！
40,ライデン,そんな……\nなんてこった……,怎么……\n怎么会这样……
41,ウィルナス/威尔纳斯,或いは、世界はスモウォーによって\n潰えるかもしれん。\nしかし、安心しちまうが良い。,或许，世界会被斯莫沃\n毁灭。\n但，你可以放心。
42,ウィルナス/威尔纳斯,特異点がいる。,特异点存在。
43,ライデン,特異点……姬塔のことか！？,特异点……是指姬塔吗！？
44,ウィルナス/威尔纳斯,スモウォーの技を\n磨いちまってるところだ！\n魚の娘もな。,他们正在磨练\n斯莫沃的技艺！\n还有那个鱼娘。
45,ライデン,<span class='scene-font-4'>タラッタも……！？</span>\nスモウォーは危険だ！\nすぐにやめさせてくれッ！,<span class='scene-font-4'>塔拉塔也……！？</span>\n斯莫沃非常危险！\n请立即让他们停下！
46,ウィルナス/威尔纳斯,<span class='scene-font-4'>断る！</span>\n理を打破しようとする者達に、\n鼎は空の世界を託すつもりでな。,<span class='scene-font-4'>拒绝！</span>\n鼎打算将空之世界\n托付给那些试图打破理的人。
47,ウィルナス/威尔纳斯,それに特異点達の目を見れば、\n稽古をやめさせることなど\n不可能と判断する他にない。,而且从特异点他们的眼神来看，\n判断他们不会停止训练\n是唯一的决定。
48,ライデン,なに？,什么？
49,ウィルナス/威尔纳斯,スモウォーに飲み込まれるお前を\nスモウォーの力で真っ正面から\n救いだせると信じていやがるのだ。,他们相信可以用斯莫沃的力量\n正面救出被斯莫沃吞噬的你。
50,ライデン,姬塔……\nタラッタ……,姬塔……\n塔拉塔……
51,ウィルナス/威尔纳斯,よし。\n少し目に光が戻ったな。\nそれは特異点達と同じ目だ。,好。\n你的眼中恢复了一些光彩。\n那是和特异点他们一样的眼神。
52,ウィルナス/威尔纳斯,<span class='scene-font-4'>感服、感服！</span>\nその意思があれば問題あるまい！\n少しばかり耐えちまえ！,<span class='scene-font-4'>佩服，佩服！</span>\n有这种意志就没有问题！\n稍微忍耐一下！
53,ウィルナス/威尔纳斯,お前にできることがあるとすれば、\n時間を稼ぐことだろうからな。,如果你能做什么的话，\n那就是拖延时间了。
57,,ウィルナスはそう言い残し、\nライデンを置いて島を去るのだった。,威尔纳斯留下这句话后，\n离开了岛屿，留下了莱登。
info,,,scene_evt240628_cp3_q2_s10
译者,,,GPT4o
