id,name,text,trans
0-chapter_name,,暴風竜と異世界の宴,暴风龙与异世界的宴会
0-synopsis,,ある日のこと。姬塔達はヴェルドラから観光に連れていってほしいと頼まれる。姬塔達は、ヴェルドラが勝手に出て行かなかったことに驚きつつも了承する。美味しいものがたくさん食べたいというヴェルドラとラミリスの要望に応え、姬塔達はグルメフェスというイベントへ向かうことを提案する。自然とヴェルドラの肩に乗っていたイーウィヤも加わり、一行はグルメフェスへと出発するのだった。,某一天，姬塔一行被维尔德拉请求带他去观光。尽管对维尔德拉没有自行离开感到惊讶，姬塔一行还是同意了。为了满足维尔德拉和拉米莉丝想要品尝美味的愿望，姬塔一行提议去美食节活动。自然地，骑在维尔德拉肩上的伊维亚也加入了，整个队伍向美食节出发。
1,,ひょんなことから空の世界へ\n迷い込んだ\nジュラ・テンペスト連邦国の面々。,由于某个巧合，朱拉·坦派斯特联邦国的人们误入了空之世界。
31,,その強大すぎる力から、\nあわや世界は危機に陥りかけたが──,由于其过于强大的力量，世界一度陷入危机——
32,,姬塔達と共になんとか解決。\n元の世界に戻れるまで、\n滞在することになったのだった。,但与姬塔一行一起设法解决了问题。直到能回到原来的世界，他们决定暂时留在这里。
38,ヴェルドラ,…………むむ。,…嗯嗯。
39,ラミリス,ほら師匠っ、何してんのよさ。\n言うんでしょ！,喂，师父，你在干什么呢。快说啊！
40,ヴェルドラ,う、うむ。うむ……！\n我、がんばる！,嗯，嗯嗯……！我，会努力的！
41,ビィ/碧,何やってんだ、あいつら？,他们在干嘛？
42,ルリア/露莉亚,なんでしょうね、\n何か遊びの相談でしょうか？,不知道呢，是在商量什么游戏吗？
43,ビィ/碧,それならいいけどよ、\nまた世界のソンゾクとかって\n話になるのはゴメンだぜ！,那样的话倒是没问题，不过要是又扯到世界存亡之类的事情就受不了啦！
44,ヴェルドラ,おい、姬塔よ！！,喂，姬塔！！
47,ビィ/碧,うおぉ！？　こっち来た！？,哇！？过来了！？
47-sel1_txt,,どうかした？,怎么了吗？
49,ヴェルドラ,ん、うむ……そのだな。\nその～……,嗯，嗯……那个啊。那个～……
50,ラミリス,師匠！　勇気出して！,师父！鼓起勇气来！
51,ヴェルドラ,観光に行きたいのだがっ！！,我想去观光！！
52,ビィ/碧,な……なんだってぇ！？,什……什么！？
53,ビィ/碧,……いや、そう驚くことでもねぇか。,……不，也不是什么值得惊讶的事。
54,ルリア/露莉亚,そ、そうですね。\nというか、どうしてそんなに\n緊張されてたんです？,是，是的呢。不过，为什么那么紧张呢？
55,ヴェルドラ,だって……\n一緒に行こう、と言ったら\n断られるかもしれんだろう。,因为……要是我说一起去，可能会被拒绝吧。
56,ビィ/碧,なんだってぇ！？,什么！？
56-sel1_txt,,そんな気遣いが！？,居然会有这样的顾虑！？
58,ヴェルドラ,貴様らは我をなんだと思っとるんだ！？,你们以为我是怎样的存在！？
59,ラミリス,ごめん師匠、ちょっと面白い。,对不起，师父，有点好笑。
60,ビィ/碧,いや、だってよお……\nなぁ？　姬塔。,不，毕竟嘛……对吧？姬塔。
61,,姬塔は深く頷き、\n数日前にリムルと話した時のことを\nヴェルドラ達に語るのだった──,姬塔深深地点头，向维尔德拉等人讲述了几天前与利姆鲁的对话——
68,ルリア/露莉亚,リムルさん、ご相談って……？,利姆鲁先生，您要商量的事情是……？
69,リムル,ああ、ちょっとな。\nヴェルドラについてなんだけどさ。,啊，是有点事。关于维尔德拉的。
70,リムル,悪い！\nあいつのこと、\n特によく見といてやってくれないか。,不好意思！请特别留意一下他好吗？
71,ビィ/碧,見とく……？\n気にかけるってことか？,留意……？是说要关心他吗？
72,リムル,そう。もちろん、\n普段は俺が見てるし『万能感知』も\nあるし、『魂の回廊』──,是的。当然，平时我会关注他，也有「万能感知」，以及「灵魂走廊」——
73,リムル,姬塔さんとルリアさんの\n関係に似てるかな……俺とあいつの\n『繋がり』も、しっかり機能してる。,和姬塔小姐与露莉亚小姐的关系有点相似……我和他的「连接」也运作得很好。
74,ビィ/碧,じゃあ、心配ないんじゃねえか？,那不就没什么好担心的吗？
75,リムル,ああ、そのはずなんだけど……\nほら、あいつ好奇心旺盛じゃん？,嗯，应该是这样的……不过，你看，他好奇心旺盛吧？
76,リムル,可能性を手繰り寄せちゃう\n性質もあって、\n何を起こすかわかんないっていうか。,有那种能将可能性牵引出来的性质，搞不清会发生些什么。
77,ルリア/露莉亚,確かに、前もすごかったです。\n動かないはずの<ruby>『機械』<rt>アーティファクト</rt></ruby>を動かしたり、\nその結果増えちゃったり……,确实，之前也很厉害。能启动本该不动的「机械」，结果还因此增加了……
78,リムル,そうそう。まあアイツも大人、\nあんまり過保護にするのもアレだし\nある程度自由にはしてやりたいが……,就是这样。不过他也成熟了，不想过于保护，还是希望给他一些自由……
79,リムル,最近、調査だの依頼だので\n俺が艇にいないことも増えただろ？\nちょっと心配っつーか。,最近，因为调查或任务让我不在船上的情况变多了吧？有点担心。
80,リムル,散歩好きな猫でも見とくつもりで\nちょっと気にしといてやってくれると\n嬉しいなーって！,像照看喜欢散步的猫一样稍微留意一下就好，那我会很高兴的！
86,ヴェルドラ,散歩好きな猫！？,喜欢散步的猫！？
87,ルリア/露莉亚,ですから、そのう……\nどこかに行きたくなったら\n勝手にひとりで行っちゃうものかと……,所以说，就是……要是想去哪里就自己一个人偷偷去了……
88,ヴェルドラ,うっ……普段の我であれば\nそういうこともあったろうがなあ！,呃……平时的我可能会这样做啊！
89,ヴェルドラ,控えよ！　何を隠そう、\n今の我は<span class='scene-font-spword'>ニュー・暴風竜</span>なのだ！,注意！不瞒你说，现在的我可是「新·暴风龙」！
90,ビィ/碧,ニュー・暴風竜……？,新·暴风龙……？
91,ラミリス,つまり、反省モード。,也就是说，反省模式。
92,ヴェルドラ,……そうとも言う。\nだってまたリムルに\n怒られるのヤだし。,……也可以这么说。因为不想再被利姆鲁骂了。
93,ヴェルドラ,ゆえに……\n勝手な行いを控え、観光にもいちいち\n許可を取りに来てやったのだっ！,因此……我抑制了随意的行动，甚至来请求观光许可！
94,ビィ/碧,……なんだ、\n案外素直でいいヤツじゃねえか。,……怎么说呢，意外地老实，是个好家伙嘛。
94-sel1_txt,,偉いね！,真了不起！
96,ルリア/露莉亚,はい、その通りです！\nきっとリムルさんも喜びますよ！,是的，没错！利姆鲁先生一定会高兴的！
97,ラミリス,よかったわね～、師匠！,太好了呢，师父！
