id,name,text,trans
0-chapter_name,,第6話 地元の絆ってヤツ,第六话 所谓的家乡羁绊
0-synopsis,,労働組合へと向かうローアイン達だが、そこへ工場長からの刺客が襲い掛かる。ローアイン達が証拠のノートを必死に守っていると、そこへリサリサ、ユッコ、セロリ、パイセン、スター君も駆けつける。ジモメン達のリレーによって刺客を振り切り、労働組合へとたどり着いたローアイン達だったが、そこには工場長本人が待ち構えていたのだった。,罗艾因等人正前往工会，但此时工厂长派出的刺客袭击了他们。正当他们拼命保护证据笔记本时，利萨利萨、尤可、芹泽、前辈和星君也赶到了。通过地元人的接力，他们摆脱了刺客，抵达工会，但在那里等着他们的却是工厂长本人。
1,エルセム/艾尔塞姆,で、労組どこにあるって？\nワイフに訊いてたべ。,然后，工会在哪来着？我问过老婆。
2,ローアイン/罗艾因,児童館の方っつってたな。\n役所のでっかい建物に\n入ってるって。,她说是在儿童馆那边。在政府的大楼里。
3,トモイ/托莫伊,徒歩20分ってとこか。\nノートも持ったし、早速……,大约步行20分钟吧。笔记也拿到了，赶紧……
5,,その時、建物の陰で\n何かがキラリと光った。,就在那时，建筑物的阴影中有什么东西闪了一下。
9,エルセム/艾尔塞姆,うおっ！？\nっぶねッ！！？,哇！？好险！！
10,トモイ/托莫伊,は？　なにそれ何ダンス？\nつかなんでダンス？,啊？这是什么？跳舞？为什么要跳舞？
13,ローアイン/罗艾因,違ぇ！　トモちゃん見てみろ！\nエルっちの立ってたとこ、\n矢が刺さってんぞ！！,不是！托莫你看！艾尔刚才站的地方，有箭插着！！
14,トモイ/托莫伊,うえっ！？\nナンデ？？？？,呃！？为什么？？？？
15,エルセム/艾尔塞姆,なんかあっちから飛んできたけど！？,好像是从那边飞过来的！？
16,,エルセムが指した方向に目を向けると、\n物陰からニヤニヤと笑みを浮かべた\n男達が姿を現した。,当他们向艾尔塞姆所指的方向看去时，从阴影中出现了一群露出狡黠笑容的男人。
19,刺客１,よ～ォ、兄ちゃん達。\nちょっとそのノート、\n俺らに貸してくんねぇ……？,哟，小伙子们。能不能把那个笔记借给我们一下……？
20,トモイ/托莫伊,なっ！？　誰よアンタ達！\nなんでこのノートが必要なのよ！？,什么！？你们是谁！为什么需要这个笔记本！？
21,刺客２,それがあると困る人がいるんだよなぁ～\nま、誰かは言えねぇんだけど。,因为有了它会让某些人很困扰嘛～不过，具体是谁不能说。
22,ローアイン/罗艾因,いやぜってー工場長じゃん。\n工場長しかいねーじゃん。,不，那肯定是工厂长。除了工厂长还能有谁。
23,？？？,んなっ！？,什么！？
24,エルセム/艾尔塞姆,なんか声した！！\n魔物か工場長か星晶獣のどれよ！？,好像有声音！是魔物、工厂长还是星晶兽！？
25,トモイ/托莫伊,あー多分アレ、\nヤバイ職場を司る星晶獣の声だわ。,啊，大概是掌控糟糕职场的星晶兽的声音。
26,ローアイン/罗艾因,星晶獣が出たってコトは終盤だべ？\nつまりやっぱ、\nこのノートがヒロインってワケよ。,星晶兽出现的话就是最后阶段了吧？也就是说，这个笔记就是女主角。
27,ローアイン/罗艾因,はいダッシュー！\nヒロインと逃避行開始ー！,好，冲刺！开始和女主角的逃亡之旅！
28,ふたり/两人,応！,嗯！
32,刺客１,待てコラァァ！！,站住！
33,刺客２,逃がさねぇぞ！！,别想逃！！
39,ローアイン/罗艾因,はいはい来ましたよー！\nやっぱヒロインは狙われちゃうわ！,好好来了来了！果然女主角就是会被盯上！
40,エルセム/艾尔塞姆,とりまヒロインが労組に入れば\nハッピーエンドっしょ？\nパスしながらいくべ！,总之女主角进了工会就能大团圆结局吧？边传递边走吧！
41,トモイ/托莫伊,んじゃ、最初のパスは……\n<span class='scene-font-4'>エルっち！！</span>,那么，第一个传递的是……艾尔！！
45,エルセム/艾尔塞姆,おう！,好！
46,,走りながら、トモイがノートの束を\nエルセムに投げる。エルセムはそれを\n危なげなくキャッチした。,托莫伊一边跑一边把一叠笔记本扔给艾尔塞姆。艾尔塞姆稳稳地接住了它。
47,刺客１,へっ！\nそんなん無駄だぜ！\n捕まえてボコればいいだけだ！,哼！那样没用的！抓住然后揍一顿就行了！
53,,工場長の刺客がぐんとスピードを上げ、\nエルセムに肉薄する。\nその時だった。,工厂长的刺客突然加速，逼近艾尔塞姆。就在那时。
55,エルセム/艾尔塞姆,あぎゃっ？！！,啊呀？！！
56,,追っ手に気を取られたのか、\nエルセムはノートを抱えたまま\n躓いて転んでしまった。,或许是被追兵分了心，艾尔塞姆抱着笔记本绊倒了。
57,ふたり/两人,エルっちィィィィ！！！！,艾尔塞姆！！！！
58,エルセム/艾尔塞姆,クソっ！\nヒロイン、ケガしてねえか！？,该死！女主角，你没受伤吧！？
61,エルセム/艾尔塞姆,あっ！？,啊！？
62,,起き上がろうとしたエルセムの手から、\n非情にもノートが奪われる。\nしかし……,正当艾尔塞姆想要站起来时，笔记本无情地从他手中被夺走。然而……
65,リサリサ,甘いよ、エルっち！,太天真了，艾尔！
66,３人,リサリサ！？,利萨利萨！？
67,リサリサ,驚いてないで走る！！,别惊讶，快跑！
70,刺客２,なんだあの女！？\nクソ速ぇ！！,那个女人是谁！？太快了！！
76,,ノートを手にしたアリサは、\nローアイン達の先頭を\nトップスピードで走っていた。,拿到笔记本的阿莉萨以最快的速度跑在罗艾因等人的前面。
