id,name,text,trans
0-chapter_name,,第2話 六竜の試練再び,第2话 六龙的试炼再次来临
0-synopsis,,次に一行は、ワムデュスとガレヲンの試練に挑む。試練の内容は、泥場での宝探しだった。遊びのような内容に安心するリムルだったが、リムルの仲間達はダミーのリムル達を模したグッズに気を取られ脱落していく。焦ったリムルは姬塔と力を合わせ、本物を探し当てる。宝の中身はワムデュスが好きなボードゲームの詰め合わせであり、リムルとワムデュスは試練が終わったら遊ぼうと約束するのだった。,接下来，一行人挑战瓦姆杜斯和伽莱翁的试炼。试炼的内容是在泥地中寻找宝物。虽然内容看似像是游戏让利姆露感到安心，但利姆露的伙伴们却被模仿利姆露的假货吸引而纷纷落败。焦急的利姆露与姬塔联手，找到真正的宝物。宝物的内容是瓦姆杜斯喜欢的桌游组合，利姆露和瓦姆杜斯约定试炼结束后一起玩。
1,,一行はイーウィヤの試練を突破し、\nガレヲンが作り出した浮島へと\n帰還する。,一行突破了伊维亚的试炼，回到了伽莱翁制造的浮岛上。
2,,町の人達にもみくちゃにされた\nリムルはスライムの形態のまま、\nシオンに抱かれていた。,被镇上的人群挤来挤去的利姆露依旧保持着史莱姆的形态，被紫苑抱在怀里。
3,リムル,つ、疲れた……\n大丈夫かな、形変わってない？,好、好累……没问题吧，我的形态没有变吧？
4,シオン/紫苑,はいっ！　いつもと同じで\n可憐でぷるぷるなお姿ですよ！,是的！和往常一样，可爱又圆滚滚的样子哦！
5,ランガ,このランガ、主の勇姿……！\nしかと目に焼き付けました！！\n素晴らしい愛嬌の振り方でした！,我，兰加，已经牢牢记住了主人的英姿！！展现了极其可爱的魅力！
6,リムル,おう、ありがとう……\n大勢にもみくちゃにされると\n結構疲れるもんなんだな……,哦，谢谢……被一大群人挤来挤去还真是挺累的……
7,ワムデュス/瓦姆杜斯,もちょっと休む？\n無理はよくない。,要不要多休息一下？太勉强可不好。
8,リムル,いや、大丈夫だよ。\n精神的な疲れはそれなりだけど\n肉体的な疲れは全くないから。,不，没关系。精神上有些疲惫但身体上完全没有问题。
13,リムル,次の試練、すぐやろう。\nふたりを早く解放して欲しいしさ。,赶快进行下一个试炼吧。我希望早点解放他们两个。
14,ワムデュス/瓦姆杜斯,むむ、ヒト型に戻っちゃったの\nちょっとザンネン……,嗯嗯，回到人形态了有点遗憾……
15,ビィ/碧,次の試練は\nワムデュスがするのか？,下一个试炼是瓦姆杜斯来做吗？
16,ワムデュス/瓦姆杜斯,そだよ。\nウォンと協力する。\n皆であーそーぼー,是的。与伽莱翁合作。大家一起来玩吧。
17,ルリア/露莉亚,遊び……？\nもしかしてまた\nボードゲームでしょうか？,游戏……？难道又是桌游吗？
18,ワムデュス/瓦姆杜斯,それもいいけど。\n今回は大がかり。\nリム達も楽しいと思う。,那也不错。不过这次是大规模的。我觉得利姆他们也会觉得很有趣。
19,リムル,俺達も……？\nいったい何を──……,我们也……？到底是什么──……
20,ガレヲン/伽莱翁,開始。\n<span class='scene-font-kokoro'>（それでは始めましょう。</span>\n<span class='scene-font-kokoro'>皆、念のため動かないように）</span>,开始。（那么就开始吧。大家，为了安全请不要动）
21,ガレヲン/伽莱翁,憂慮。\n<span class='scene-font-kokoro'>（転べば抜け出せなく</span>\n<span class='scene-font-kokoro'>なってしまうかもしれませんから）</span>,忧虑。（如果跌倒可能就无法脱身了）
23,,ガレヲンが魔力を籠めると、\n島が激しく揺れ動き始める。,伽莱翁注入魔力后，岛开始剧烈晃动。
29,,そして見る見るうちに\n地面が沼地へと変わっていった。,接着眼看着地面变成了沼泽地。
30,ディアブロ,ふむ。精霊魔法とは\n似て非なる力でございますね。,嗯。这是与精灵魔法相似却不同的力量啊。
31,リムル,ああ……つくづく、\n俺達の常識は通用しないようだ。,啊……真是的，我们的常识似乎不太管用。
32,リムル,それで？\nこの巨大な泥場で\nどんな試練をするつもりなんだ？,那么？你打算在这个巨大的泥地上进行什么样的试炼？
33,リムル,あそぼーなんて言ってたし、\nまさか泥遊びをする\nつもりじゃないよな？,说要玩游戏，难道不是打算玩泥巴吧？
34,ふたり/两人,えっ……,诶……
35,リムル,シオン、ラミリス……なんで\nスコップを持ってるんだ……\nどこから持ってきた……,紫苑，拉米莉丝……为什么你们拿着铲子……从哪里弄来的……
36,シオン/紫苑,ええと……\nワムデュス殿から\n渡されたので……,那个……是瓦姆杜斯大人给的……
37,ワムデュス/瓦姆杜斯,泥遊び、キライ？,讨厌玩泥巴吗？
38,リムル,……ワムデュスさん？,……瓦姆杜斯小姐？
39,ワムデュス/瓦姆杜斯,泥遊びキライならちょっと大変かも。,如果讨厌玩泥巴的话可能会有点困难哦。
