id,name,text,trans
0-synopsis,,姬塔とリムル達は、“<ruby>名持ち<rt>ネームド</rt></ruby>”の魔物達に対処する中でホワイトラビットと出会う。リムルが話してみると、ホワイトラビットは自身の弱さを気にしており、“<ruby>名持ち<rt>ネームド</rt></ruby>”の魔物達にすっかり怯えきっていた。ラミリスの提案により、一行はホワイトラビットに名付けてやることにするのだった。,姬塔和利姆露一行在应对「有名者」的魔物时遇到了白兔。利姆露与之交谈后，发现白兔因自身的弱小而感到不安，完全被「有名者」的魔物吓坏了。拉米莉丝的建议下，一行决定给白兔起个名字。
2,,突如として大量に現れた\n“<ruby>名持ち<rt>ネームド</rt></ruby>”の魔物達。,突然出现的大量「有名者」魔物。
13,,姬塔とリムルは\n合体技の『<ruby>神之怒<rt>メギド</rt></ruby>』を使用し、\n敵対的な魔物を一掃する。,姬塔和利姆露使用合体技「神之怒」，将敌对的魔物一扫而空。
20,,戦いの後、怪我人の対処や\n隠れている魔物がいないかどうか、\n一行は調査を続けていた。,战斗结束后，一行继续调查处理伤员并确认是否有隐藏的魔物。
21,智慧之王（ラファエル）,告。\n敵対している魔物は\n現在のところ確認できません。,报告。目前未发现敌对的魔物。
22,リムル,（サンキュー\n<ruby>智慧之王<rt>ラファエル</rt></ruby>さん）,（谢谢你，智慧之王）
23,リムル,やっぱ魔物はもう駆逐したみたいだな。,看来魔物已经被消灭了。
24,ラミリス,なに言ってるのよさ！！\nあの草むらに\nまだなにかいるのよさ！,你在说什么呀！！那片草丛里还有东西！
25,ビィ/碧,えっ、そうなのか？\n全然気づかなかったな……,诶，真的吗？完全没注意到……
26,,一行が警戒しつつ\n草むらに近づくと──,一行警戒地靠近草丛──
28,ホワイトラビット,クルルル……,库噜噜……
29,,怯えたように震える\n小さな兎が姿を現した。,一只小兔子颤抖着现身，显得非常害怕。
30,ルリア/露莉亚,わぁ！　可愛い～……\n兎の魔物さんですね。,哇！好可爱～……是一只兔子魔物呢。
31,ラミリス,ほだされてないで\nさぁ、さっさと倒すのよさ！,别被迷住了，快点打倒它！
32,リムル,いやいや、\nどう見ても敵対してないって。\n“<ruby>名持ち<rt>ネームド</rt></ruby>”には見えないし。,不不，看起来完全没有敌意。也不像是「有名者」。
33,智慧之王（ラファエル）,是。\nこの世界の通常種であると\n思われます。,是。看起来是这个世界的普通种类。
34,ルリア/露莉亚,えーっと……\nこの子どこかで……\nちょっと待ってくださいね！,嗯……这孩子在哪里见过……请稍等一下！
35,,ルリアは可愛らしいノートを取り出し、\nパラパラとページをめくる。,露莉亚拿出一本可爱的笔记本，快速翻看着。
36,ルリア/露莉亚,あっ、やっぱり書いてました！\nこの子はとっても珍しい子で、\nホワイトラビットって名前です！,啊，果然写着呢！这孩子是非常稀有的，名叫白兔！
37,ルリア/露莉亚,臆病な子なので手を出さなければ\n攻撃してくることもないはずです。,因为是胆小的孩子，所以不主动攻击的话应该不会被攻击。
38,ホワイトラビット,ガジリ。,嘎吱。
39,リムル,いってぇ～～～！！　いや、\n痛覚無効あるから痛くないけど！！\n全然攻撃してきたけどぉ！？,好痛～～～！！不，不是说痛觉无效所以不痛吗！！完全被攻击了啊！？
40,ルリア/露莉亚,お、おかしいですね……\nどうしたんでしょうか……,这，这奇怪了……怎么回事呢……
41,智慧之王（ラファエル）,告。極度の焦燥、恐怖を検知。\n種族名ホワイトラビットの\n精神状態は危うい状態です。,报告。检测到极度的焦躁和恐惧。种族名白兔的精神状态很危险。
42,リムル,（なんだって？\nうーん、念話通じるかな）,（什么？嗯，心灵感应能通吗）
43,リムル,（おい、どうしたんだ？\n話、聞くぞ？）,（喂，怎么了？我听你说？）
44,ホワイトラビット,（えっ、兎語喋れるの！？\nごめん、殺されるかと思って……）,（诶，你会说兔语！？抱歉，我以为会被杀掉……）
45,リムル,（やっぱ怯えさせてたか。\nすまんすまん、敵意はないよ）,（果然吓到你了。抱歉抱歉，没有敌意的）
46,ホワイトラビット,（うう……よかった……\n急に変な魔物がいっぱい出てきて\n住処追いやられちゃって……）,（呜呜……太好了……突然出现一堆奇怪的魔物，把我的住处赶走了……）
