id,name,text,trans
0-chapter_name,,第5話 シンジツ×ト×ゲンジツ,第5话 真实×与×现实
0-synopsis,,もうひとつの島に降り立った姬塔達は、島の奥に佇む古びた城へと向かう。そこで数多くの骸と、潜んでいたジャコモを発見。再び戦いを仕掛けてこようとするジャコモに対し、ゴンは「お前の欲しい物は借り物の姿じゃなく、お前自身の言葉で言ってみろ」と本性を見せるよう告げる。ゴンの言葉でその正体を現したジャコモ──星晶獣アンドサは、一行へと襲いかかるのだった。,登陆另一座岛的姬塔一行人，向着岛屿深处一座古老的城堡前进。在那里他们发现了大量的骸骨，以及潜伏的贾科莫。面对再次挑起战斗的贾科莫，小杰让他展现出本性，说道「你想要的东西，不要用借来的外表示人，用你自己的话语说出来看看」。因小杰的话语而现出真身的贾科莫——星晶兽安杜萨，向一行人发起了攻击。
1,ビィ/碧,ここが例の島か……\n見たところは普通の島と\n変わんねえけど……,这里就是那座岛吗……\n看起来和普通的岛\n没什么两样啊……
2,サラーサ/萨拉萨,んー……,唔……
3,,サラーサは地面に生えている植物を\nしばらく見つめていたが……,萨拉萨盯着地上生长的植物\n看了一会儿……
4,サラーサ/萨拉萨,はむっ……\nむぐむぐ……,哈姆……\n姆咕姆咕……
5,ゴン/小杰,<span class='scene-font-4'>うわあ！？</span>\nサラーサ、ダメだよ！\nペッてしないと！,<span class='scene-font-4'>哇啊！？</span>\n萨拉萨，不行啊！\n要吐出来！
6,サラーサ/萨拉萨,ごくん……\nこれ、あれだ！　ニセモノだ！\nたぶんあっちの木とかもそうだぞ！,咕嘟……\n这个，是那个！是假货！\n那边那些树大概也是！
7,キルア/奇犽,<span class='scene-font-4'>な！？</span>\nなんつー判別の仕方してんだよ！？,<span class='scene-font-4'>什！？</span>\n你这是什么分辨方法啊！？
8,クラピカ/酷拉皮卡,どうやら\n「島が丸ごと贋作である」という\n仮定の方は正しかったようだが……,看来\n「整座岛都是赝品」这个\n假设似乎是正确的……
9,ゴン/小杰,もうひとつの方、\n「攫われた人がここにいるかも」って\n予想は、外れたみたいだね……,另一个，\n「被掳走的人可能在这里」的\n预测，好像落空了呢……
10,,贋作の島にはそれほどの広さはなく、\n見渡せる範囲に行方不明者が収まる\nような施設は見当たらなかった。,赝品之岛并没有那么广阔，\n放眼望去也找不到能容纳\n失踪者的设施。
11,ヒソカ/西索,けれど、見通しがいいおかげで\n目指せばいい場所はハッキリしてる\nみたいだね♠,不过，多亏了视野开阔，\n该去的目标地点倒是很清楚\n的样子呢♠
12,,ヒソカが指し示した先、\n一行の視線は島の奥に佇む、\n古びた城へと注がれていた。,在西索所指的方向，\n一行人的视线都集中在岛屿深处\n那座古老的城堡上。
13,荒くれ者１/小混混１,お、親分……\nほんとに親分たちだけで\n行くんですか……？,老、老大……\n真的只有老大你们\n去吗……？
14,クラピカ/酷拉皮卡,ああ、君たちは私たちが失踪した時に、\n情報を他の者たちに伝える責務がある。\n分かっているだろう？,啊，当我们失踪时，你们有责任\n将情报传达给其他人。\n明白吗？
15,荒くれ者２/小混混２,け、けど……,可、可是……
16,クラピカ/酷拉皮卡,君たちがアンドサの事を語り伝えて\nきてくれたおかげで、私たちは\n手がかりを得ることができたのだ。,多亏了你们将关于安杜萨的事情\n流传下来，我们才能\n获得线索。
17,クラピカ/酷拉皮卡,君たちは君たちがやってきたことに\n誇りを持っていい。だから、こちらは\n私たちに任せておいてくれないか？,你们可以为自己所做之事\n感到自豪。所以，这边的事情\n能交给我们吗？
18,荒くれ者１/小混混１,お、親分……！！\nこれから敵の本拠地に赴こうって\n時に、俺たちの心配まで……！！,老、老大……！！\n明明正要前往敌人的大本营，\n竟然还为我们担心……！！
19,荒くれ者２/小混混２,うううっ！！\n俺たち、あんたが親分で本当に\n良かったです！,呜呜呜！！\n我们，能有你当老大真的\n太好了！
20,荒くれ者たち,親分の事、忘れませんから～～！！,我们是不会忘记老大的～～！！
26,キルア/奇犽,まるで今生の別れみたいだったな。\nしかもなんかこっちが死ぬ\n前提みたいな。,简直就像是生离死别一样。\n而且总觉得好像是以\n我们这边会死为前提。
27,クラピカ/酷拉皮卡,なんとも縁起の悪い……\n悪気がない分、質も悪いな。,真是太不吉利了……\n正因为没有恶意，才更恶劣啊。
28,ビィ/碧,しかしこの城……\n本当に複製で作られた物なのか？\nそれにしては、なんか……,不过这座城堡……\n真的是复制出来的东西吗？\n可这样的话，总觉得……
29,キルア/奇犽,ボロボロだな。\nわざわざ複製して作ってるのに、\nなんでこんな有様なんだ？,破破烂烂的啊。\n明明是特意复制出来的，\n为什么会是这副样子？
30,ゴン/小杰,もう少し奥の方を調べてみれば\n何か手がかりがあるかも……,再往里面调查一下的话\n说不定会有什么线索……
31,,ゴンは古城の奥、少し開けた\n中庭へと歩を進めていき、\nそして先んじて角を曲がった。,小杰走向古城深处，来到一片\n稍显开阔的庭院，\n然后率先拐过了弯。
35,ゴン/小杰,…………！！,…………！！
36,キルア/奇犽,ゴン？\n何か見つけたのかよ？,小杰？\n你发现什么了吗？
37,ゴン/小杰,うん……\n遺体だよ。それもたくさん。,嗯……\n是遗体。而且有很多。
38,一同/众人,…………！！,…………！！
39,ビィ/碧,お、おい……\nまさかそれって行方不明の……,喂、喂……\n难道说那是失踪的……
40,ゴン/小杰,ううん。あるのはかなり古い骨だけだ。\nたぶん、ずっと前にアンドサの犠牲に\nなった人たちだと思う。,不。只有非常古老的骸骨。\n我想，大概是很久以前\n成为安杜萨牺牲品的人们。
41,,ゴンが示した先、中庭の隅の\n一角には、朽ち果てた躯たちが\n無造作に積み上げられていた。,在小杰所指的方向，庭院的\n一个角落里，腐朽的躯体\n被随意地堆积着。
42,,躯からは何の生気も感じられず、\nそれが贋作であるのか、本物なのかの\n判別すらつかなかったが──,从躯体上感觉不到任何生气，\n甚至无法分辨那是赝品，\n还是真品──
43,,その異様な存在感は、\nかつて確かに“この光景が在った”と\n確信させるだけの力を持っていた。,那异常的存在感，\n拥有着足以让人确信\n「这幅光景」曾经确实存在过的力量。
44,ヒソカ/西索,数からすると……この古城の\n規模と大体同じくらいかな？,从数量上来看……和这座古城的\n规模差不多吧？
45,クラピカ/酷拉皮卡,ああ、そうだな……\n前回の起動はおそらく、\nこの城だけで食い止められたのだろう。,啊，是啊……\n上次启动，恐怕\n只靠这座城就阻止了吧。
46,ゴン/小杰,……なんだよ、それ。,……什么啊，那是。
47,キルア/奇犽,けど、やっぱりジャコモは正気じゃ\nねえな。これを知った上で\nアンドサに関わろうだなんて。,不过，贾科莫果然是疯了。\n明明知道这些，\n还想和安杜萨扯上关系。
48,ゴン/小杰,聞いてみれば分かるよ。\nねぇ、いるんでしょ。,问问看就知道了。\n喂，你在的吧。
53,ジャコモ,気づいていたのか。,已经发现了吗。
54,クラピカ/酷拉皮卡,ジャコモ！？\nいつの間に潜んでいた！？,贾科莫！？\n什么时候潜伏在这里的！？
55,ジャコモ,盗人猛々しいとはこのことだな。\n勝手に人の城に立ち入っておいて、\n人を侵入者呼ばわりとは。,真是贼喊捉贼啊。\n擅自闯入别人的城堡，\n还把人叫做入侵者。
56,ジャコモ,ここは私の城だ。\n私の城の価値を解さない\n人間にここに立ち入る資格はない。,这里是我的城堡。\n不理解我城堡价值的\n人没有资格踏入这里。
65,クラピカ/酷拉皮卡,星晶獣の贋作……！\n来るぞ……！,星晶兽的赝品……！\n要来了……！
66,,現れた空間の歪みに、\n一行が戦闘の準備を整えるが──,面对出现的空间扭曲，\n一行人做好了战斗准备，然而──
67,ゴン/小杰,待て！！,等等！！
68,,戦闘に大きく傾いていた場の空気を\nゴンの声が引き戻していた。,现场那剑拔弩张的气氛\n被小杰的声音拉了回来。
69,ゴン/小杰,オレたちが戦うのはお前じゃない。\n本当の姿の……アンドサだ。,我们要战斗的不是你。\n而是现出真身的……安杜萨。
70,ジャコモ,何……？,什么……？
