id,name,text,trans
0-chapter_name,,オープニング,开场
0-synopsis,,ある春の日、親が決めた結婚をさせられそうになったラムララとレリコ、ふたりの花嫁が式場を脱走する「ダブル花嫁逃走事件」が起きる。それからしばらくの時が経ったある日、<span class='scene-font-place'>ポート・ブリーズ</span>の港に停泊中のグランサイファーでは、コルルがマナマルにアドバイスをもらい、自分なりのオシャレを見つけようと意気込むのだった。,在某个春日，拉姆拉拉和蕾莉可这两位新娘差点被迫接受父母决定的婚姻，于是她们从婚礼现场逃走，引发了「双新娘逃跑事件」。时间流逝，某日，停靠在<span class='scene-font-place'>微风港</span>的格兰赛法，可露露得到了玛娜玛尔的建议，决心要寻找属于自己的时尚。
1,,花が咲き、小鳥が歌う、\n縁起のいい春のある日。,在花开鸟鸣、\n吉祥的某个春日。
7,,とある結婚式場では、\n一組の夫婦が新たな門出を\n迎えようとしていた。,在某个婚礼现场，\n一对新人正要\n踏入婚姻的新篇章。
8,司祭,では、誓いのキスを。,那么，请允诺之吻吧。
9,新郎,……いいんですね？,……可以吗？
10,新婦,…………,…………
13,,大勢の参列者が見守る中、\n新婦が軽く目を閉じたその時──,在众多来宾的注视下，\n新娘轻轻闭上眼睛的时候——
15,？？？,待ちなさいですわぁあああ！！！,给我等一下啊啊啊！！！
16,新婦,えっ……？,诶……？
17,？？？,ふぅ、危ない……\nおキスをしていないなら、\nまだ結婚セーフですわよね？,呼，好险……\n如果还没接吻的话，\n婚礼还算安全吧？
18,新婦,結婚セーフ……？,婚礼安全……？
19,新郎,逆に結婚アウトとは……？,反过来婚礼出局又是……？
20,,困惑する新郎に向かって、\n侵入者は指をさす。,闯入者朝着困惑的新郎\n指了指。
21,？？？,そこのイケてる男性の方……\n今からでも、私はどうでしょう！,那边的帅哥……\n从现在开始，选我如何！
22,新郎,ぼ、僕ですか！？,我、我吗！？
23,新婦,……知り合いですか？,……是认识的人吗？
24,新郎,いえ、まったく……,不，完全不认识……
25,？？？,まだ知らないなんてラッキー！\nこのラムちゃんと一緒なら、\n毎日が楽しいですわよ？,还不认识真是太幸运了！\n和拉姆酱在一起的话，\n每天都会很开心哦？
27,新婦の父親,<span class='scene-font-4'>なんなんだ、君は！</span>\nというかなぜ花嫁姿で──,<span class='scene-font-4'>你是什么人！</span>\n而且为什么穿着婚纱——
31,正装の男性,ちょっと待ってぇえええ！！,等一下啊啊啊！！
32,新婦の父親,今度は誰だ！？,这次又是谁！？
33,,式場内が混乱に陥る中、\n汗だくの男性が飛び込んでくる。,就在婚礼现场陷入混乱之时，\n一位满身大汗的男性冲了进来。
34,正装の男性,ぜぇ……はぁ……\nそこの、ラムララちゃんの新郎で……,呼……哈……\n拉姆拉拉酱的新郎……
35,正装の男性,結婚式の最中に\nいきなり飛び出すなんて……！\nパパもママもカンカンだぞ！,在结婚典礼进行的时候\n突然跑出去什么的……！\n爸爸妈妈都很生气哦！
36,ラムララ,だって、貴方とは\n今日が初めましてですし……,可是，我和你\n今天才第一次见面……
37,ラムララ,隣の式場で、素敵なオトコの人を\n見つけてしまいましたし！,而且在隔壁的婚礼现场，\n我发现了一位很棒的男士！
38,新郎,ゴメンナサイ。,非常抱歉。
39,ラムララ,<span class='scene-font-4'>がーん！？</span>\n秒でフラれましたわ～！？,<span class='scene-font-4'>咣当！？</span>\n瞬间就被甩了～！？
40,新婦,ふふっ……,呵呵……
43,新郎,レリコさんの笑顔……\n初めて見ました。,蕾莉可小姐的笑容……\n我还是第一次看到。
44,レリコ,……すみません。\nなんだか愉快な方だなと……\nなるとのように華やかで。,……对不起。\n总觉得是个有趣的人呢……\n像成鸟一样绚丽。
45,新郎,なると……？,成鸟……？
46,,新郎が目を見張る中、\nラムララはひとつ息を吐く。,在新郎瞪大眼睛的时候，\n拉姆拉拉吐出一口气。
47,ラムララ,フラれたら仕方ありませんわ。\nでもせっかく飛び込みましたし……,被甩了也没办法。\n不过既然都跑来了……
50,レリコの父親,おい、もういいだろう！\n隣の式場に帰りなさい！,喂，够了吧！\n回到隔壁的婚礼现场去！
51,,ラムララは無視して歩くと、\n祭壇の前に立つレリコに、\n真っ直ぐ手を差し出した。,拉姆拉拉无视他径直走到\n站在祭坛前的蕾莉可面前，\n直截了当地伸出了手。
52,ラムララ,抜け出しましょう、\nここから一緒に。,我们一起逃出去吧，\n从这里。
53,レリコ,わ、私と……？,和、和我……？
54,ラムララ,余計なお世話ですけど……\nお姉さん、その人のこと\n好きじゃないですわよね？,虽然我多管闲事……\n姐姐，你不喜欢\n那个人吧？
55,レリコ,…………ッ！,…………！
56,ラムララ,私も、イヤ～な結婚、\nさせられちゃいそうですから。,我也快要被迫\n接受讨厌的婚姻了。
57,ラムララ,どうせならふたりで！\n新婦がダブルで脱走なんて、\nめちゃらら面白いでしょう？,那不如我们两个一起！\n两个新娘双双逃跑，\n很有趣不是吗？
58,レリコ,めちゃらら……？,很有趣……？
59,レリコの父親,何をしている、レリコ！\n私の苦労を無駄にする気か！？,你在做什么，蕾莉可！\n想要白费我的努力吗！？
60,レリコ,…………,…………
61,,レリコは激怒する父親と、\n差し出されたラムララの手を\n順に見比べる。,蕾莉可先是看了看暴跳如雷的父亲，\n然后看向拉姆拉拉伸出的手。
65,ラムララの父親,おい、ラムララ！？\nここで一体何を──,喂，拉姆拉拉！？\n你在这里到底在干什么——
66,ラムララ,やばっ……！,糟了……！
68,ラムララ,ゴーゴーゴーですわ！,快跑快跑快跑！
69,レリコ,わっ……！？,哇……！？
70,,ラムララはレリコの手を握ると、\n全力で駆け出した。,拉姆拉拉握住蕾莉可的手，\n拼命地跑了起来。
92,ラムララの父親,ぶべっ！？,噗！？
98,レリコ,……いいの？\n貴方のお父さん、\n突き飛ばしちゃったけど。,……没关系吗？\n你把父亲\n撞飞了哦。
99,ラムララ,ついでに貴方のお父様も、\n突き飛ばせばよかったですわ！,顺便把你父亲\n也撞飞就好了！
100,レリコ,ふふっ……\n面白い子だね、本当に。,呵呵……\n你真是个有趣的孩子。
101,ラムララ,もっと遠くに行きましょう！\n素敵なオトコの子を探して！,我们去更远的地方吧！\n去找帅气的男孩子！
102,レリコ,あ、私そっちはいいかな。,啊，我就算了。
107,ラムララ,ラムちゃんは……\n<span class='scene-font-4'>自由ですわぁああああああ！！！</span>,拉姆酱……\n<span class='scene-font-4'>自由了啊啊啊啊啊！！！</span>
113,ラムララの父親,なんてことだ……！\n娘の結婚式がめちゃくちゃだぁ！,怎么会这样……！\n女儿的婚礼乱七八糟的！
114,レリコの父親,奇遇ですね……\n私の娘の結婚式もです！,真巧啊……\n我女儿的婚礼也是！
115,ラムララの父親,娘達を取り返さねばなりませんな。\n我がラブメイレー家の沽券に関わる！,必须把女儿们带回来。\n这关系到我拉布梅雷家的声誉！
116,レリコの父親,力を合わせましょう。\n我がレイヤ家の悲願のために！,让我们携手合作吧。\n为了我蕾雅家的夙愿！
117,シェロカルテ/榭洛科特,…………,…………
118,シェロカルテ/榭洛科特,こ、これは～……\nとんでもない結婚式に\n居合わせてしまったみたいですね……,这、这个～……\n好像撞见了一场\n不得了的婚礼啊……
124,,ブライダル業界で語り継がれる、\n「ダブル花嫁逃走事件」から、\nしばらくの時が経過した現在──,自在婚庆行业流传的\n「双新娘逃跑事件」过去了一段时间，\n来到了现在——
130,,ポート・ブリーズの港に停泊中の、\nグランサイファーの艇内にて。,在停靠于微风港的格兰赛法号内。
135,マナマル/玛娜玛尔,ただいまなので～,我回来了～
137,コルル/可露露,おかえりでごんす～！,欢迎回来～！
138,マナマル/玛娜玛尔,ぎゃぁあああああああ！！？,呀啊啊啊啊啊！！？
139,,自室に帰ったマナマルを\n待ち受けていたのは、\n真っ白でニコニコのコルルだった。,回到自己房间的玛娜玛尔\n迎接她的是\n满脸惨白却笑眯眯的可露露。
145,,マナマル、17歳──\n生き別れた姉を探して旅する、\nカワイイにこだわりを持つ少女。,玛娜玛尔，17岁——\n为了寻找生离死别的姐姐而旅行，\n对可爱有着执着的少女。
146,,オヴクエ島での一件で状況は進展し、\n後にその「姉」と邂逅を果たすが、\n今はまだ辿り着いていない。,在奥布库埃岛的一件事后状况有了进展，\n后来虽然和那位「姐姐」邂逅，\n但现在还没走到那一步。
147,,そしてコルル、11歳──\n食  いしん坊で素直な少女は、\n最近オシャレに興味津々である。,而可露露，11岁——\n这个爱吃又率直的少女，\n最近对时尚非常感兴趣。
153,マナマル/玛娜玛尔,もしかして、コルル……\nマナと同じ化粧品を使ったので！？,难道说，可露露……\n用了和玛娜一样的化妆品！？
154,コルル/可露露,はいっ！,是的！
155,マナマル/玛娜玛尔,もう……！\nマナとコルルじゃ肌の色が違うので。\nまったく同じじゃダメなので。,真是的……！\n玛娜和可露露的肤色不一样。\n完全相同是不行的。
156,マナマル/玛娜玛尔,マナの使ってるファンデは\nカラバリが結構多いから、\nコルルに合うのがあるはず。,玛娜用的粉底\n色号还蛮多的，\n一定有适合可露露的。
157,マナマル/玛娜玛尔,あと塗りムラもすごいので。\n小鼻とか細かいとこは特に、\nパフを使ってしっかりね。,而且涂抹不均匀也很明显。\n尤其是鼻翼等细节部位，\n要用粉扑仔细涂抹哦。
158,コルル/可露露,なるほど……！\nメイクは奥が深いでごんすなぁ。,原来如此……！\n化妆真是博大精深啊。
159,,コルルは真っ白な顔のまま、\n楽しそうに手帳にメモをとる。,可露露一边涂得惨白的脸，\n一边兴致勃勃地在手账上做笔记。
160,,マナマルと出会ってから、\nその「オシャレ手帳」には、\n着々と書き込みが増えていた。,自从遇到玛娜玛尔后，\n那本「时尚手账」上的\n笔记也渐渐增多。
161,マナマル/玛娜玛尔,いい、コルル？\nオシャレって人の数だけあるので。,明白吗，可露露？\n时尚是因人而异的。
166,マナマル/玛娜玛尔,肌のトーンも骨格も耳型も、\n人によってバラバラだから。,肤色、骨骼、耳朵形状，\n每个人都不一样。
167,マナマル/玛娜玛尔,参考にするのは大事。\nでもマネだけじゃ完成しない……\n自分なりのオシャレを見つけるので。,参考别人是很重要。\n但光模仿是不够的……\n要找到属于自己的时尚。
168,コルル/可露露,ふむふむ……\n自分なりのオシャレ……,嗯嗯……\n属于自己的时尚……
169,コルル/可露露,わかり申した！\nこの街に滞在する間に、\n見つけてみせるでごんす！,我明白了！\n在这个城市逗留期间，\n我一定会找到的！
171,コルル/可露露,……でも、その前に\nお夕飯を見つけにいかねば……,……但是，在那之前\n得先找晚饭吃……
172,マナマル/玛娜玛尔,ふふ……\n行こっか、食堂。,呵呵……\n我们去餐厅吧。
173,コルル/可露露,はいっ！,好的！
176,マナマル/玛娜玛尔,あ、コルル！\n真っ白なままなので～！,啊，可露露！\n你还涂得惨白呢～！
177,,ぱたぱたと駆け出すコルルを、\n慌てて追いかけるマナマル。,玛娜玛尔慌忙追赶\n噔噔噔跑出去的可露露。
178,,そんなふたりにもうすぐ降りかかる、\nかしましい騒動の数々──,这两个人很快就要\n遭遇一连串热闹的骚动——
184,マナマル/玛娜玛尔,全裸ラーメン！？,全裸拉面！？
185,,「カワイイ」とかけ離れた\n謎の単語を口にするマナマル。,玛娜玛尔说出了\n与「可爱」相去甚远的神秘词语。
188,コルル/可露露,男の子というと……\n女の子ではないと？,说到男孩子……\n就是不是女孩子吗？
189,,あまりのカルチャーショックに、\n哲学的な反応をするコルル。,对于巨大的文化冲击，\n可露露做出了哲学般的反应。
192,マキラ/玛琪拉,パスタとラーメンって、\nどう違うんでしょう？,意大利面和拉面，\n有什么区别呢？
193,７人,えっ……？,诶……？
194,,さらに哲学的な問題に直面して、\n頭を抱える一同。,面对更加哲学的问题，\n众人纷纷抱头苦思。
200,,そんな忘れられない出来事が\n待ち受けていることを、\n今はまだ誰も知らない──,没人知道这样令人难忘的事件\n正在前方等待着他们——
info,,,scene_evt240428_cp0_q1_s10
译者,,,Claude 3 Opus
