id,name,text,trans
0-chapter_name,,第3話 気ヅケば夢中,第3話 恍然入梦
0-synopsis,,皆が寝静まった深夜、ヘカテーはヴァルナとネプチューンの夢に入り込むと、３人で秘密裏に情報交換を進める。ヴァルナとネプチューンは、マグロウの群れの仲間が捕まったアルバコア捕獲事件には、不審な点が多いと語る。ヘカテーは、今回の騒動との関連を疑いつつ、ヴァルナとネプチューンの調査に全面協力するのだった。,在万籁俱寂的深夜，赫卡忒潜入瓦尔纳和涅普顿的梦境，三人秘密交换情报。瓦尔纳和涅普顿表示，马格罗鱼群的同伴被捕获的长鳍金枪鱼捕获事件存在诸多可疑之处。赫卡忒怀疑此事与当前的骚动有关，决定全力协助瓦尔纳和涅普顿的调查。
1,,その夜──\n眠っていたはずのヴァルナは、\n気づけば海の中にいた。,那天晚上──\n本应睡着的瓦尔纳，\n回过神来时发现自己身在海中。
2,ヴァルナ,う～ん♪\n今日も海は蒼くてしょっぱい！\nとっても平和なのだ！,嗯～♪\n今天的海也是蓝蓝的，咸咸的！\n非常和平呢！
9,リヴァイアサン/利维坦,ヴァルナちゃんが\nよう頑張ってるお陰ヴァイ。\nいつもありがとヴァイ。,多亏了瓦尔纳酱\n一直在努力鲸。\n谢谢你鲸。
10,ヴァルナ,えへへ……♪\nリヴァイアサン様に\n褒められちゃったのだ！,欸嘿嘿……♪\n被利维坦大人\n表扬了呢！
11,ヴァルナ,あれ……？\nでもリヴァイアサン様って\nこんな喋り方だったっけ……？,咦……？\n但是利维坦大人\n说话方式是这样的吗……？
14,ネプチューン,ヴァルちゃんお疲れ♪\nはい、愛してるのチュ～♪,瓦尔酱辛苦了♪\n来，我爱你哦啾～♪
15,ヴァルナ,ヴァヴァ！？\nちゅ、ちゅー！？,哇哇！？\n啾，啾～！？
16,ヴァルナ,タコタコタコ！\nこ、こういうのは、ふたりきりの\nラブ壺の中でひっそり──,章鱼章鱼章鱼！\n这，这种事情，应该在二人独处的\n爱情壶里悄悄地──
17,ネプチューン？,はぁ～……\nアホアホすぎて萎えちゃった。,哈～……\n蠢得让人兴致全无了。
18,ヴァルナ,…………へっ？,…………咦？
28,ヴァルナ,ヴァヴァ！？\nなんかえっちな超常存在！？,哇哇！？\n什么色色的超常存在！？
29,,ヘカテーは姿を現すと、\n面倒くさそうに口を開く。,赫卡忒现身后，\n一脸嫌麻烦的样子开口说道。
30,ヘカテー,ここは私の作った夢想の世界。\n本物の貴方は寝ているわ。,这里是我创造的梦境世界。\n真正的你正在睡觉。
31,ヴァルナ,む、夢想って……！\n星晶獣にも力が使えるのだ！？,唔，梦境……！\n星晶兽也能使用这种力量吗！？
32,ヘカテー,……試してみたけれど微妙ね。\n貴方の夢からは精気を感じない……\n星晶獣の設計不足でしょう。,……试了一下感觉不太行呢。\n从你的梦中感觉不到精气……\n大概是星晶兽设计的不足吧。
33,,ヘカテーはため息を吐くが、\n愉快そうに口角を上げる。,赫卡忒叹了口气，\n但嘴角却愉快地上扬。
34,ヘカテー,さっきの姿は貴方の理想よ？\n同僚に欲情しているようだけど、\nまぁ珍しくもないから安心なさい。,刚才的样子是你的理想哦？\n看来你对同事有些欲望，\n不过这也不稀奇，放心吧。
35,ヴァルナ,よ、欲情なんて……！\nそんなのわからないのだ！\n星晶獣は子供とかできないし……,欲，欲望什么的……！\n我才不知道呢！\n星晶兽又不能生孩子……
36,ヘカテー,……そのあたりが、\n精気を感じない原因かしらね。,……大概就是这个原因，\n才感觉不到精气吧。
37,ヘカテー,ヴァルナとネプチューンに、\nちょっと話があるのだけれど……\n面倒だから夢を繋げるわね。,我有些话想对瓦尔纳和涅普顿说……\n麻烦，就把梦境连接起来吧。
46,ネプチューン,こんヴァルちゃ～ん♪,你好瓦尔酱～♪
47,,ヘカテーが杖を振るうと、\nぐわんと夢想の世界が歪み、\nネプチューンが姿を現す。,赫卡忒挥动法杖，\n梦境世界顿时扭曲，\n涅普顿出现了。
48,ヘカテー,聞きたいんだけど……\n「ネルコ」って何者なの？,我想问问……\n「涅尔科」是什么人？
49,ふたり/两人,…………！,…………！
50,ヘカテー,精気もない不変の星晶獣が、\n日々「成長」をする上に、群れに\n属していた形跡もないのでしょう？,没有精气的不变星晶兽，\n不仅每天都在「成长」，\n而且也没有属于某个群体的痕迹吧？
51,ヘカテー,単なるアルバコアなら、\nそんな事は有り得ないわ。,如果只是普通的长鳍金枪鱼，\n这种事是不可能发生的。
52,ネプチューン,そうだね～……\nでもネプにも古代文明で、\n色々と調査チューなの。,是啊～……\n不过涅普也在古代文明中，\n调查了很多东西哦。
53,ヘカテー,そう……謎なのね。,这样啊……真是个谜呢。
54,,ヘカテーが考え込む中、\nヴァルナとネプチューンは\n顔を見合わせる。,赫卡忒陷入沉思时，\n瓦尔纳和涅普顿\n相视而笑。
55,ヴァルナ,……ひとつ、あの場では\n喋れなかったことがあるのだ。\n誰かに聞かれる可能性を考慮して。,……有一件事，在那个场合\n我没有说出来。\n考虑到可能被别人听到。
56,ヘカテー,誰かって、ビーチにはずっと\n私達しかいなかったでしょう？,别人？海滩上一直\n只有我们在吧？
57,ヴァルナ,敵は、妾達より強大な\n<span class='scene-font-spword'>超・超常存在</span>かもしれない……\n対話には細心の注意が必要なのだ。,敌人可能是比我们更强大的\n<span class='scene-font-spword'>超·超常存在</span>……\n对话时需要格外小心。
58,ネプチューン,でも、流石にヘカテーちゃんの\n空間なら大丈夫だよね～,不过，果然在赫卡忒酱的\n空间里应该没问题吧～
59,,ヴァルナとネプチューンは頷き合い、\n再び話し始める。,瓦尔纳和涅普顿相互点头，\n再次开始交谈。
60,ネプチューン,ネプ達が気になってるのは、\nアルバコア捕獲事件なんだ～,涅普我们在意的是，\n长鳍金枪鱼捕获事件～
61,ヘカテー,それって……\nマグロウが生き残った……？,那个是……\n马格罗幸存了……？
62,ヴァルナ,……記録を調査したけど、\nあの日、それらしき艇が\n飛んでいた形跡はなかったのだ。,……我调查了记录，\n那天并没有类似的船只\n飞过的痕迹。
63,ヘカテー,…………！,…………！
64,ネプチューン,アルバコアが捕まるのは、\n目がいい海の子達が見てたのに……\n意味<span class='scene-font-place'>アウギュステ</span>だよね？,长鳍金枪鱼被捕获的时候，\n眼睛很好的海之子们都看到了……\n这很奇怪<span class='scene-font-place'>奥古斯特</span>对吧？
65,ヴァルナ,そもそも、あんなすごい騎空艇、\nどうやって調達したのだ？,话说回来，那么厉害的骑空艇，\n是怎么弄到的呢？
66,ヘカテー,竜宮……ネルコ……\nそしてアルバコア捕獲事件……,龙宫……涅尔科……\n还有长鳍金枪鱼捕获事件……
67,,ヘカテーは真剣な眼差しで、\n決意するように頷く。,赫卡忒用认真的眼神，\n坚定地点了点头。
68,ヘカテー,貴方達の調査……\n私にも手伝わせてもらうわ。,你们的调查……\n让我也来帮忙吧。
69,ヘカテー,早く姬塔を取り戻さないと、\n合体の夏が始まらないもの！,如果不尽快把姬塔找回来，\n合体的夏天就开始不了了！
70,ヴァルナ,動機はよくわからないけど、\n妾達としても助かるのだ！,虽然不太明白你的动机，\n但对我们来说也是帮大忙了！
71,,星晶獣と冥妃は手を取り合い、\n正体不明の事態への対処を決意する。,星晶兽和冥妃携手合作，\n决心应对这个身份不明的事态。
81,,そして夢から覚めると、\nすぐに散り散りになって\n調査に向かうのだった。,从梦中醒来后，\n他们立即分头行动，\n开始了调查。
info,,,scene_evt240729_cp3_q2_s10
译者,,,Claude 3.5 Sonnet
