id,name,text,trans
0-chapter_name,,第2話 モンビクスの黒い霧,第2章 蒙比克斯的黑雾
0-synopsis,,ギャリバンは工場を訪れ、オムニアの森に住まう人々から話を聞く。射撃の手練れに心当たりがないかと尋ねられた人々は、エウレルの名を挙げる。しかしエウレルはギャリバンが確かにその手で処刑したはずだった。その直後外から悲鳴が聞こえる。ギャリバンが駆けつければそこには騎士団の部隊長が倒れており、エウレルにやられたことを告げ意識を失うのだった。,加利班来到工厂，向居住在奥姆尼亚森林的人们打听情况。当被问到是否知道有射击好手时，人们提到了尤瑞尔的名字。但尤瑞尔应该是被加利班亲手处决的。就在这时，外面传来了尖叫声。加利班赶到现场，只见骑士团的队长倒在地上，告诉他是被尤瑞尔袭击后就失去了意识。
4,部隊長,あの野郎……\nどこに逃げやがったァ！？,那个混蛋……\n跑到哪里去了！？
5,スティーブン,ふふ……,呵呵……
7,部隊長,スティーブン殿……！！,史蒂文殿下……！！
8,フラン,こっち、こっちー！,这边，这边～！
10,部隊長,今度はフランまで……,这次连弗兰也……
14,,怪しい人影を見つけた部隊長は、\nその姿を追って、\nまんまと森に誘い出されていた。,发现可疑身影的队长，\n追踪那个身影，\n被顺利诱导到森林中。
15,,理解の範疇を超えた、\n現れては消えていく死人達の姿に\n部隊長は身震いする。,面对超出理解范畴的，\n出现又消失的死者们，\n队长不禁打了个寒颤。
16,部隊長,どうなってやがんだこりゃ……,这到底是怎么回事……
18,エウレル,…………,…………
19,部隊長,エウレル……！？,尤瑞尔……！？
20,エウレル,オレが処刑されたあの日以来ですかね？\nいやぁ、懐かしい。,从我被处决的那天起吗？\n哎呀，真怀念啊。
21,部隊長,<span class='scene-font-4'>他の奴らも！　貴様も！</span>\n遺体は我らが空の底に葬った。\nなのに何故、生きている……？,<span class='scene-font-4'>其他人也是！ 你也是！</span>\n尸体都被我们葬在了天空之底。\n但为什么，还活着……？
22,エウレル,さぁ、なんででしょう？,谁知道呢？
23,部隊長,舐めるな、小僧がッ！,别小看人，小子！
31,,部隊長は幾度も剣を振るうが、\n鮮やかに躱され続けた挙句、\nエウレルの姿を見失い、慌てふためく。,部队长挥舞了好几次剑，\n却被灵巧地不断躲开，\n最后连尤瑞尔的身影都看不见了，惊慌失措。
34,部隊長,ど、どこに消えやがったァ！？,去、去哪里了！？
35,エウレル,上だよ、う～え。,在上面哦，上～面。
36,,声の方を見上げると、\n生糸にぶらさがったエウレルが\nにやにやと笑っていた。,朝声音的方向抬头一看，\n只见尤瑞尔悬挂在生丝上，\n咧嘴笑着。
37,部隊長,蜘蛛か貴様は！,你是蜘蛛吗！
38,エウレル,アンタそれでもモンビクスの国民か？\n蜘蛛じゃねぇ、生糸だよ、生糸。\nお蚕様のな。,你也算是蒙比克斯的国民吗？\n不是蜘蛛，是生丝，生丝。\n蚕宝宝的。
39,部隊長,貴様ァ！\n降りてこい！！,你这家伙！\n给我下来！！
40,エウレル,はいはい……\nあ～らよっと……！,好啦好啦……\n嘿～咻……！
43,,エウレルは降下すると同時に\n部隊長を生糸によって\n雁字搦めにし、動きを封じる。,尤瑞尔降下的同时，\n用生丝把部队长\n捆成了大字型，封住了他的行动。
44,部隊長,くそ……何故、千切れん！\nこの卑怯者がァ……！,可恶……为什么切不断！\n你这个卑鄙小人……！
47,エウレル,卑怯者ぉ？　あっはっはっ！\nそれ特大のブーメランじゃね。\nいやぁ、ウケるわ。,卑鄙小人？ 啊哈哈哈！\n这不是搬起石头砸自己的脚吗。\n哎呀，太逗了。
48,部隊長,ああッ！？,啊！？
49,エウレル,ほらほらァ、頭が高いィ！,喂喂，头抬得太高了！
50,部隊長,うがッ……！,呜哇……！
51,エウレル,ううん？　ブーツが汚れてるぞ？\n騎士たる者、身だしなみに気をつけよ。\nほら、しっかり磨かんかァ！！,嗯？ 靴子脏了哦？\n身为骑士，要注意仪表啊。\n来，好好擦擦！！
52,部隊長,うぐぅ……,呜呜……
53,,エウレルに殴られ続けた\n部隊長は遂に膝を折り、\n地面に這いつくばる。,被尤瑞尔不断殴打的\n部队长终于跪倒在地，\n匍匐在地上。
54,部隊長,許さん、許さんぞ！\nエウレルゥ……！,不能原谅，绝不原谅！\n尤瑞尔……！
55,エウレル,許さない？　何をだ？\nなぁ、アンタが何を\n許さないってんだ！？,不原谅？ 不原谅什么？\n喂，你不原谅\n什么啊！？
61,モンビクスの民１,<span class='scene-font-4'>それじゃあ何か！？</span>\nワシらが\n王を狙った賊だとでも！？,<span class='scene-font-4'>那是什么意思！？</span>\n难道说我们\n是瞄准国王的盗贼吗！？
62,ギャリバン,すまないが落ち着いてくれ。\n何か知らないかと\n尋ねているだけじゃないか。,抱歉，请冷静一下。\n我只是在问\n你们知不知道些什么。
63,モンビクスの民１,あぁ、こりゃすまない……,啊，这是我不好……
64,ギャリバン,鐘楼から陛下を射貫くほどの\n手練れとなれば……\n猟師だった君は誰を想い浮かべる？,要是有人能从钟楼上\n射穿陛下的身体……\n作为猎人的你会想到谁？
65,モンビクスの民１,鐘楼から？\nそりゃあ……遠いな……,从钟楼上？\n那可……真远啊……
66,モンビクスの民２,となるとやっぱり……エウレルよね。\nあの子の作った竹矢はよく飛ぶし、\n弓の腕はピカイチだったもの。,那果然还是……尤瑞尔吧。\n那孩子做的竹箭飞得很远，\n弓术也是一流的。
67,ギャリバン,やはりエウレル、か……,果然是尤瑞尔吗……
68,モンビクスの民１,でもアイツはもう……\nギャリバンさん、アンタに……,但那家伙已经……\n被你……
69,ギャリバン,……そうだな、私が殺した。\nこの手で、確かに。,……是啊，是我杀的。\n就是这双手，确实如此。
70,,昔からエウレルを知っている\n彼らはかつての事件を想い、\n表情を曇らせる。,从以前就认识尤瑞尔的\n他们想起了过去的事件，\n脸色阴沉下来。
71,部隊長の声,うぐぁ……！,呜哇……！
72,ギャリバン,っ！？,！？
76,,悲鳴を聞き、\n工場から飛び出したギャリバン。,听到惨叫声，\n加利班从工厂里冲了出来。
77,,彼はボロ雑巾のように\n地面に這いつくばる\n部隊長を見て息を呑んだ。,他看到部队长\n像破抹布一样\n匍匐在地上，倒吸了一口冷气。
78,ギャリバン,誰にやられた……？,是谁干的……？
79,部隊長,も、申し訳……ございません……\nエウレルの……こ、小僧に……,非、非常……抱歉……\n被尤瑞尔的……那、那小子……
80,,部隊長はそこまで言って、\nギャリバンの腕の中で\n意識を失うのであった。,部队长说到这里，\n就在加利班的怀里\n失去了意识。
info,,,scene_evt240329_cp2_q4_s10
译者,,,Claude 3 Opus
