id,name,text,trans
0-chapter_name,,第2話 引力,第2话 引力
0-synopsis,,父親の死はナビスの暗躍によるものと知ったフィオリトは、ジューダの遺言に従ってスファライを手に入れると、追って来たラヴィリタに取引を持ち掛け適合者としてナビスに潜り込んだ。それから、情報と力を手に入れてナビスを潰すため、周囲のすべてが敵という状況で生きてきたのだ。父親の仇を討つため全てを利用するのだと自分に言い聞かせ、フィオリトは眠りにつくのだった。,得知父亲的死是纳比斯暗中作祟所致，菲欧丽特遵从犹大的遗言取得了斯法拉伊，并向追来的拉比利塔提出交易，以适合者的身份潜入了纳比斯。自那以后，为了获得情报与力量摧毁纳比斯，她在周围全是敌人的状况下生存至今。她告诫自己要为了替父报仇而利用一切，随后陷入了沉眠。
1,幼いフィオリト,……研究員のおじさんは、\nお父さんを裏切ったんだ。,……研究员叔叔，\n背叛了爸爸。
5,ジューダ,彼は、利用されたんだ……\n「ナビス」という組織に……,他，是被利用了……\n被名为「纳比斯」的组织……
9,幼いフィオリト,おじさんも、「ナビス」も……\n絶対に許さない……！,不管是叔叔，还是「纳比斯」……\n绝对不可原谅……！
15,,一夜明けて、フィオリトは\n胸に抱え続けていた本を開いた。,天亮后，菲欧丽特\n打开了一直抱在怀里的书。
16,,しおりが挟まれたページは、\n王子さまが出身地について\n語るシーンだった。,夹着书签的那一页，\n是王子讲述自己出身地的场景。
22,幼いフィオリト,６の12──\n番地が正しければこの森だ……,6之12──\n如果地址没错的话就是这片森林……
23,,それを元に辿り着いた地点で、\nフィオリトはとある木箱を見つける。,根据这个线索抵达的地点，\n菲欧丽特发现了一个木箱。
24,,その中には──\n古びた拳具が入っていた。,那里面──\n装着古旧的拳套。
25,幼いフィオリト,あれ……？\nこれって、お父さんが研究してた……,咦……？\n这个，是爸爸研究的……
26,,同封されていたメモには、\nこの武器が悪人の手に渡らぬよう、\n本物をここに隠した旨が書かれていた。,一同封入的便条上写着，\n为了不让这件武器落入恶人手中，\n已将真品藏于此处。
27,幼いフィオリト,じゃあ、研究員のおじさんは\n偽物を持っていったんだ……,那么，研究员叔叔\n带走的是赝品……
29,？？？,なるほど……\nご案内ありがとうございます。,原来如此……\n多谢带路。
30,幼いフィオリト,…………っ！？,…………！？
