id,name,text,trans
0-chapter_name,,第5話 逆行,第5话 逆行
0-synopsis,,アリーナでは戦闘が繰り広げられていた。フェルディナンドと共に襲い来るラガッツォを相手取るフェザー、ランドル、ティコ。一方コルルはフェリクスに記憶を視せられ、父母の命を奪った故郷の火災を引き起こしたのは、ナビスの議長のひとりだと知らされる。さらにロディのパラシュの力で憎悪を増幅させられ、復讐心を抱いたコルルはグラーシーザーの禍々しい光に飲み込まれるのだった。,竞技场内战斗正酣。菲扎，兰德尔，缇可正在对抗与菲尔迪南德一同袭来的拉伽佐。另一方面，可露露被菲利克斯展示了记忆，得知夺走父母生命的故乡火灾，是由纳比斯的议长之一引发的。接着，罗迪利用帕拉什的力量放大了她的憎恨，心怀复仇的可露露被格拉西泽不祥的光芒吞噬了。
2,,フェルディナンドが率いる\n監査屋達と対峙した一同。,一行人与菲尔迪南德率领的\n监察屋们对峙。
3,,戦力を分散させたい一同の思惑と、\n特定の組み合わせを作りたい\nナビスの思惑は奇妙に重なり合った。,想要分散战力的一行人的想法，\n与想要制造特定组合的\n纳比斯的想法奇妙地重合了。
4,,スタンドエリアでは、\nコルルとフェリクス、\nマナマルとロディが対峙しており──,在站立区域，\n可露露与菲利克斯，\n玛娜玛尔与罗迪正在对峙──
5,,外縁のシートエリアでは、\nフィオリトとラヴィリタが相対する。,在外围的座位区域，\n菲欧丽特与拉比利塔相对而立。
6,,そして、ステージの上では、\nティコとフェザーとランドルが、\nフェルディナンドとラガッツォと戦う。,然后，在舞台之上，\n缇可，菲扎和兰德尔，\n正与菲尔迪南德和拉伽佐战斗。
7,フェザー/菲扎,<span class='scene-font-4'>フェルディナンドッ！</span>\n姬塔はどこにいる！！,<span class='scene-font-4'>菲尔迪南德！</span>\n姬塔在哪里！！
8,フェルディナンド/菲尔迪南德,ああ、心配は要らないよ。\n姬塔くんは我々にとっても\n居てくれないと困る存在だからね。,啊啊，不用担心。\n姬塔君对我们来说也是\n不可或缺的存在呢。
9,フェルディナンド/菲尔迪南德,この島の地下のどこかで、\nパンでも食べながらのんびりと──,正在这岛上地下的某个地方，\n悠闲地吃着面包什么的──
10,ティコ/缇可,ふんッ！！,哼！！
15,,ティコが放ったメスは真っ直ぐに\nフェルディナンドへと向かうが、\nラガッツォが割って入った。,缇可掷出的手术刀笔直地\n飞向菲尔迪南德，\n但被拉伽佐挡了下来。
16,ラガッツォ/拉伽佐,フゥ～……,呼～……
17,フェルディナンド/菲尔迪南德,ふぅ……\nありがとう、ラガッツォ。\n危うく死ぬところだったよ。,呼……\n谢谢你，拉伽佐。\n差点就死了哦。
18,フェルディナンド/菲尔迪南德,それに比べてシャノン……\nきみはパパに向かって\nなんてことをするんだ！,相比之下香农……\n你竟敢对爸爸\n做出这种事！
19,ティコ/缇可,……お前が来ることに\n賭けて正解だったし。,……赌你会来，\n果然赌对了。
20,ティコ/缇可,島への手引き、仲間の誘拐、\nステルラ島での出来事を\nわざわざなぞるような手口……,引路登岛，诱拐同伴，\n故意模仿\n斯忒拉岛事件的手法……
21,ティコ/缇可,あの時と同じように、\n必ずお前は姿を現すと思ったし。,我就觉得你会和那时一样，\n一定会现身。
22,フェルディナンド/菲尔迪南德,監査屋は大切な家族だからね。\n椅子に座ってただ待っているのは、\n父親として失格じゃないか。,监察屋是我重要的家人啊。\n只是坐在椅子上干等着，\n作为父亲岂不是失职吗？
23,ランドル/兰德尔,<span class='scene-font-4'>ふざけんな！</span>\nあん時、テメェはラガッツォを──,<span class='scene-font-4'>开什么玩笑！</span>\n那时，你这家伙对拉伽佐──
24,フェルディナンド/菲尔迪南德,私も心を痛めていたんだ……\nあんなひどいこと、\n誰がしたがるものか……,我也很心痛啊……\n那种过分的事，\n谁又想做呢……
25,フェルディナンド/菲尔迪南德,しかし、私の愛は伝わっていた！\nだから彼は戻ってきたんだ。,但是，我的爱传达到了！\n所以他回来了。
