id,name,text,trans
0-chapter_name,,第1柱 花鳥風月,第1柱 花鸟风月
0-synopsis,,総空神宮では、異空間に干渉する力を持つ「十三仏」のひとり、「薬師の座」バイシュラが一行を出迎える。バイシュラは、空の世界と星の世界の境界にある空間「境界迷路ダルマ」で行方不明になった十三仏２名の捜索を一行に頼む。星晶獣が多く捕らわれているダルマの中には煩悩の気配があるという。一行は依頼を快諾するのだった。,在总空神宫，拥有干涉异空间力量的「十三佛」之一，「药师之座」拜修拉前来迎接一行人。拜修拉委托一行人，在位于空之世界与星之世界境界的空间「境界迷路达摩」中，搜寻两名失踪的十三佛。据说，关押着众多星晶兽的达摩中存在着烦恼的气息。一行人欣然接受了委托。
8,,総空神宮はやはり大きく、\n島の中央に位置しており、\nその存在感はひときわ強い。,总空神宫果然很大，\n位于岛屿的中央，\n其存在感格外强烈。
9,,姬塔達と十二神将が\n連れ立って訪問すると、\n社務らしき少女が出迎えてくれた。,姬塔一行与十二神将\n一同到访时，\n一位看似社务的少女出来迎接。
10,社務,十二神将のみなさんですね。\nお待ちしておりました。\nご案内いたします。,是十二神将的各位吧。\n我等候多时了。\n请让我来带路。
11,インダラ/茵妲拉,よろしく頼む。,那就拜托了。
12,十二神将,お願いしま～す！,拜托了～！
13,サンダルフォン/圣德芬,おい……なぜ俺もいるんだ？,喂……为什么我也在这里？
14,ビィ/碧,さあ……なんでいるんだ？,谁知道呢……为什么会在呢？
15,サンダルフォン/圣德芬,おい……,喂……
16,フアン,だってダル兄さん、\nわたし達と離ればなれじゃ\nさびしいだろ？,因为达尔哥哥，\n和我们分开的话\n会寂寞的吧？
17,パイ,一緒に来た方が\nダル兄さんも楽しいかなって。\n実際、楽しそうだし。,我想着一起过来的话\n达尔哥哥也会更开心吧。\n实际上，你也看起来很开心。
18,サンダルフォン/圣德芬,君等の目には\n俺が楽しそうに映っているのか……？,在你们眼中\n我看起来很开心吗……？
19,社務,みなさん、とっても華やかですね。\nさすがは十二神将。\nこうしてお迎えできて光栄です。,各位真是光彩照人呢。\n不愧是十二神将。\n能像这样迎接各位是我的荣幸。
20,インダラ/茵妲拉,光栄というならば、こちらも同じこと。\n我ら十二神将にとっても貴重な機会だ。,要说荣幸，我们也是一样。\n对我们十二神将来说也是宝贵的机会。
21,,そのまま奥へ案内されると、\nひとりの女性が姿を見せた。,就这样被带到里面后，\n一位女性现身了。
24,？？？,やあ、よく来たね。\nアニラは久しぶり。,呀，你们来了啊。\n阿妮拉，好久不见。
25,アニラ/阿妮拉,薬師様、お久しぶりじゃの！,药师大人，好久不见了！
26,インダラ/茵妲拉,おお、この方が……,哦哦，这位就是……
27,バイシュラ,私が当代の<span class='scene-font-spword'>「薬師の座」</span>、\nバイシュラだよ。,我就是当代的<span class='scene-font-spword'>「药师之座」</span>，\n拜修拉哦。
28,インダラ/茵妲拉,お初にお目にかかる。\n歳神を務める巳神のインダラだ。,初次见面。\n我是担任岁神的巳神茵妲拉。
29,,十二神将はそれぞれ\nバイシュラと名乗る女性に対し、\n自己紹介をしていった。,十二神将各自\n向自称拜修拉的女性\n做了自我介绍。
30,ビィ/碧,あれが十二神将の……\n「上司」みてぇなヤツか。,那位就是十二神将的……\n类似「上司」一样的人吗。
31,ルリア/露莉亚,やくしのざ……ってなんでしょうね。,药师之座……是什么呢。
32,バイシュラ,きみが姬塔だね。\n呼び立ててすまない。\nルリアとビィ、それと……,你就是姬塔吧。\n抱歉把你叫来。\n还有露莉亚和碧，以及……
33,サンダルフォン/圣德芬,…………？,…………？
34,バイシュラ,……「薬師の座」というのは、\n役職名みたいなものだよ。\nたいした意味はない。,……「药师之座」这个，\n就像是职位名称一样的东西哦。\n没什么特别的意义。
35,バイシュラ,さて、きみ達を呼んだのは、\n話し合うべき議題があるのと、\n騎空団と十二神将に依頼があるためだ。,那么，叫你们来是因为\n有需要讨论的议题，\n并且有委托要交给骑空团和十二神将。
36,マコラ/玛蔻拉,なんでも言ってほしいねェ！\n十二神将と姬塔がいりゃあ\nどんな依頼もイチコロだよォ！,有什么事尽管说吧！\n有十二神将和姬塔在\n什么样的委托都能轻松搞定哦！
37,バイシュラ,それは頼もしい。,那真是可靠。
38,バイシュラ,では依頼を説明する。\n<span class='scene-font-spword'>「境界迷路ダルマ」</span>で\n<span class='scene-font-spword'>「十三仏」</span>が行方不明となった。,那么我来说明委托。\n在<span class='scene-font-spword'>「境界迷路达摩」</span>，\n有<span class='scene-font-spword'>「十三佛」</span>失踪了。
39,バイシュラ,行方不明者は、ふたり。\nこれの捜索に同行してもらいたい。,失踪者有两人。\n希望你们能同行协助搜寻。
40,アニラ/阿妮拉,なんと！？,什么！？
41,マコラ/玛蔻拉,ダ、ダルマって……あのダルマかい？,达、达摩是指……那个达摩吗？
42,バイシュラ,そのダルマだ。,就是那个达摩。
43,ビィ/碧,どのダルマなんだ？,是哪个达摩啊？
44,,十二神将が戦慄するとなりで、\n姬塔達はわけもわからず、\nただ会話を見守っていた。,在十二神将战栗的同时，\n姬塔一行不明所以，\n只是旁观着对话。
45,アニラ/阿妮拉,我が姬塔殿と出会った時、\n十二神将は境界の監視をしていると\n言ったのを覚えているか？,还记得与我家姬塔殿相遇时，\n我说过十二神将负责监视境界吗？
46,ルリア/露莉亚,確か……\n空の世界と星の世界の境界と\n言ってましたよね。,我记得……\n您说是空之世界和星之世界的\n境界对吧。
47,アニラ/阿妮拉,その境界こそダルマじゃ。\nどちらの世界にも属さない、\n異空間が広がっているらしい。,那个境界就是达摩。\n据说那里是片不属于任何世界的\n异空间。
48,ビィ/碧,そこに……なんだっけ？\nじゅうさん……なんとかが\n行方不明になってるのか？,在那里……叫什么来着？\n十三……什么佛的\n失踪了吗？
49,バイシュラ,私を含めた、\n13名から成る集団のことだよ。,是指包含我在内，\n由13人组成的团体哦。
50,バイシュラ,異空間に干渉する力を持つ者。\nそれが十三仏。\nそのうちのふたりが行方不明だ。,拥有干涉异空间力量的人。\n那就是十三佛。\n其中两人失踪了。
51,バイシュラ,少し歴史の話をしようか。\n覇空戦争の時のことだ。,稍微讲点历史吧。\n是关于霸空战争时的事情。
56,バイシュラ,星の軍勢は空間に穴を穿ち、\nそこから空の世界にやってくる。,星之军势在空间中凿开洞穴，\n从那里来到空之世界。
57,バイシュラ,ある時、空の民のひとりが思いついた。\n「異空間から来るのなら、\nそこに網を仕掛ければいい」と。,那时，一位空之民想到了。\n「既然是从异空间来的，\n那就在那里设下网好了」。
58,ビィ/碧,網……？,网……？
59,バイシュラ,その網こそ境界迷路ダルマだ。\n星に支配された環境下にもかかわらず、\n十三仏は苦労してこれを作った。,那张网就是境界迷路达摩。\n尽管处于被星所支配的环境下，\n十三佛还是费尽心力建造了它。
60,バイシュラ,星の軍勢の大半はこのダルマに捕まり、\n空の世界に来ることができなくなった。,星之军势大半都被困在这达摩中，\n无法来到空之世界了。
64,バイシュラ,すると、どうなるか？\n空に居座っていた星側からすると、\nいつまで待っても援軍が来ないのだ。,于是，会发生什么呢？\n对于盘踞在空中的星之一方来说，\n就是无论等多久援军都不会来。
67,バイシュラ,その間、空の民は必死に抵抗する。\n十二神将が中心となり、\n激しい戦いを各地で起こしていく。,在此期间，空之民拼死抵抗。\n以十二神将为中心，\n在各地掀起了激烈的战斗。
71,バイシュラ,星とて疲弊する。\nしかし、援軍はまだ来ない。,星之一方也疲惫不堪。\n但是，援军仍未到来。
72,バイシュラ,当然のことだ。\n援軍はダルマに迷い込んでいるから\n駆けつけようにもできないんだ。,这是当然的。\n因为援军都迷失在达摩里了，\n想赶来也无法做到。
77,バイシュラ,こうして星の戦力は大きく削がれ、\n空の民と徐々に近づいていく……\n結果は、知っての通りだよ。,就这样星的战力被大幅削弱，\n与空之民的力量逐渐接近……\n结果，就如你们所知。
78,ビィ/碧,す、すげぇ……！\nつまりダルマってところが\n空の民の勝利につながったんだな！,好、好厉害……！\n也就是说达摩这个地方\n促成了空之民的胜利啊！
79,バイシュラ,そういうこと。\nそしてそのダルマは現在もある。\n十三仏が管理し続けている。,就是这样。\n并且那个达摩现在也存在。\n由十三佛持续管理着。
80,ルリア/露莉亚,そこで行方不明に……\nどんな人達なんですか？,在那里失踪了……\n他们是什么样的人呢？
81,バイシュラ,ひとりは今年の<span class='scene-font-spword'>「守り本尊」</span>。\n十二神将でいえば、歳神とほぼ同じ。\n順番で巡ってくるその年の代表者だよ。,一位是今年的<span class='scene-font-spword'>「守护本尊」</span>。\n相当于十二神将中的岁神。\n是按顺序轮到的当年代表哦。
82,バイシュラ,きみ達とだいたい\n同じくらいの……女の子。,和你们差不多\n一样大的……女孩子。
83,バイシュラ,もうひとりは男。\nそれぞれの特徴については\nあとで教えよう。,另一位是男性。\n关于各自的特征\n之后再告诉你们。
84,インダラ/茵妲拉,これはすごい仕事だな……\nまさかダルマに入ることになるとは……,这可真是件大事啊……\n没想到竟然要进入达摩……
85,ハイラ/哈伊拉,実に疲れそうだ……\nすでに港からここまで歩いてくるのに\nだいぶ疲れているというのに……,看来会相当累人啊……\n光是从港口走到这里\n就已经相当疲惫了……
86,ビィ/碧,十二神将もダルマのことは\n知ってたんだな。,十二神将也知道\n达摩的事情啊。
87,ハイラ/哈伊拉,知っていたというだけだがな。\nそれらしいものがあると。,也只是知道而已。\n知道有那么个地方。
88,ラオラオ,なぜ十二神将に頼むガウ？,为什么要委托十二神将嘎呜？
89,バイシュラ,これはラオラオ様。\nはじめまして。\n薬師の座の、バイシュラです。,这位是劳劳大人。\n初次见面。\n我是药师之座的拜修拉。
90,ラオラオ,あいさつはいいガウ。\nダルマに関することは\n十三仏の仕事だったはずガウ。,问候就免了嘎呜。\n关于达摩的事情\n应该是由十三佛负责的嘎呜。
91,ドーマウス,オラも気になるでし。\nなにか理由があるはずでし。,俺也很在意。\n应该是有什么理由吧。
92,バイシュラ,ドーマウス様も鋭いですね。\n理由は、煩悩の気配があるためです。,多玛斯大人也很敏锐呢。\n理由是，那里有烦恼的气息。
93,ドーマウス,煩悩でしか……！,是烦恼啊……！
94,クビラ/库碧拉,そんな……どうして？,怎么会……为什么？
95,,すると十二神将の背後から\n丸みを帯びた小さな機械が現れた。,这时从十二神将的身后\n出现了一个圆滚滚的小型机械。
96,ジョイ/乔伊,ボンノー、アルナラ、ジョイノデバン？,烦恼，存在的话，乔伊出场？
97,マキラ/玛琪拉,そうかもしれません。\nジョイ君、がんばれる？,或许是这样呢。\n乔伊君，能加油吗？
98,ジョイ/乔伊,ジョイ、ガンバル！,乔伊，加油！
99,バイシュラ,きみ達十二神将には\n煩悩に抵抗する力……<span class='scene-font-spword'>抗煩力</span>がある。\nうってつけだと判断した。,你们十二神将\n拥有抵抗烦恼的力量……<span class='scene-font-spword'>抗烦力</span>。\n我认为你们是最佳人选。
100,バイシュラ,そしてルリア。,然后是露莉亚。
101,ルリア/露莉亚,え？\n私ですか？,欸？\n是我吗？
102,バイシュラ,星晶獣の気配がわかると聞いている。\nきみの力も特に必要になる。,听说你能感知星晶兽的气息。\n你的力量也尤其需要。
103,ビィ/碧,なんで星晶獣が……,为什么会有星晶兽……
104,ビィ/碧,はっ……そうか！,啊……原来如此！
105,バイシュラ,ダルマは網でもあり、\n空と星の間の緩衝地帯でもあり、\n監獄でもある。,达摩既是网，\n也是空与星之间的缓冲地带，\n同时也是监狱。
106,バイシュラ,中には星晶獣がたくさんいるんだ。\n500年間、そのままね。,里面有很多星晶兽。\n500年来，一直那样。
107,ビィ/碧,うぇえ……！？,呜欸……！？
108,,バイシュラの説明を聞き、\n十二神将と姬塔は\n息をのんだ。,听完拜修拉的说明，\n十二神将和姬塔\n都屏住了呼吸。
109,バイシュラ,この依頼、受けてくれる？,这个委托，愿意接受吗？
110,アニラ/阿妮拉,我らは十二神将。\n煩悩の気配があるというのなら、\nそれを打ち払わねばな。,吾等乃十二神将。\n若是有烦恼的气息，\n自当将其祓除。
111,インダラ/茵妲拉,その通りだ。\n仕事ならば徹底的にやろう。,没错。\n既然是工作，就要彻底完成。
112,シャトラ/夏托拉,姬塔さまはどうするの……？,姬塔大人要怎么做……？
112-sel1_txt,,受けよう,接受
112-sel2_txt,,やめておく,放弃
114,ビカラ/碧卡拉,さすがは姬塔だね！\nダルマの中でぼくと握手だ！,不愧是姬塔！\n在达摩里和我握手吧！
115,ルリア/露莉亚,行きましょう！\n私も役に立てるなら\nがんばりたいです！,我们去吧！\n如果我也能帮上忙的话\n我想努力！
117,フアン,やめんの！？,不去了吗！？
118,パイ,勇気ある撤退。\nじゃあ、わたしも。,有勇气的撤退。\n那么，我也……
119,ルリア/露莉亚,で、でもこの依頼は\n私達にしかできないと思いますし……\n行きましょう？　姬塔！,但、但是这个委托\n我觉得只有我们能做到……\n我们去吧？ 姬塔！
120,ビィ/碧,へへっ、そうなるよな。\n結局こうなるから、\nオイラ達もちゃんと行くぜ。,嘿嘿，果然会这样啊。\n反正最后都会这样，\n我们也会好好去的。
121,バイシュラ,ありがとう。\n断られたら\nどうしようかと思っちゃった。,谢谢。\n我还想着要是被拒绝了\n该怎么办呢。
info,,,scene_evt250226_cp1_q1_s10
译者,,,Gemini
