id,name,text,trans
0-chapter_name,,春をさがす少女,寻找春天的少女
0-synopsis,,野盗に襲われる少女を助け出した一行。リリィという名の少女は<span>姬塔</span>と出会い、自身から発する冷気が収まったという。春を与えてくれる存在を探していたリリィは、<span>姬塔</span>との旅路に加わるのだった。,一行救下了一名被盗贼袭击的少女。名为莉莉的少女在与<span>姬塔</span>相遇后，说自己散发出的寒气消退了。为了寻找能赋予春天的人，莉莉加入了<span>姬塔</span>的旅程。
1,ビィ/碧,――ううっ……\nな、なぁ、姬塔\nなんか寒くねーか？,——呜……\n那、那个，姬塔\n你不觉得冷吗？
2,ルリア/露莉亚,だ、大丈夫ですか？\n動きが鈍くなったりとか……,没、没事吧？\n会不会觉得行动迟缓……
3,ビィ/碧,そりゃどーいう意味だ！\nオイラは爬虫類じゃ……\nあれ？　ドラゴンって爬虫類か？,那是什么意思啊！\n我是爬虫类……\n等等？龙是爬虫类吗？
4,ビィ/碧,と、とにかく！\n星晶獣かもしれねーし、\n冷気の源を追ってみようぜ！,总、总之！\n说不定是星晶兽，\n我们去追寻寒气的源头吧！
7,野盗,くそっ！\nなんなんだよこのガキ！,可恶！\n这小鬼是怎么回事！
8,？？？,あう……その……\nなんだって言われても……\nリリィはリリィだから、その……,啊……那个……\n就算你问我……\n莉莉就是莉莉，那个……
9,野盗,うううっ！　さ、寒い……！\n仲間もみんな寒さで倒れちまったし……\n俺も凍えそうだ……,呜哇！好、好冷……！\n同伴们都被冻倒了……\n我也要冻死了……
10,リリィ/莉莉,あ、あの、荷物、かえしてください。 \nそれがないと、\n旅、続けられなくなっちゃうの……,那、那个，请把行李还给我。\n没有那个的话，\n旅行就没办法继续了……
11,ビィ/碧,やい、テメェ！\nちっちゃいコ相手に、なにしてやがる！,喂，你这家伙！\n竟然对小孩子下手！
12,野盗,うわっ！？\nなんだこのトカゲ！？,哇！？\n这蜥蜴是什么！？
13,ビィ/碧,だからトカゲじゃねーっつの！\n女の子を助けるぞ！\nやっちまえ、姬塔！,都说了不是蜥蜴！\n我们要救那个女孩！\n上吧，姬塔！
15,,こうして、姬塔たちは\n見事、野盗を退け\nリリィの大切な荷物を取り戻した。,就这样，姬塔一行\n漂亮地击退了盗贼\n夺回了莉莉重要的行李。
17,ルリア/露莉亚,はい、カバン。\n大変な目にあったね。\n大丈夫だった？,给，你的包。\n真是遇到可怕的事了呢。\n没事吧？
18,リリィ/莉莉,あ、ありがとう……\nリリィは、なんともないの。,啊，谢谢……\n莉莉没事的。
19,ルリア/露莉亚,うん、良かった！\nでも、女の子ひとりだけの旅なんて\n危ないよ？　誰か大人の人は？,嗯，那就好！\n不过，女孩子一个人旅行\n很危险的。有大人陪同吗？
20,リリィ/莉莉,えっと、その……掟だから、\nリリィはひとりで\n旅をしなくちゃいけなくて……ん？,那个……这是规定，\n莉莉必须一个人\n旅行……嗯？
21,リリィ/莉莉,……くんくんくん。\nこの匂い……あったかい匂い。,……킁킁킁。\n这个味道……好温暖的味道。
22,ビィ/碧,匂い？\nなんの匂いもしねーけど……,味道？\n我什么都没闻到……
23,ビィ/碧,って！？\nど、どうした！？\n姬塔に鼻近づけたりして……,什！？\n怎、怎么了！？\n还把鼻子凑到姬塔跟前……
24,リリィ/莉莉,くんくんくん……\n……やっぱり、\nきくうしさま、あったかい匂いする……,킁킁킁……\n……果然，\n「贵腐人」大人，好温暖的味道……
25,リリィ/莉莉,春の匂い……\nずっと探してた……,春天的味道……\n我一直都在寻找……
26,ルリア/露莉亚,ち、近いです！\n姬塔に\nそんなべったり……わぷっ！？,太、太近了！\n对姬塔\n这样黏糊糊地……呜噗！？
28,リリィ/莉莉,お願い！　きくうしさま！\nリリィも一緒に連れてって！！,求求你了！「贵腐人」大人！\n也带莉莉一起去吧！！
29,リリィ/莉莉,ずっと探してたから……\nリリィに春をくれる人……\nきっと、きくうしさまが、その人なの！,因为我一直在寻找……\n能给予莉莉春天的人……\n你一定就是那个人，「贵腐人」大人！
30,ルリア/露莉亚,え……え！？\nど、どうしてそうなるんですか！？,诶……诶！？\n为、为什么会变成这样！？
31,ルリア/露莉亚,だって、姬塔とは\nいま会ったばっかりなのに……,可是，姬塔和\n你才刚刚见面……
32,リリィ/莉莉,きくうしさまが来てから、\nリリィの冷気が収まってるの……\nだから、きくうしさまで間違いないの！,「贵腐人」大人来了之后，\n莉莉的寒气就消退了……\n所以，你一定是「贵腐人」大人！
33,ビィ/碧,そういや、いまは寒くねーな。\nさっきは遠くに居ても\n寒気を感じたくらいなのに。,说起来，现在确实不冷了。\n刚才就算离得很远\n也能感觉到寒意。
34,リリィ/莉莉,だから、おねがいっ！\nきくうしさま……,所以，求求你了！\n「贵腐人」大人……
34-sel1_txt,,喜んで！,很乐意！
34-sel2_txt,,危ないよ！,太危险了！
35,リリィ/莉莉,やったやったやったぁ！\nありがとう！　きくうしさま！,太好了太好了太好了！\n谢谢你！「贵腐人」大人！
36,ルリア/露莉亚,そ、そうです！\n私達と一緒にいたら、\n帝国に狙われたりもするし……！,对、对啊！\n和我们在一起的话，\n会被帝国盯上的……！
37,ビィ/碧,でもよぅ、\nこんなちっちゃいコひとりで\n旅させとくより、いいんじゃねーか？,但是，\n总比让这么小的孩子一个人\n旅行好吧？
38,ルリア/露莉亚,ぐぬぬぬ……,唔唔唔……
39,ビィ/碧,ま、旅は賑やかなほうが\n面白れぇってもんだよな！,嘛，旅途热闹点\n也更有趣嘛！
40,リリィ/莉莉,ふちゅちゅ……ふ、ふちゅつ……\nふつつかものですが、\nよろしくお願いします！　なの！,初初……初、初次……\n初次见面，\n请多关照！なの！
41,ルリア/露莉亚,ううぅぅ……\nよ、よろしくね、リリィちゃん。,呜呜呜……\n请、请多关照，莉莉酱。
42,リリィ/莉莉,うん！　よろしくなの！\nルリアおねーちゃん！,嗯！请多关照なの！\n露莉亚姐姐！
43,ルリア/露莉亚,！？\nお、おねーちゃん……！,！？\n姐、姐姐……！
44,ルリア/露莉亚,うん……うんうん！\nなにか困ったことがあったら、\nおねーちゃんに相談してね！,嗯……嗯嗯！\n遇到什么困难的话，\n就来跟姐姐商量吧！
45,リリィ/莉莉,うんっ！\nありがとうなの！,嗯！\n谢谢你なの！
46,ビィ/碧,……このちびっ子、\n末恐ろしいなぁ……,……这小不点，\n真是可怕……
47,,春を探しているという\n氷晶の少女を仲間に迎え、\n姬塔の旅は続く。,寻找着春天的\n冰晶少女加入了队伍，\n姬塔的旅程仍在继续。
info,,,scene_fate_chr021_ep1
译者,,,Gemini
