id,name,text,trans
0-chapter_name,,皆で掴む勝利,大家一起夺取胜利
0-synopsis,,マナリア魔法学院とルナル魔術教会の「魔術交流大会」が始まる。第一種目の模擬戦闘はグレアとオーウェンが勝利を収めたものの、第二種目の召喚魔術対決に出場したアンは相手に綿密な対策を練られており攻撃を読まれてしまう。その結果、大敗を喫したアンは、大きなショックを受けるのだった。,玛纳利亚魔法学院和月光魔术教会的「魔术交流大会」开始了。第一个项目模拟战斗中古蕾雅和欧文取得了胜利，但在第二个项目召唤魔术对决中出场的安被对手做了周密的对策，攻击都被看穿了。结果，安遭遇了惨败，受到了巨大的打击。
1,,ついに始まった、マナリア魔法学院と\nルナル魔術教会による\n魔術交流大会。,魔术交流大会终于开始了，\n由玛纳利亚魔法学院和\n月光魔术教会共同举办。
2,,最初の試合は、グレアとオーウェンが\n代表選手として出場する\n模擬戦闘で──,最初的比赛是古蕾雅和欧文\n作为代表选手出场的\n模拟战斗──
3,ルナル魔術教会の生徒２,とにかく大事なのは初動……\n「王女」がいないのなら、\n魔力で押し切ることもできるはず！,总之最重要的是开局……\n如果「公主」不在的话，\n应该可以靠魔力取胜！
4,ルナル魔術教会の生徒３,オッケー！\n近づいたら、みんな\nハチの巣にしちゃうんだから！,OK！\n等他们靠近了，\n就把他们都打成马蜂窝！
7,オーウェン/欧文,さすがの魔力量……\n少数精鋭の中の、さらにトップは\n伊達ではないということですね。,不愧是这样的魔力量……\n在少数精英中，站在顶点\n果然不是浪得虚名。
8,オーウェン/欧文,グレア君、確認なのですが、\n今回は竜の力を使わない……\nそれで間違いありませんか？,古蕾雅，我再确认一下，\n这次不使用龙之力……\n没错吧？
9,グレア/古蕾雅,うん。\nそのかわり、後方援護の魔法を\nアンとハンナと練習したんだ。,嗯。\n作为替代，我和安还有汉娜\n练习了后方支援的魔法。
10,グレア/古蕾雅,だから、後ろは任せて。\nオーウェンへの攻撃は絶対に\n防いでみせるから。,所以后方就交给我吧。\n我一定会防住\n对欧文的攻击。
11,オーウェン/欧文,ふ……それは心強い。\nそれならば、心置きなく魔法剣を\n揮うことができそうです。,呵……这让人感到安心。\n这样的话，我就能放心地\n挥舞魔法剑了。
14,オーウェン/欧文,では、参りましょう。,那么，我们上吧。
15,オーウェン/欧文,──たぁっ！,──喝！
18,ルナル魔術教会の生徒２,魔法も構えず、正面から\n斬り込んで……！？,连魔法都不架势，就这样\n从正面斩击……！？
19,ルナル魔術教会の生徒３,もしかしてあの構え、魔法剣……？\nそれなら、間合いに入る前に\n全力で迎え撃ってあげる！,难道那个架势，是魔法剑……？\n既然如此，在他进入攻击范围前\n就全力迎击他！
54,グレア/古蕾雅,……させない！,……不会让你得逞的！
72,,激しい魔法の撃ち合いを潜り抜け、\nオーウェンはじりじりと相手の生徒に\n肉薄していく。,在激烈的魔法交锋中穿梭，\n欧文一点点逼近\n对方的学生。
73,ルナル魔術教会の生徒２,飛んでくる魔法は、そろそろ弾切れも\n狙えそうですけど……\n結構近づかれてしまいましたね。,飞来的魔法，感觉也快打空了……\n但他已经靠得相当近了呢。
74,ルナル魔術教会の生徒３,そろそろ魔法剣の攻撃範囲に\n入るわ！\n気を付けて！,马上就要进入魔法剣的\n攻击范围了！\n小心点！
75,ルナル魔術教会の生徒２,ええ、ひとまず斬撃用の\n防御魔法陣を……！,嗯，总之先布置斩击用的\n防御魔法阵……！
79,オーウェン/欧文,私の魔法剣は、その程度の防壁に\n阻まれるほど軟弱ではない。,我的魔法剑，可不会被\n那种程度的防壁阻挡。
80,オーウェン/欧文,正面から……叩ききってやろう！,就从正面……\n把你们击溃！
88,オーウェン/欧文,ミラージュ……ブレイド！,幻影……剑刃！
97,ルナル魔術教会の生徒達,きゃあっ！,呀！
102,ジル/席尔,これは……決まりましたな。,这下……分出胜负了。
103,ルナル魔術教会の教師,ええ。\n──勝者、マナリア魔法学院！,是的。\n──胜者是玛纳利亚魔法学院！
106,,オーウェンの魔法剣を正面から受け、\nルナル魔術教会の生徒達は\n崩れ落ちる。,正面承受了欧文的魔法剑，\n月光魔术教会的学生们\n瘫倒在地。
107,,そして第一種目の「模擬戦闘」は、\nマナリア側の勝利となったのだった。,于是第一个项目「模拟战斗」，\n以玛纳利亚方的胜利而告终。
112,アン/安,グレア、オーウェン！\nすっごくかっこよかったよ、\nお疲れ様！,古蕾雅，欧文！\n你们太帅了，\n辛苦了！
113,オーウェン/欧文,ありがとうございます。,谢谢您。
114,グレア/古蕾雅,ありがとう、アン。\n練習の成果、出せてよかった……,谢谢你，安。\n练习的成果，发挥出来了……
115,ウィリアム/威廉姆,これで我が校が一歩リードだね。\n次はアンくんが出るんだし、\n楽勝じゃないかな？,这样我校就领先一步了。\n下一个是安上场，\n应该很轻松吧？
116,ハンナ/汉娜,そうとも限りませんわ。\nアンさんの相手……ルナル魔術教会でも\nトップの召喚魔術使いと聞いています。,也不一定。\n安的对手……听说是月光魔术教会\n顶尖的召唤魔术师。
117,ハンナ/汉娜,それに今回、この種目で\n召喚が可能なのは精霊のみ。\nアンさんの英霊は使用できません。,而且这次，在这个项目中\n只能召唤精灵。\n安的英灵是不能用的。
118,ハンナ/汉娜,昨年もアンさんは問題なく勝利して\nいましたし、心配はしていませんが……\nでも、油断は禁物ですわよ。,去年安也毫无问题地获胜了，\n我并不担心……\n但是，可不能掉以轻心哦。
119,アン/安,うん、大丈夫！\n学院の代表として、正々堂々\n戦ってくるね！,嗯，没问题！\n作为学院的代表，我会堂堂正正地\n战斗的！
120,,そしてアンは、堂々とした\n足取りで試合の会場へと向かう。,于是安昂首阔步地\n走向比赛会场。
125,,その姿に沸くマナリア魔法学院の\n生徒達の歓声も冷めやらぬうちに、\n試合は始まったのだった。,在玛纳利亚魔法学院\n学生们的欢呼声中，\n比赛开始了。
129,グレア/古蕾雅,えっと……確か、それぞれの後ろに\nあるクリスタルを先に壊した方が\n勝ちなんだよね。,那个……没记错的话，\n先破坏对方身后的\n水晶的一方获胜对吧。
130,ウィリアム/威廉姆,ああ、そうだよ。\nそしてクリスタルへの攻撃は、\n召喚獣以外でしてはいけない。,嗯，没错。\n而且只能通过召唤兽\n来攻击水晶。
131,ウィリアム/威廉姆,去年もアンくんがこの種目の\n担当でね……僕の模擬戦闘での失態を、\n巻き返してくれたのさ。,去年安也是负责这个项目……\n把我在模拟战斗中的失误，\n都扳回来了。
