id,name,text,trans
0-chapter_name,,魔力の代償,魔力的代价
0-synopsis,,花に集まる魔物達の住処を探し、山へと踏み入る姬塔一行。そんな中ルリアは、魔法が解けたらレナは騎空団を抜けてしまうのでは、と不安を口にする。しかしレナは、そんなつもりはない、とルリアを慰める。,为了寻找聚集在花丛中的魔物的栖息地，姬塔一行进入了山中。途中，露莉亚不安地说，蕾娜会不会在魔法解除后离开骑空团。但蕾娜安慰露莉亚说，自己并没有这个打算。
0,,街の住民から、\n魔物達は山から来るという話を聞き、\n一行は山へと足を踏み入れた。,从镇民口中得知，\n魔物是从山中来的，\n一行人便踏入了山中。
1,,その山道は険しく、奥を目指して\n歩を進めるにつれルリアの足取りが\n重くなっていくのであった。,山路崎岖难行，随着一行人向深处进发，\n露莉亚的脚步也越来越沉重。
2,ルリア/露莉亚,うーん……,嗯……
3,レナ/蕾娜,あらあらまぁまぁ、ルリアちゃん？\nどうしたのかしらぁ～,哎呀哎呀，露莉亚酱？\n怎么了～
4,ビィ/碧,おいおい……\nなんか悪いモンでも食ったのかぁ？,喂喂……\n难道是吃坏东西了吗？
5,ルリア/露莉亚,ち、違いますっ！\n姬塔も\n納得しないでくださいっ！,不、不是的！\n姬塔小姐\n也请不要随便下结论！
6,ルリア/露莉亚,レナさんと出会った時の事を\n思い出して……,回想起和蕾娜小姐相遇的时候……
7,レナ/蕾娜,あら……まぁ？\nどうしたのかしら？ 突然～,啊……怎么了？\n怎么突然～
8,ルリア/露莉亚,レナさんがグランサイファーに\n来たとき……,蕾娜小姐刚来格兰赛法号\n的时候……
9,ビィ/碧,覚えてるぜぇ！\nルリアに頼まれて、花の姉ちゃんが\n騎空艇を花で飾ったんだよな！,我记得！\n花之姐姐应露莉亚的请求，\n用鲜花装饰了骑空艇！
10,ビィ/碧,ぎゃははっ！\nラカムが『なんじゃこりゃぁ！』って\n腰抜かしてたの、すっげえ笑えたぜ！,嘎哈哈！\n拉卡姆被吓得大叫「这是什么鬼东西！」\n一屁股坐在地上的样子真是太好笑了！
11,レナ/蕾娜,うふふふ！\n今となっては懐かしいわねぇ～♪,呵呵呵！\n现在想起来真是怀念啊～♪
12,ビィ/碧,どうしたんだぁ？　ルリア。\n急にそんな事……,怎么了，露莉亚？\n怎么突然说这个……
13,ルリア/露莉亚,あの、レナさんは……\nもし治療できたら、\nどうするんですか？,那个，蕾娜小姐……\n如果治好了，\n你打算怎么办？
14,レナ/蕾娜,そうねぇ……\n…………どうしようかしらねぇ？,是啊……\n…………我该怎么办呢？
15,ルリア/露莉亚,騎空団、抜けちゃうんですか？,要离开骑空团吗？
16,レナ/蕾娜,えっ？,诶？
17,ビィ/碧,ルリア、\nそれで落ち込んでやがったのか？,露莉亚，\n你就是因为这个才垂头丧气的吗？
18,ルリア/露莉亚,はい……\nレナさんがいなくなっちゃうかもって\n考えたら、寂しくなって……,嗯……\n一想到蕾娜小姐可能会离开，\n我就觉得好寂寞……
19,ビィ/碧,そういやぁ……\n騎空団から抜けたヤツって\n今までいなかったもんなぁ……,说起来……\n好像确实没有人\n离开过骑空团呢……
20,レナ/蕾娜,そうねぇ～\nそれは寂しい思いを\nさせちゃうかもねぇ～,是啊～\n那的确是会让人\n感到寂寞呢～
21,ルリア/露莉亚,ええっ！？\nそれじゃ、本当に抜けちゃうんですか！？\n騎空団！,诶！？\n那，你真的要离开吗！？\n骑空团！
22,レナ/蕾娜,楽しかったわぁ～♪\n貴方達と色々な島を回って、\n人々の幸せのお手伝いをする日々……,那段日子真是快乐啊～♪\n和你们一起周游各个岛屿，\n帮助人们获得幸福……
23,ルリア/露莉亚,うぅ……\nレナさぁん……,呜……\n蕾娜小姐……
24,ビィ/碧,お、おいぃ！\n泣くなよルリアぁ！,喂、喂！\n别哭啊露莉亚！
25,レナ/蕾娜,あ、あらあらまぁまぁ！\nごめんなさいねぇ～、まさか……,啊，哎呀哎呀！\n对不起啊～，没想到……
26,レナ/蕾娜,ルリアちゃんが泣いちゃうなんて\nいじわるだったわぁ～……\n本当にごめんなさい。,竟然把露莉亚酱弄哭了\n我真是太坏了～……\n真的对不起。
27,レナ/蕾娜,騎空団を抜けたりは……\n多分、しないと思うの。,离开骑空团什么的……\n我想我应该、不会的。
28,ルリア/露莉亚,本当ですか……？,真的吗……？
29,レナ/蕾娜,楽しくて、幸せな思い出ばっかり。\nだから私は……,都是快乐而幸福的回忆。\n所以……
30,レナ/蕾娜,……あら？\nこの香りは……？,……咦？\n这股香味是……？
31,魔物,グォォォッ！,吼——！
32,ルリア/露莉亚,きゃっ！,呀！
33,ビィ/碧,街に来てたのとは別のヤツみてえだな！\n蹴散らすぜ！　姬塔！,好像和袭击城镇的不是同一批！\n上吧，姬塔！
info,,,scene_chr091_q2_s10
译者,,,Gemini
