id,name,text,trans
0-chapter_name,,第5話 雨の中で,第五话 雨中
0-synopsis,,モルドレッドがヴェインとお茶を飲んでいると、ヘンリーが現れ、ロウリーの姿が見えないことを報告する。モルドレッドはロウリーの代わりに見張り番を引き受けることにし、見張りに出ることを仲間に伝えるため一度野営地へ向かう。そこで急に雨が降り始める。姬塔達と木の下で雨宿りをしていたアーサーは、見張り場の方向から悲鳴を聞きつけるのだった。,莫德雷德正在和维恩喝茶，亨利出现并报告说看不到罗利的踪影。莫德雷德决定替罗利去站岗，为了将此事告知同伴，他动身返回营地。就在那时，突然下起了雨。姬塔一行与亚瑟在树下避雨，亚瑟听到了从岗哨方向传来的尖叫声。
7,モルドレッド/莫德雷德,……お茶、おいしいです。,……茶，很好喝。
8,ヴェイン/维恩,そっかそっか。\n熱いからゆっくり飲めよ。,是嘛是嘛。\n很烫，慢慢喝。
9,モルドレッド/莫德雷德,ちょうどいいですよ。,温度正好。
10,ヴェイン/维恩,お？\n話し込んでる間に\nちょい冷めたかもな。,哦？\n光顾着说话\n好像有点凉了。
12,ヘンリーの声/亨利的声音,ヴェイン副団長！\n失礼します！,维恩副团长！\n打扰了！
13,,天幕の外からの声に\nモルドレッドは首を傾げる。,听到帐篷外的声音\n莫德雷德歪了歪头。
14,モルドレッド/莫德雷德,ヘンリー？,亨利？
15,ヴェイン/维恩,どうした？　ヘンリー,怎么了？亨利
18,ヴェイン/维恩,何かあったか？\nお前は確か、見張りがそろそろ\n終わる時間だったよな？,发生什么事了吗？\n你好像\n也快到换岗时间了吧？
19,ヘンリー/亨利,はい。\n交代を待ってたんですけど、\nその中にロウリーの姿がなくて……,是的。\n我一直在等换岗，\n但是罗利不见了……
20,ヘンリー/亨利,同じ班の新人達も、ロウリーが\nどこに行ったかわからないって\n言うんです。,同班的新人们也说\n不知道罗利去哪了。
21,ヴェイン/维恩,ロウリーか……,罗利吗……
22,ヘンリー/亨利,副団長……？,副团长……？
23,ヴェイン/维恩,ヘンリー、報告ありがとな！,亨利，谢谢你的报告！
24,,ヴェインは、ぱっと表情を明るくして\nヘンリーの頭に手をのせる。,维恩的表情瞬间轻松起来，\n把手放在亨利的头上。
25,ヴェイン/维恩,ロウリーはあとでお説教だ。,回头要好好说说罗利。
28,モルドレッド/莫德雷德,ヴェイン副団長。,维恩副团长。
29,ヘンリー/亨利,あれ？\nモルドレッド、いたのか。,啊？\n莫德雷德，你也在啊。
30,モルドレッド/莫德雷德,ロウリーの代わりの見張り、\n俺が行きます。,我去替罗利站岗。
31,ヴェイン/维恩,わかった。それじゃあ頼む。\nあ、その前に一度戻って\n班のメンバーに伝えろよ。,知道了，那就拜托你了。\n啊，在那之前先回去\n跟班里的成员说一声。
32,モルドレッド/莫德雷德,わかりました。,明白了。
34,ヘンリー/亨利,あ、雨……,啊，下雨了……
35,ヴェイン/维恩,降ってきたな。\nモルドレッド、気をつけろよ！,下起来了呢。\n莫德雷德，小心点！
36,モルドレッド/莫德雷德,はい。\n行ってきます！,是。\n我走了！
42,ルリア/露莉亚,あっという間に降ってきましたね。,一下子就下起来了呢。
43,アーサー/亚瑟,すみません。\n俺が話をきいてもらってたから……,抱歉。\n因为我一直在说自己的事……
44,ビィ/碧,気にすんなって！\n木の下の雨宿りも悪くねぇぜ。,别在意！\n在树下避雨也不错嘛。
45,ルリア/露莉亚,でも、そろそろ戻らないと\n班の皆さんが\n心配するんじゃないですか？,但是，再不回去的话\n班里的大家\n会担心吧？
46,アーサー/亚瑟,うん……そうですよね。,嗯……你说得对。
47,,アーサーは不安げな瞳を\n雨粒を落とす真っ暗な\n夜空へと向けた。,亚瑟不安地\n望向\n漆黑雨夜的天空。
48,アーサー/亚瑟,モルドレッドとも、\n仲直りしないと……,也要和莫德雷德，\n好好谈谈才行……
49,新入り見習い騎士１,うわあああっ！,哇啊啊啊！
50,アーサー/亚瑟,っ！　悲鳴！？,！尖叫声！？
51,ビィ/碧,野営地とは逆側からだぞ！？,是从营地的反方向传来的！？
52,アーサー/亚瑟,あっちは……\n見張りがいる方だ！,那边是……\n岗哨的方向！
info,,,scene_evt210927_cp5_q1_s10
译者,,,Gemini
