id,name,text,trans
0-chapter-name,,カタリナらしさ,卡塔莉娜的风格
0-synopsis,,ある時、街中で行われる結婚式の行列に出くわす一行。その行列を眺めていたルリアは、何の気なしに「ケッコンしてみたい？」とカタリナに尋ねるのだが、「そんな暢気なことを言っている場合では無い」という反応が返ってくる。その夜、一行が森で野営をしていると、周りを帝国兵に包囲されてしまう。帝国兵にルリアの身柄を攫われた一行は、慌ててその後を追いかけるのだった。,有一次，一行人在街上偶遇了一支婚礼队伍。露莉亚看着队伍，突然心血来潮地问卡塔莉娜「想不想结婚？」，却得到了「现在不是说这种悠闲事的时候」的回应。当天晚上，一行人在森林里露营时，被帝国兵团团包围。露莉亚被帝国兵抓走，一行人慌忙地追了上去。
0,,ある時、街で物資の補給をしている\n一行は、結婚式の行列に出くわした。,有一次，正在城镇采购物资的\n一行人偶遇了一支婚礼队伍。
1,ルリア/露莉亚,わぁ～！\n見て見てカタリナ！\n綺麗な花嫁さん！,哇～！\n快看快看，卡塔莉娜！\n好漂亮的新娘！
2,カタリナ/卡塔莉娜,ああ。\nそうだな。,啊。\n是啊。
3,カタリナ/卡塔莉娜,……おっと。\nちょうど我々の前を横切る様だ。\nさ、端に寄って待とうではないか。,……喔。\n他们好像正好要从我们面前经过。\n来，我们靠边等等吧。
4,,結婚式の行列に道を譲る一行は、\nしばらくその様子を眺めていた。,一行人给婚礼队伍让开了路，\n并驻足观望了一会儿。
5,ルリア/露莉亚,ねぇねぇ、カタリナ。,呐呐，卡塔莉娜。
6,カタリナ/卡塔莉娜,ん？　どうした？,嗯？怎么了？
7,ルリア/露莉亚,カタリナは、ケッコンしてみたい？,卡塔莉娜想不想结婚啊？
8,カタリナ/卡塔莉娜,へっ？　\nけ、ケッコン？　私が！？,哎？\n结、结婚？我！？
9,ルリア/露莉亚,うん！　カタリナならドレス姿も\n似合うだろうなぁ～って思って！,嗯！我在想卡塔莉娜穿婚纱\n一定也很漂亮～！
10,カタリナ/卡塔莉娜,いやっ、わ、私は……\nドレスなど似合うはずが……,不、我、我……\n我这种人怎么可能适合穿婚纱……
10-sel1_txt,,ドレス姿も可愛いよ！,穿婚纱的样子也很可爱哦！
10-sel2_txt,,結婚式には呼んでね！,结婚的时候要邀请我哦！
11,カタリナ/卡塔莉娜,っ！　\nか、かわいいだと！,！\n可、可爱什么的！
12,カタリナ/卡塔莉娜,……コラッ。\n気安くそんなことを言って、\n大人をからかうんじゃない。,……给我适可而止。\n不许说这种容易让人误会的话来\n捉弄大人。
13,カタリナ/卡塔莉娜,け、結婚式どころか！\n私には決まった相手もいない！,结、结婚什么的还早得很呢！\n我连对象都没有！
14,カタリナ/卡塔莉娜,まったく……\nどこでそんな冗談を覚えたんだ。,真是的……\n你是在哪里学会这种玩笑话的。
15,ビィ/碧,へへっ、珍しく取り乱しちまって、\n姐さんもやっぱり女のコなんだな！,嘿嘿，难得见你这么慌乱，\n果然姐姐也是女孩子嘛！
16,カタリナ/卡塔莉娜,コ、コホン。ビィくん。\n私は取り乱してなどいないぞ？,咳、咳咳。碧。\n我才没有慌乱呢？
17,カタリナ/卡塔莉娜,我々は帝国から命を狙われる身。\n結婚だなんだと、そんな暢気な事を\n言っている場合ではないのだよ。,我们可是被帝国追杀的对象。\n现在可不是说结婚之类的悠闲事\n的时候啊。
18,ルリア/露莉亚,の、のん気なのかなぁ……？,我、我说错话了吗……？
19,カタリナ/卡塔莉娜,さぁさぁ、そんなことより\n買い物を済ませてしまおう。,好啦好啦，别在意这种事了，\n我们去买东西吧。
21,ルリア/露莉亚,……あっ！\nま、待ってよカタリナ！,……啊！\n等、等等我，卡塔莉娜！
23,,買い物の途中、\nルリアは防具屋の軒先で\nとある鎧を見つける。,采购途中，\n露莉亚在防具店的屋檐下\n发现了一件铠甲。
25,ルリア/露莉亚,ねぇカタリナ！\nこの鎧、試着してみたらどうかな？,呐，卡塔莉娜！\n这件铠甲，要不要试穿一下？
26,カタリナ/卡塔莉娜,ん？　鎧か……\nだが今日は鎧を買いに\n来たわけではないぞ？,嗯？铠甲吗……\n但我们今天不是来买铠甲的啊？
27,ルリア/露莉亚,似合うと思うなぁ。\nビィさんはどう思います？,我觉得你穿起来会很合适的。\n碧觉得呢？
28,ビィ/碧,うーん、確かに姐さんの鎧は\nちょっと無骨すぎるっつーか……,嗯～，确实，姐姐的铠甲\n是有点过于朴素了……
29,ビィ/碧,この鎧を着たら、\n少しは女らしくなっていいかもな！,穿上这件铠甲的话，\n说不定能让你更有女人味一点！
30,カタリナ/卡塔莉娜,お、女らしく……？,更、更有女人味……？
32,カタリナ/卡塔莉娜,華麗なる蒼の剣技……\n見せてあげるわ！,华丽的苍之剑技……\n就让你见识一下吧！
36,カタリナ/卡塔莉娜,奥義！\nアイシクル☆ネイル！,奥义！\n冰柱☆飞箭！
39,カタリナ/卡塔莉娜,う、ううむ……,唔、唔嗯……
40,カタリナ/卡塔莉娜,……しかしだな、ビィくん。\n鎧の本分は体を防護することだ、\nそこに女らしさなど必要ないだろう？,……但是啊，碧。\n铠甲的本分是保护身体，\n需要什么女人味啊？
41,ビィ/碧,まぁ、そりゃそうだけどよぅ……,话是这么说啦……
42,カタリナ/卡塔莉娜,それにこの辺りは帝国の者も多い。\n無駄な買い物をしている間に、\nルリアを危険にさらせない。,而且这一带有很多帝国的人。\n我不能在无谓的购物期间，\n让露莉亚身处危险之中。
43,カタリナ/卡塔莉娜,さぁ、行こうか。\nルリア、姬塔。,好了，走吧。\n露莉亚，姬塔。
45,ルリア/露莉亚,あっ……\nカタリナ。,啊……\n卡塔莉娜。
46,,防具屋の前をそそくさと\n通り過ぎるカタリナ。,卡塔莉娜匆匆忙忙地\n从防具店前走过。
47,,そんな一行の姿を、近くに\n偶然居合わせた帝国兵達が\n目撃していた。,而一行人的身影，被碰巧\n在附近的帝国士兵们\n看到了。
48,帝国兵１/帝国士兵１,おい、見ろ！\nあいつら例の……,喂，快看！\n那些家伙是那伙……
49,帝国兵２/帝国士兵２,っ！？\nカタリナ元中尉と機密の少女！,！\n前中尉卡塔莉娜和机密少女！
50,帝国兵１/帝国士兵１,ああ、間違いない。\n……お前は上に報告してきてくれ、\n俺はこのまま奴らを尾行する。,没错，就是他们。\n……你去向上级报告，\n我继续跟踪他们。
51,帝国兵２/帝国士兵２,わかった。\n気を付けろよ……,明白了。\n小心点……
53,,その夜、森の中で\n野営をしている一行。,当天晚上，在森林中\n露营的一行人。
54,,カタリナは、ひとり浮かない顔を\nしているルリアの異変に気付く。,卡塔莉娜注意到了一直闷闷不乐的\n露莉亚的异样。
56,カタリナ/卡塔莉娜,……ルリア？\n夜の森は怖いか？,……露莉亚？\n你害怕夜晚的森林吗？
57,ルリア/露莉亚,えっ……あ、うん。\n森の中は怖いけど、\nみんながいるから大丈夫。,哎……啊，嗯。\n虽然森林里很可怕，\n但因为有大家在，所以没关系。
58,カタリナ/卡塔莉娜,では、どうしたんだ？\n何か不安があるなら、\n遠慮なく言ってくれ。,那是怎么了？\n如果你有什么不安，\n就尽管说出来。
59,ルリア/露莉亚,えっと……\nあのね……,那个……\n那个……
60,,カタリナを見つめるルリアは、\n言葉を選びながら話し始める。,露莉亚注视着卡塔莉娜，\n一边斟酌着用词一边说道。
61,ルリア/露莉亚,カタリナはね、私がいなかったら\nもっと自由になれたのかなって……,我在想，如果没有我的话，\n卡塔莉娜是不是就能更自由一点……
62,カタリナ/卡塔莉娜,……ん？\nそれはどういう意味だ？,……嗯？\n你这是什么意思？
63,ルリア/露莉亚,あのね……\n私、今日一日ずっと考えてたの。,那个……\n我今天想了一整天。
64,ルリア/露莉亚,私のせいで、カタリナは帝国から\n追われることになったでしょ？,都是因为我，卡塔莉娜才会被帝国\n追杀，对吧？
65,カタリナ/卡塔莉娜,それは……ルリアのせいでは……,那件事……不是露莉亚的错……
66,ルリア/露莉亚,だから、もし私がいなかったら、\n帝国の目を気にしないで……,所以，如果我没有和你在一起的话，\n你就不用在意帝国的追捕……
67,ルリア/露莉亚,カタリナも、もっと女の子らしく\n振る舞えたのかなって、そう思って。,说不定就能像其他女孩子一样\n生活了，我是这么想的。
68,カタリナ/卡塔莉娜,それは違うぞ！　ルリア！\n私は元々こういう性格で……,不是这样的！露莉亚！\n我本来就是这种性格……
69,,カタリナがルリアに向かって\n身を乗り出した、その瞬間。,就在卡塔莉娜朝露莉亚\n探出身子的那一瞬间。
70,,一行に何者かが、\n襲いかかって来る。,有人向一行人\n发动了袭击。
71,帝国兵１/帝国士兵１,機密の少女を狙え！\n他の奴には構うな！,目标是机密少女！\n其他家伙不用管！
72,ビィ/碧,な、なんだぁ！？　こいつらは！,什、什么！？这些家伙是！
73,カタリナ/卡塔莉娜,敵襲だ！　姬塔！\n迎え撃つぞ！,有敌人来袭！姬塔！\n迎击！
74,帝国兵２/帝国士兵２,お前の相手は俺だ！,你的对手是我！
75,,姬塔達は、\n咄嗟に帝国兵達の\n襲撃から立て直す。,姬塔一行人，\n迅速从帝国士兵的\n突袭中调整好了阵型。
76,ルリア/露莉亚,キャー！,啊——！
77,,だが一瞬の隙をつかれて\nルリアの身柄を攫われて\nしまうのだった。,但就在那一瞬间的破绽，\n露莉亚被\n抓走了。
78,ビィ/碧,おい！　\nルリアが攫われたぞ！,喂！\n露莉亚被抓走了！
79,カタリナ/卡塔莉娜,ぐっ……わかっている！\nだが目の前の帝国兵を\n退けないことには先に進めん！,唔……我知道！\n但如果不先解决掉眼前的帝国士兵，\n我们就无法前进！
80,カタリナ/卡塔莉娜,行くぞ！　姬塔！,上吧！姬塔！
81,,突然の襲撃によって、\nルリアを攫われてしまった\n姬塔一行。,由于这突如其来的袭击，\n露莉亚被抓走的\n姬塔一行人。
82,,果たして、一行はルリアを\n無事に取り戻すことができるのか。,他们究竟能否\n成功救回露莉亚呢。
info,,,scene_fate_chr177_ep1
译者,,,Gemini
