id,name,text,trans
0-chapter_name,,亡者の嘆き,亡者的悲叹
0-synopsis,,ブローディアから預かった刃鏡に異変を感じ、ブローディアの後を追った姬塔達は山でウリエルと合流する。ウリエルから、亀裂の向こう側の空間である「神域」でブローディアが怪物と戦っていることを聞いた一行は、刃鏡を用いて神域に突入。間一髪のところでブローディアを救い、その場に留まろうとするブローディアを無理やり連れ帰るのだった。,姬塔一行在从布洛迪亚那里收到的刃镜上感受到异样后，便追随着布洛迪亚的脚步来到山上，与乌列尔汇合。从乌列尔口中得知，布洛迪亚正在裂缝另一边的空间「神域」与怪物战斗。一行人利用刃镜闯入神域，在千钧一发之际救下了布洛迪亚，并强行带走了执意要留在那里的布洛迪亚。
1,,ブローディアが依頼に出た後、預かった\n刃鏡に僅かな亀裂が入っていることに\n気づいた姬塔。,布洛迪亚接受委托离开后，姬塔注意到她寄放的\n刃镜上出现了一道细小的裂痕。
2,,そのことに、妙な胸騒ぎを覚えた\n姬塔は、すぐにブローディアの\n後を追って配達先のある島を訪れた。,不知为何，姬塔对此感到一阵莫名的不安，\n于是她立刻追随着布洛迪亚的脚步，\n来到了她送货目的地的岛屿。
8,ビィ/碧,うへぇ……なんかこの山、\n変な臭いがするな。空気も澱んでるし、\nこれも島の異変の影響なのか？,唔……这座山不知为何，\n散发着一股怪味。空气也很浑浊，\n这也是岛上异变造成的吗？
9,ルリア/露莉亚,ブローディアさんは\nこの異変を解決するために、\n山に入ったとか……,布洛迪亚好像\n为了解决这场异变，\n进入了山中……
15,商人,ああ、そうだ。\n村人の話じゃ、土質を調査するって\n山に入ったきりらしくてよ……,啊，没错。\n村民说她好像是为了调查土质\n进了山，然后就再也没出来……
16,商人,一応、自警団が探しに行ったんだが、\n相当奥へ行っちまったのか\nまだ見つかって無いんだ。,自卫团的人去找过她了，\n但她好像已经进入很深的地方了，\n至今还没找到。
17,ルリア/露莉亚,そうですか……\nありがとうございます！,这样啊……\n谢谢您！
23,ルリア/露莉亚,それから、空にあるあの亀裂も、\nブローディアさんがいなくなった後に\n現れたって言ってましたね。,还有，他们说天上的那道裂缝也是\n在布洛迪亚小姐失踪后\n出现的。
24,,見上げた先にあるのは、\n青空に薄く奔る亀裂。,抬头望去，\n一道淡淡的裂缝横亘在碧蓝的天空中。
25,,今はその名残が浮かんでいるだけだが、\nブローディアが姿を消した直後には\n空に大きな穴が開いていたという。,虽然现在只剩下些许残留的痕迹，\n但据说布洛迪亚失踪后不久，\n天空中曾出现过一个巨大的空洞。
26,ビィ/碧,全く……あいつ、オイラ達には\n無茶すんなって釘を刺して来たくせに！\n帰ってきたら説教してやる！,真是的……那家伙，明明叮嘱过我们\n不要做傻事！\n等她回来看我怎么教训她！
27,ルリア/露莉亚,ブローディアさん、\n無事だと良いんですけど……,希望布洛迪亚小姐，\n平安无事……
28,,そう話しながら、\n山の奥へと進んで行くと……,一边说着，\n众人一边向山里走去……
31,ビィ/碧,うわぁっ！？\nな、なんだぁ！？,哇啊！？\n那、那是什么！？
32,,突然聞こえた爆発音に、\n姬塔達は\n音のした方へと駆け出す。,听到突如其来的爆炸声，\n姬塔一行\n朝声音传来的方向跑去。
38,ウリエル/乌列尔,<span class='scene-font-4'>クソッ！</span>\nやっぱ開かねぇか……！,可恶！\n还是打不开吗……！
41,ルリア/露莉亚,ウリエルさん！？,乌列尔先生！？
42,,枯れた森の中、ひとり佇み空を\n見上げていたのは、ブローディアの\n師でもあるウリエルだった。,独自一人站在枯萎的森林中仰望天空的，\n是布洛迪亚的师父，\n乌列尔。
43,ビィ/碧,お前がここにいるってことは……\nやっぱり、ブローディアに\n何かあったのか！？,你在这里就说明……\n果然，布洛迪亚\n出事了吗！？
49,ウリエル/乌列尔,……空に亀裂が奔ってるだろ。\nあの先にある「神域」で、\nあいつが戦ってるのを感じる。,……你应该也看到了天空中的裂缝吧。\n在那道裂缝的另一边，「神域」之中，\n我能感觉到那家伙正在战斗。
50,ウリエル/乌列尔,相手はこの島の異変の元凶……\n存在しているだけで元素を汚染する、\n神域に巣食った怪物だ。,对手是这座岛屿异变的根源……\n仅仅是存在就会污染元素，\n在神域中筑巢的怪物。
51,ビィ/碧,しんいき？,神域？
52,ウリエル/乌列尔,覇空戦争時代、<span class='scene-font-spword'>星の民</span>が\n前線基地として使ってた空間らしい。\n星と空を繋いでるとかなんとか……,好像是星之民在霸空战争时期\n用作前线基地的空间。\n据说连接着星辰与天空什么的……
