id,name,text,trans
0-chapter_name,,職場体験、未知の探求,职场体验，未知的探索
0-synopsis,,職場体験の出だしとして、アスカが選んだのはラーメン屋だった。魔物ラーメンという奇抜なメニューを扱う店であったが、経営はお世辞にもうまくいっているとは言えない状態だった。客への対応にしどろもどろになる店主を見かねたアスカは、自ら店の切り盛りに乗り出し、店を大繁盛に導く。その時、ひとりの客がアスカの手腕を褒めたたえる。それは、たまたま客として訪れていたリルルだった。,作为职场体验的开端，明日香选择了一家拉面店。这家店以「魔物拉面」这一新奇菜单为特色，但经营状况却远谈不上顺利。眼看店主手忙脚乱地应对客人，明日香实在看不下去，便主动接手店铺运营，将店面带向空前盛况。此时，一位顾客盛赞明日香的才能——那正是恰巧来此用餐的莉露露。
1,,空の世界での職場体験を\n行うことにしたアスカたち。,明日香等人决定\n在空之世界开展职场体验。
2,,アスカの要望を受けてロボミが\n職場を探し、体験のための\n準備を整えていた。,萝伯美应明日香的要求\n寻找合适岗位，\n并已为体验做好准备。
3,ビィ/碧,で、やってきたのが……,那么，我们来到的是……
10,ビィ/碧,ラーメン屋じゃねえか！\nなんでわざわざここなんだよ！？,这不就是家拉面店吗！？\n干嘛非得特意来这儿啊！？
11,ロボミ/萝伯美,ただのラーメン屋ではありません。\nここは全空でも珍しい、\n魔物を食材に使ったラーメン屋です。,这可不是普通拉面店。\n这里是全空界都极为罕见、\n以魔物为食材的拉面店。
12,シンジ/真嗣,魔物って食べられるの……？\nというか、ラーメン屋って\n珍しくもないような……,魔物……能吃吗？\n而且，拉面店\n好像也没那么稀罕吧……
13,アスカ/明日香,所詮バカシンジね。\n魔物を素材にしてるものが\nただのラーメンなわけないじゃない！,你这笨真嗣啊。\n用魔物当原料的拉面\n怎么可能只是普通拉面！
14,アスカ/明日香,空の世界でしかできない仕事で、\nかつ、料理の勉強ができるとこ！\nよくやったわ、ロボミ！,这是只有在空之世界才能从事的工作，\n而且还能学习烹饪！\n干得漂亮，萝伯美！
15,ロボミ/萝伯美,ありがとうございます。\nすでに店主には職場体験をしたい\nという旨は連絡済みです。,谢谢夸奖。\n已向店主说明了\n我们希望进行职场体验。
16,シンジ/真嗣,料理？　アスカ、料理に\n興味あったっけ？,烹饪？明日香，\n你对烹饪感兴趣？
17,アスカ/明日香,…………,…………
18,アスカ/明日香,別になんでもいいでしょ！\nはやく始めるわよ！\nシロウは客として見ておきなさい！,反正怎样都行啦！\n快点开始吧！\n士郎你就以顾客身份旁观好了！
19,シロウ/士郎,よしきた！　お手並み拝見だ！,好嘞！这就拭目以待！
25,店主/店长,君たちが臨時の助っ人だね。\nよろしく頼むよ。４人は厨房で、\nふたりはフロアを手伝ってもらえる？,你们就是临时帮手啊。\n拜托多多关照啦。四人去后厨，\n两人去前厅帮忙吧。
29,アスカ/明日香,分かったわ！,明白！
31,ビィ/碧,おう！　分かったぜ！,好嘞！明白啦！
32,,店主の指示を受け、アスカ、シンジ、\nルリア、姬塔は厨房での\n仕込みを手伝うことになったのだが……,在店长指示下，明日香、真嗣、\n露莉亚和姬塔前往后厨\n协助备餐，然而……
