id,name,text,trans
0-chapter_name,,とこしえの闇はナゼナニ期,永恒之暗的为什么期
0-synopsis,,ある朝、アルスター島の会議所にて、フェディエルはミアハのベッドに侵入して全裸で眠っているところを発見される。寝巻を着て寝ること、食事の細かいマナー等、フェディエルにとって人の文化は理解しがたいと共に、興味深いものだった。ミアハ達から文化について教示を受けたフェディエルはさらに話をねだり、ミアハは日が暮れるまでフェディエルの疑問にひとつひとつ答えるのだった。,一天早晨，在阿尔斯塔岛的会议所，菲迪埃尔被发现全裸睡在米亚哈的床上。穿睡衣睡觉，用餐的细节礼仪等，对菲迪埃尔来说，人类的文化既难以理解又充满趣味。在从米亚哈等人那里学习了文化知识后，菲迪埃尔还想继续聊天，于是米亚哈一直到天黑都在一一回答菲迪埃尔的疑问。
1,,真龍メイヴ、真龍アリルの襲撃を退け、\n復興の道を歩むアルスター島。,击退了真龙梅芙、真龙阿里尔的袭击，\n阿尔斯塔岛正走在复兴的道路上。
2,,激戦の傷跡はまだ癒え切らぬものの、\n人々が少しずつ平穏な日常を\n取り戻し始めていたある日の朝。,虽然激战的创伤尚未完全愈合，\n但人们已经开始逐渐恢复平静的日常生活，\n在这样的一个早晨。
9,米亚哈的声音,呀啊啊啊！？,呀啊啊啊！？
10,菲尔迪亚,刚才的声音……,刚才的声音……
11,霍林,是米亚哈大人！,是米亚哈大人！
12,,听到阿尔斯塔岛会议所回荡的尖叫声，\n米亚哈的侍从菲尔迪亚和\n霍林朝主人的房间跑去。,听到阿尔斯塔岛会议所回荡的尖叫声，\n米亚哈的侍从菲尔迪亚和\n霍林朝主人的房间跑去。
18,菲尔迪亚,米亚哈大人！\n发生什么事了！？,米亚哈大人！\n发生什么事了！？
19,米亚哈的声音,<span class='scene-font-4'>菲，菲尔迪亚！</span>\n不要进来！\n那个……！,<span class='scene-font-4'>菲，菲尔迪亚！</span>\n不要进来！\n那个……！
20,菲迪埃尔的声音,呼啊……\n什么啊，一大早就这么吵……,呼啊……\n什么啊，一大早就这么吵……
21,霍林,啊——！\n菲迪埃尔，你又擅自进入\n米亚哈大人的房间了吗？,啊——！\n菲迪埃尔，你又擅自进入\n米亚哈大人的房间了吗？
22,菲尔迪亚,这么说的话……\n你这家伙！　该不会是闯入后\n还全裸睡在别人的床上吧……,这么说的话……\n你这家伙！　该不会是闯入后\n还全裸睡在别人的床上吧……
23,菲迪埃尔的声音,哦，抱着艾露恩族的女孩\n感觉还不错哦。,哦，抱着艾露恩族的女孩\n感觉还不错哦。
24,霍林,唔，前几天不是说过\n因为睡不好所以\n不能把其他人当抱枕吗！,唔，前几天不是说过\n因为睡不好所以\n不能把其他人当抱枕吗！
25,菲迪埃尔的声音,半龙半人的孩子体温还不错，\n但身体稍微有点小，感觉——,半龙半人的孩子体温还不错，\n但身体稍微有点小，感觉——
26,菲尔迪亚,啊——够了！,啊——够了！
27,菲尔迪亚,总之，霍林！\n抱歉，能帮菲迪埃尔\n穿上衣服吗？,总之，霍林！\n抱歉，能帮菲迪埃尔\n穿上衣服吗？
28,霍林,好的！\n米亚哈大人，我进来了！,好的！\n米亚哈大人，我进来了！
29,米亚哈的声音,拜托了……,拜托了……
32,霍林的声音,嗯嗯，这是上衣吧……？\n来，万岁！,嗯嗯，这是上衣吧……？\n来，万岁！
33,菲迪埃尔的声音,万岁？,万岁？
34,霍林的声音,就是这样把两只手举起来～\n<span class='scene-font-4'>说万岁！</span>,就是这样把两只手举起来～\n<span class='scene-font-4'>说万岁！</span>
35,菲迪埃尔的声音,哦哦。\n<span class='scene-font-4'>万岁。</span>,哦哦。\n<span class='scene-font-4'>万岁。</span>
36,フェルディア,はぁ……島を助けてくれた
スカーサハ様の客人ってことだけど
本当変なヒト、じゃない、竜だなぁ……,唉……虽说是帮助了岛屿的
斯卡哈大人的客人，
但真是个奇怪的人，不，是奇怪的龙啊……
42,フェディエル/菲迪埃尔,夜明け早々に騒がしいものよ。,一大清早就这么吵闹。
43,フェルディア,誰のせいだよ！？,这是谁的错啊！？
44,フェディエル/菲迪埃尔,裸というのも解放感があって
悪くはないというのに……
何故そう着飾ることを好む？,明明赤身裸体也有一种解放感，
并不坏……
为什么你们如此喜欢穿戴打扮呢？
45,フェディエル/菲迪埃尔,寝所なれば、他者の目もなかろう。
勝手に寝床へ入るなと
ヒトの子も今言っていたではないかや。,既然是睡觉的地方，应该也没有他人的目光吧。
人类不是刚才还说过
不要随便进入别人的床铺吗。
46,フェルディア,それは……,那是……
47,ミアハ,そうですね……寝巻を着ないことで、
リネン類が汚れやすくなってしまうのは
良くありませんね。,是啊……不穿睡衣的话，
床单被褥容易变脏，
