id,name,text,trans
0-chapter_name,,未来に贈る財宝,赠予未来的宝物
0-synopsis,,胃世界から旅立つ準備を進める中、ロビンが「異世界の歴史書等はないか」とピノに尋ねる。ピノは本やお宝を集めている自身の秘密基地に案内を申し出、お宝の話を聞きつけたナミも興味津々。姬塔、ルリア、ビィ、カリオストロも同行することになり、一行はピノの秘密基地へ向かうのだった。,在准备离开胃世界旅行的途中，罗宾问皮诺[有没有异世界历史书之类的东西]。皮诺提议带他们去自己收藏书籍和宝物的秘密基地，听到有宝藏的消息，娜美也兴趣盎然。姬塔、露莉亚、碧和卡莉奥斯特萝也一同前往，一行人就这样向皮诺的秘密基地出发了。
1,,ピノの“決断”を聞き届けて、\n胃世界から旅立つ準備を進める\n騎空団と麦わらの一味。,听完皮诺的“决定”，\n骑空团和草帽一伙准备离开胃世界旅行。
5,,そんな中、ひとり頭を抱える\nナミの元を姬塔達は\n訪れた。,在这期间，姬塔一行人\n来到了正独自苦恼的\n娜美身边。
6,ナミ,ううん……やっぱり、この島で\n船の食料補充が出来てないのが\n痛いわね。,嗯……果然，在这个岛上\n没能补充船上的食物\n真是失策啊。
7,ナミ,サンジ君も工夫はしてくれると\n思うけど、それでも次の島まで\nもつかどうか怪しいわ。,虽然我觉得山治君会想办法的，\n但即便如此，也不知道能不能撑到下一个岛。
8,ロビン,サニー号は私達が吸い込まれた場所で\n無事に待っている……と海月が\n言っていたけれど。,海月说过，桑尼号\n在我们被吸进去的地方\n平安地等着我们……
9,ロビン,生け簀とか食料庫とかについては……\nちゃんと保たれていることを\n祈るしかないわね。,至于鱼缸和食物储藏室……\n我们只能祈祷它们\n都保存完好吧。
10,カリオストロ/卡莉奥斯特萝,設備は使われていないと\nすぐダメになるからな……\nあまり楽観はしないほうがいいぜ。,设备如果不用的话\n很快就会坏掉的……\n最好还是不要太乐观。
11,ナミ,一番いいのは、この島で\nある程度の物資を確保することね。\n探索する余裕があればだけど。,最好的办法是在这个岛上\n确保一定程度的物资。\n如果还有余力探索的话。
12,ピノ,それなら僕があげるよ！\n向こうで食材を保管してあるんだ。,那我就给你们吧！\n我在那边保管着食材。
13,ロビン,あら、助かるわ。でもいいの？,哎呀，真是帮大忙了。不过可以吗？
14,ピノ,もちろん！\n遠慮なく持っていって！,当然！\n尽管拿去用吧！
15,ナミ,そっか、ありがと！\nじゃあ荷物持ちにサンジ君達も\n呼んでくる。,这样啊，谢谢！\n那我去叫山治君他们\n来帮忙搬东西。
22,,ナミを待つ間、姬塔達は\nロビンとピノと共に\n雑談に興じていた。,等待娜美期间，姬塔一行人\n与罗宾和皮诺\n闲聊了起来。
23,ルリア/露莉亚,ロビンさんの腕って、自分の体から\n離れたところにも生やせるんですよね。\nなんだか不思議です……,罗宾小姐的手臂，可以\n在远离自己身体的地方长出来呢。\n感觉好不可思议啊……
24,ロビン,そうね。ある程度の範囲なら\n問題なく操れるし、\n相手に直接咲かせたりもできるわ。,是啊。在一定范围内\n可以操控自如，\n也可以直接让它们在对方身上绽放。
25,ピノ,外の世界には、ロビンさんみたいな\n人がたくさんいるの？,外面的世界有很多\n像罗宾小姐这样的人吗？
26,ロビン,どうかしら、私は私の他に\n見たことはないけど……\n姬塔はどう？,这个嘛，除了我自己以外\n我还没见过其他人……\n姬塔，你觉得呢？
26-sel1_txt,,別の場所に腕が生える人はいないかも,也许没有手臂能在其他地方长出来的人吧
26-sel2_txt,,カリオストロならできる？,卡莉奥斯特萝能做到吗？
28,ルリア/露莉亚,そうですね……シヴァさんとか\n腕が元からたくさんな人は\nいますけど。,是啊……湿婆小姐那样\n原本就拥有很多手臂的人\n是有的。
29,ルリア/露莉亚,別の場所に、にょきにょきって\n腕が生えるなんて\nすごいですよね！,在其他地方，嗖嗖地\n长出手臂\n真是太厉害了！
30,ロビン,ふふ……そんなに真っすぐ\n褒められることなんてないから、\nすこし恥ずかしいわね。,呵呵……很少被人这样直接\n夸奖，\n我都有点不好意思了。
32,カリオストロ/卡莉奥斯特萝,別の場所に生やしてどうする……\n離れたところに腕があっても、\n日常的には持て余すだろうが。,在其他地方长出来有什么用……\n就算在远处有手臂，\n日常生活中也只会碍手碍脚吧。
33,カリオストロ/卡莉奥斯特萝,ロビンみたいに、戦闘中だけ\n生やすなら理解も出来るが……,像罗宾那样，只在战斗中\n长出来的话还能理解……
34,カリオストロ/卡莉奥斯特萝,あ……いや、そうか……！\n戦闘中だけ姿や年齢が変わる、\nつまり変身するってのもアリか？,啊……不对，原来如此……！\n只在战斗中改变外貌和年龄，\n也就是说变身也是可行的？
35,カリオストロ/卡莉奥斯特萝,ロビン。\nお前の能力に俄然興味が湧いた。\nあとで色々教えてくれるか？,罗宾。\n我突然对你的能力产生了兴趣。\n之后能跟我详细说说吗？
36,ロビン,ふふ、お互いに知見を深められそうね。,呵呵，看来我们可以互相学习一下呢。
37,ピノ,いいなぁ……！\nすごい能力とか魔法とか……\n僕が読んでる物語の世界みたい！,真好呀……！\n厉害的能力和魔法什么的……\n就像我读过的故事里的世界一样！
38,ロビン,そういえば、ピノは外の世界から\n流れ着いた本を読んで\n冒険に出たいと思ったのよね。,说起来，皮诺是因为读了\n从外面世界漂流过来的书\n才想要去冒险的吧。
39,ロビン,その中に、歴史書とか伝承集みたいな\nものってないかしら。,那些书里，有没有历史书或者传说集\n之类的东西呢。
40,ロビン,異世界の歴史を知る機会なんて\nそうそうないし、よければぜひ\n読みたいのだけれど……,了解异世界历史的机会\n并不多见，如果可以的话我非常想\n拜读一下……
41,ピノ,歴史書……？　う～ん……\n国を造った神様のお話とか、\nそういうのは見かけたかも……,历史书……？嗯……\n关于创造国家的神明的故事，\n我好像见过……
42,ピノ,そうだ！\n食料を渡すついでに、\n僕の秘密基地に案内するよ！,对了！\n我带你们去我的秘密基地吧，\n顺便把食物也给你们！
43,ピノ,そこに本とか色々集めてて……\nキラキラのお宝もあるから、\nよかったらプレゼント──,我在那里收集了很多书……\n还有闪闪发光的宝物，\n如果你们想要的话就送给你们──
45,ナミ,え、お宝をくれるの！？,诶，你要把宝物送给我们！？
46,ビィ/碧,<span class='scene-font-4'>うわぁっ！</span>\n急に出てくるなよ、\nビックリするだろ！,哇啊！\n不要突然出现啊，\n会吓到人的！
47,ナミ,あ、ごめんごめん。\nお宝と聞いたら、黙っていられなくて。,啊，抱歉抱歉。\n一听到有宝藏，我就忍不住了。
48,ナミ,ね、本当に貰っていいの？,真的可以收下吗？
49,ピノ,うん！\nみんなにはたくさん\nお世話になったから……,嗯！\n因为大家帮了我很多忙……
50,ナミ,ありがとう！\nピノ君、あんたすっごい\nいい子ね！,谢谢你！\n皮诺君，你真是个\n好孩子！
51,ナミ,よし、そうと決まれば\nやっぱり来ないようにサンジ君達に\n言ってくるわ。,好，既然决定了\n我还是去告诉山治君他们\n不要过来了。
52,ナミ,余計な騒動になりそうだし、\nピノ君が案内してくれれば\n心配ないでしょうしね。,感觉会引起不必要的骚动，\n而且有皮诺君带路\n应该也没什么问题。
53,ロビン,ふふ、じゃあ私達だけで\n秘密のお宝探しに行くってことね？,呵呵，那也就是说我们单独\n去寻找秘密宝藏了？
54,ロビン,面白そう。\n姬塔達もぜひ一緒に\n行きましょう。,真有趣。\n姬塔小姐，我们也一起去吧。
55,ビィ/碧,へへっ、秘密基地って\nなんか面白そうだしいいな！\nじゃあ行こうぜ、ピノ！,嘿嘿，秘密基地\n感觉很有趣呢！\n那我们走吧，皮诺！
56,ピノ,うん、じゃあ案内するから\n僕の後についてきてね！,嗯，那我来带路\n你们就跟着我走吧！
57,,そう言って、ピノは\n楽しそうに歩き出す。,说着，皮诺\n兴高采烈地向前走去。
58,,張り切るピノの後に続いて、\n姬塔達は秘密基地へ\n向かうのだった。,跟在兴奋的皮诺身后，\n姬塔一行人向秘密基地\n出发了。
info,,,scene_chr766_q1_s10
译者,,,Gemini
