id,name,text,trans
0-chapter_name,,かつてと今,曾经与现今
0-synopsis,,那晚，雅典娜在复兴后的街道上漫步，回顾著过去。曾经的街道因为雅典娜和负责歼灭敌人的星晶兽厄倪俄而坚固的发展起来。尤其是寄宿了雅典娜大部分力量的帕拉蒂翁所张开的守护结界更是强大无比。但是有一天，渴望蹂躏的厄倪俄袭击了街道，摧毁了帕拉蒂翁。雅典娜无法取回寄宿在帕拉蒂翁中的力量，败给了厄倪俄，街道也被毁灭了。,那晚，雅典娜在复兴后的街道上漫步，回顾著过去。曾经的街道因为雅典娜和负责歼灭敌人的星晶兽厄倪俄而坚固的发展起来。尤其是寄宿了雅典娜大部分力量的帕拉蒂翁所张开的守护结界更是强大无比。但是有一天，渴望蹂躏的厄倪俄袭击了街道，摧毁了帕拉蒂翁。雅典娜无法取回寄宿在帕拉蒂翁中的力量，败给了厄倪俄，街道也被毁灭了。
2,アテナ/雅典娜,なるほど……\n外敌から街を守るために\n私达の力を贷してほしいと。,原来如此……\n为了守护街道免受外敌侵害\n希望我们能出一份力。
3,使者,はい。\nどうかお愿いいたします。,是的。\n请您务必答应。
4,アテナ/雅典娜,わかりました。\nこの力が助けとなるのであれば、\n喜んで。,我知道了。\n如果这份力量能够帮助到你们，\n我很乐意。
5,使者,<span class=''scene-font-4''>おおっ！</span>\nありがとうございます！,<span class=''scene-font-4''>哦哦！</span>\n谢谢您！
6,エニュオ/厄倪俄,即断ですか？,这么快就决定了？
7,アテナ/雅典娜,守护を司る者として、\n放ってはおけませんからね。,身为守护者，\n不能放任不管。
8,エニュオ/厄倪俄,……なるほど。\n守护を司るものの性……\nということですか。,……原来如此。\n守护者之本性……\n是这么回事吗。
9,アテナ/雅典娜,ええ。エニュオ、\n私はしばらく街を空けます。\nですので、その间の事はお愿いします。,是的。厄倪俄，\n我将离开街道一段时间。\n所以，这段时间就拜讬你了。
10,エニュオ/厄倪俄,いえ。その街には私が行きましょう。\n袭い来る外敌の歼灭ならば\n私の方が得意ですので。,不。那个街道由我去吧。\n歼灭来袭的外敌\n我更擅长。
11,アテナ/雅典娜,エニュオが……ですか？\nしかし……,厄倪俄去……吗？\n但是……
12,エニュオ/厄倪俄,アテナ、この街には贵方が必要です。\nなにより、守りの要が残った方が\n街の人达も安心します。,雅典娜，这座街道需要你。\n更何况，守护核心留下来\n街道的人们也会安心。
13,アテナ/雅典娜,…………,…………
14,アテナ/雅典娜,确かに贵方の言う通りですね。\nわかりました。\nでは、エニュオにお任せします。,的确如你所说。\n我知道了。\n那么，就拜托厄倪俄了。
15,エニュオ/厄倪俄,ええ。お任せください。,嗯。交给我吧。
16,エニュオ/厄倪俄,では、早速街へ向かいましょうか。,那么，我们马上前往街道吧。
17,使者,はっ！　ご案内いたします！,是！ 我来带路！
18,エニュオ/厄倪俄,ふふふっ……,嘿嘿嘿……
19,,使者と共に部屋を出て行くエニュオ。\nしかし、その顔には暗い笑みが\n浮かんでいるのだった。,厄倪俄与使者一同离开了房间。\n但是，她的脸上却浮现出阴暗的笑容。
27,エニュオ/厄倪俄,アテナ。戻りましたよ。,雅典娜。我回来了。
28,アテナ/雅典娜,エニュオ……？　随分と早いですね。\nあれから数日も経っていないと\nいうのに……,厄倪俄……？ 这么快就回来了。\n从那时起还没过几天\n就……
29,アテナ/雅典娜,もう、外敌を片付けたのですか？,已经，把外敌解决了吗？
30,エニュオ/厄倪俄,ええ。全て歼灭しましたよ。\n街も、人も、魔物も、何もかも。,嗯。全都歼灭了。\n街道，人类，魔物，所有的一切。
31,エニュオ/厄倪俄,あまりに弱すぎて、\n蹂躙しがいがありませんでした。,太弱了，\n蹂躏起来毫无成就感。
32,アテナ/雅典娜,……何を言っているのです？,……你在说什么？
33,エニュオ/厄倪俄,あの街で私がしたことですよ。\nそして──,我在那座街道做的事。\n以及──
34,エニュオ/厄倪俄,ここでこれから起きることです！,接下来将在这里发生的事！
38,,その言叶と共にエニュオの影から\n无数の魔物が涌き出てくる。,话音刚落，无数的魔物从厄倪俄的影子中涌现出来。
39,アテナ/雅典娜,なっ……！？,什么……！？
46,,壊されボロボロになった家屋。\nそして、こと切れた沢山の人々。,被破坏得破破烂烂的房屋。\n以及，无数的死者。
47,,死と绝望に彩られた街の真ん中で\nエニュオは楽し気に笑う。,在被死亡和绝望笼罩的街道中央\n厄倪俄开心地笑了起来。
48,エニュオ/厄倪俄,ふふっ、ふふふふふっ。\nまさか、ここまで蹂躙しがいが\nあるとは……！,嘿嘿，嘿嘿嘿嘿嘿。\n没想到，竟然能蹂躏到这种程度\n真是……！
49,エニュオ/厄倪俄,流石、アテナと私が\n作り上げた街ですね！,不愧是，雅典娜和我\n一起建造的街道啊！
50,アテナ/雅典娜,エニュオッ！,厄倪俄！
53,,怒りと共に缲り出されるアテナの枪。\nしかし、その枪をエニュオは\n余裕の表情でさばいていく。,雅典娜愤怒地挥舞著长枪。\n但是，厄倪俄却轻松地\n挡住了她的攻击。
54,アテナ/雅典娜,なぜ……なぜなのですか！！\nなぜ、贵方がこんなことをっ！,为什么……为什么要这么做！！\n为什么，你要这样做！
55,エニュオ/厄倪俄,なぜ……ですか？\nふふふっ、そんなの决まっています。,为什么……吗？\n嘿嘿嘿，这还用问吗。
56,エニュオ/厄倪俄,蹂躙したいから……\nいえ、壊したいからですよ。,因为我想蹂躏……\n不，因为我想破坏。
57,アテナ/雅典娜,そんなことを望んでいたと\nいうのですか！,你说你一直都\n想这么做！
61,エニュオ/厄倪俄,私の星晶獣としての性が\nこの街の全てを蹂躙しろ……\n壊せと言うのです。,我的星晶兽的本性\n在告诉我，蹂躏这座街道的一切……\n将它摧毁。
62,エニュオ/厄倪俄,なら、それに従うのは星晶獣として\n极々当然のことでしょう？,那么，作为星晶兽服从这份本性\n是理所当然的吧？
63,アテナ/雅典娜,エニュオッ！！,厄倪俄！！
67,エニュオ/厄倪俄,无駄ですよ、アテナ。\n今の贵方では私に\n伤ひとつつけられません！,没用的，雅典娜。\n以你现在的力量\n连我的皮都蹭不破！
69,,その言叶と共に放たれる\n凄まじい速度の突き。,话音刚落，\n便以惊人的速度刺出。
77,,その直撃を受けて、アテナの身体が\n背后の壁に叩きつけられる。,受到这一击的直击，雅典娜的身体\n被撞飞到身后的墙壁上。
78,アテナ/雅典娜,が……はっ……！\nまだ……！　倒れるわけには……！,咳……哈……！\n还不能……！ 我不能倒下……！
79,,何とか起き上がろうとするアテナ。\nしかし、その意志に反して、\n身体はピクリとも动かない。,雅典娜试图站起来。\n但是，与她的意志相反，\n身体却纹丝不动。
81,エニュオ/厄倪俄,なんとも非力なものですね……,真是无力啊……
82,エニュオ/厄倪俄,自らの力の大半を分けて\nパラディオンなどを作るから\nそうなるのですよ。,因为你把自己的大部分力量\n分给了帕拉蒂翁之类的东西\n才会变成这样。
83,アテナ/雅典娜,…………！,…………！
